"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SL","2023-07-07","86.9","-1.96","6.82","Verlander, Justin",572761,434378,"field_out","hit_into_play",,,,,5,"Matt Carpenter flies out to left fielder Tommy Pham.","R","L","R","SD","NYM","X",7,"fly_ball",0,0,2023,"-0.18","0.41","0.2","2.66",,,,2,6,"Bot",63.56,121.25,,,682626,,,5.532144124048537,-126.41578327659342,-4.6008201044638675,-3.0593467328350012,25.461175934808157,-26.994858209104315,"3.68","1.79",249,"84.7",47,"86.5",2424,"6",717454,434378,682626,624413,643446,641645,596019,502054,607043,516782,"54.5",0.017,0.024,"0",1,0,0,3,56,1,"Slider",3,3,3,3,3,3,3,3,"Strategic","Strategic",161,"-0.017","-0.105"
"SL","2023-07-07","85.5","-1.78","6.76","Verlander, Justin",596142,434378,"field_out","hit_into_play",,,,,5,"Gary Sanchez lines out to third baseman Luis Guillorme.","R","R","R","SD","NYM","X",5,"line_drive",1,0,2023,"0.22","0.59","0.15","2.18",,,,1,6,"Bot",81.4,157.57,,,682626,,,4.105970525114073,-124.37403422637102,-5.594728058638109,1.2841429208785484,28.289256491417973,-25.077726054128743,"3.21","1.54",153,"83",13,"84.9",2524,"6.2",717454,434378,682626,624413,643446,641645,596019,502054,607043,516782,"54.3",0.711,0.672,"0",1,0,0,4,55,2,"Slider",3,3,3,3,3,3,3,3,"Standard","Standard",140,"-0.024","-0.195"
"FF","2023-07-07","94.3","-1.59","6.7","Verlander, Justin",596142,434378,,"ball",,,,,14,"Gary Sanchez lines out to third baseman Luis Guillorme.","R","R","R","SD","NYM","B",,,0,0,2023,"-0.8","1.35","0.79","0.99",,,,1,6,"Bot",,,,,682626,,,7.915830831131678,-136.61736885691911,-12.009415580652469,-11.80386068058791,32.52777553699306,-12.628520914301497,"3.32","1.54",,,,"93.5",2434,"6.2",717454,434378,682626,624413,643446,641645,596019,502054,607043,516782,"54.25",,,,,,,,55,1,"4-Seam Fastball",3,3,3,3,3,3,3,3,"Strategic","Standard",212,"0","0.026"
"FF","2023-07-07","93.9","-1.66","6.74","Verlander, Justin",630105,434378,"field_out","hit_into_play",,,,,5,"Jake Cronenworth lines out to left fielder Tommy Pham.","R","L","R","SD","NYM","X",7,"line_drive",2,2,2023,"-0.83","1.23","0.22","2.65",,,,0,6,"Bot",75.94,100.69,,,682626,,,6.659736088379207,-136.41876001359418,-7.494224185775821,-11.857980633864377,31.828802897024573,-15.331340482313797,"3.29","1.62",276,"85.7",24,"93.1",2424,"6",717454,434378,682626,624413,643446,641645,596019,502054,607043,516782,"54.47",0.149,0.134,"0",1,0,0,3,54,5,"4-Seam Fastball",3,3,3,3,3,3,3,3,"Strategic","Standard",219,"-0.033","-0.208"
"FF","2023-07-07","94.3","-1.68","6.77","Verlander, Justin",630105,434378,,"ball",,,,,12,"Jake Cronenworth lines out to left fielder Tommy Pham.","R","L","R","SD","NYM","B",,,1,2,2023,"-0.91","1.38","1.06","3.23",,,,0,6,"Bot",,,,,682626,,,9.043647296325043,-136.88697044075838,-6.46395414553205,-13.509430302267443,31.999148909363566,-13.594443758647717,"3.17","1.51",,,,"93.3",2461,"5.9",717454,434378,682626,624413,643446,641645,596019,502054,607043,516782,"54.55",,,,,,,,54,4,"4-Seam Fastball",3,3,3,3,3,3,3,3,"Strategic","Standard",212,"0","0.037"
"CU","2023-07-07","79.1","-1.86","6.64","Verlander, Justin",630105,434378,,"ball",,,,,14,"Jake Cronenworth lines out to left fielder Tommy Pham.","R","L","R","SD","NYM","B",,,0,2,2023,"0.63","-1.35","0.3","0.66",,,,0,6,"Bot",,,,,682626,,,3.4958947358108747,-115.03711122331012,-3.575287587069549,4.795997035688477,24.996184033981702,-43.49642033394071,"3.14","1.49",,,,"78.1",2806,"6",717454,434378,682626,624413,643446,641645,596019,502054,607043,516782,"54.5",,,,,,,,54,3,"Curveball",3,3,3,3,3,3,3,3,"Strategic","Standard",37,"0","0.021"
"CU","2023-07-07","77.6","-1.88","6.69","Verlander, Justin",630105,434378,,"foul",,,,,9,"Jake Cronenworth lines out to left fielder Tommy Pham.","R","L","R","SD","NYM","S",,,0,1,2023,"0.51","-1.34","0.51","1.59",,,,0,6,"Bot",,,,,682626,,,4.168992835334723,-112.92372512643767,-1.446050273594071,3.4651497664509425,23.296085930545832,-43.440946576873806,"3.29","1.62",4,"59.4",-26,"77.1",2622,"6.3",717454,434378,682626,624413,643446,641645,596019,502054,607043,516782,"54.23",,,,,,,,54,2,"Curveball",3,3,3,3,3,3,3,3,"Strategic","Standard",44,"0","-0.048"
"FF","2023-07-07","92.1","-1.7","6.8","Verlander, Justin",630105,434378,,"called_strike",,,,,8,"Jake Cronenworth lines out to left fielder Tommy Pham.","R","L","R","SD","NYM","S",,,0,0,2023,"-0.85","1.42","0.12","1.88",,,,0,6,"Bot",,,,,682626,,,6.401596424186355,-133.7216167309214,-9.599298399356034,-11.615326991563666,30.054585028429436,-13.253445149944094,"3.23","1.44",,,,"91.1",2377,"5.9",717454,434378,682626,624413,643446,641645,596019,502054,607043,516782,"54.62",,,,,,,,54,1,"4-Seam Fastball",3,3,3,3,3,3,3,3,"Standard","Standard",215,"0","-0.038"
"SL","2023-07-07","87.2","-1.86","6.67","Verlander, Justin",593428,434378,"field_out","hit_into_play",,,,,1,"Xander Bogaerts pops out to first baseman Pete Alonso in foul territory.","R","R","R","SD","NYM","X",3,"popup",3,2,2023,"0.24","0","-0.52","3.13",,,665742,2,5,"Bot",160.11,184.99,,,682626,,,2.6980180973036973,-127.05375738399151,-2.3743722984328093,2.1031470051589936,24.86826384526785,-31.964481669031162,"3.51","1.6",81,"69.2",72,"87.1",2471,"6.1",717454,434378,682626,624413,643446,641645,596019,502054,607043,516782,"54.43",0.003,0.003,"0",1,0,0,3,48,7,"Slider",3,3,3,3,3,3,3,3,"Standard","Standard",137,"-0.031","-0.243"
"CH","2023-07-07","85.7","-1.9","6.66","Verlander, Justin",593428,434378,,"blocked_ball",,,,,13,"Xander Bogaerts pops out to first baseman Pete Alonso in foul territory.","R","R","R","SD","NYM","B",,,2,2,2023,"-1.44","0.55","-0.56","0.72",,,665742,2,5,"Bot",,,,,682626,,,6.047669695866472,-124.3457653045195,-8.765916820985112,-16.200703320143568,26.39124954142871,-24.844180257357042,"3.55","1.6",,,,"85.1",1903,"6.2",717454,434378,682626,624413,643446,641645,596019,502054,607043,516782,"54.3",,,,,,,,48,6,"Changeup",3,3,3,3,3,3,3,3,"Standard","Standard",228,"0","0.047"
"CH","2023-07-07","86.1","-2.1","6.65","Verlander, Justin",593428,434378,,"foul",,,,,7,"Xander Bogaerts pops out to first baseman Pete Alonso in foul territory.","R","R","R","SD","NYM","S",,,2,2,2023,"-1.5","0.89","-0.3","1.96",,,665742,2,5,"Bot",,,,,682626,,,7.264431809076743,-125.01109522968541,-6.61559640584597,-17.21088935664899,26.560781222441737,-21.6127078863103,"3.51","1.6",5,"72.2",-27,"85.3",2098,"6",717454,434378,682626,624413,643446,641645,596019,502054,607043,516782,"54.46",,,,,,,,48,5,"Changeup",3,3,3,3,3,3,3,3,"Standard","Standard",233,"0","0"
"SL","2023-07-07","86.1","-1.79","6.71","Verlander, Justin",593428,434378,,"called_strike",,,,,6,"Xander Bogaerts pops out to first baseman Pete Alonso in foul territory.","R","R","R","SD","NYM","S",,,2,1,2023,"0.02","0.34","0.73","2.52",,,665742,2,5,"Bot",,,,,682626,,,5.920172117051289,-125.29112016682782,-4.398457655012423,-0.9790569398005936,24.93653391460352,-27.889120553819943,"3.7","1.76",,,,"85.8",2499,"6",717454,434378,682626,624413,643446,641645,596019,502054,607043,516782,"54.46",,,,,,,,48,4,"Slider",3,3,3,3,3,3,3,3,"Standard","Standard",98,"0","-0.056"
"FF","2023-07-07","94.5","-1.91","6.64","Verlander, Justin",593428,434378,,"ball",,,,,14,"Xander Bogaerts pops out to first baseman Pete Alonso in foul territory.","R","R","R","SD","NYM","B",,,1,1,2023,"-0.67","1.34","1.22","2.31",,,665742,2,5,"Bot",,,,,682626,,,9.604833378292161,-137.15173692806928,-8.53951162241789,-10.521647852668934,29.32679547369955,-13.459150043816337,"3.61","1.6",,,,"94.2",2396,"6.2",717454,434378,682626,624413,643446,641645,596019,502054,607043,516782,"54.29",,,,,,,,48,3,"4-Seam Fastball",3,3,3,3,3,3,3,3,"Standard","Standard",210,"0","0.029"
"CU","2023-07-07","77.4","-2.07","6.82","Verlander, Justin",593428,434378,,"called_strike",,,,,4,"Xander Bogaerts pops out to first baseman Pete Alonso in foul territory.","R","R","R","SD","NYM","S",,,1,0,2023,"0.65","-1.16","-0.64","2.88",,,665742,2,5,"Bot",,,,,682626,,,1.8609380364981416,-112.62090263756942,0.7339420106828942,5.059997145477655,23.18423125197704,-42.374932307119785,"3.48","1.6",,,,"76.5",2571,"6",717454,434378,682626,624413,643446,641645,596019,502054,607043,516782,"54.54",,,,,,,,48,2,"Curveball",3,3,3,3,3,3,3,3,"Standard","Standard",36,"0","-0.042"
"SL","2023-07-07","88.5","-1.97","6.73","Verlander, Justin",593428,434378,,"blocked_ball",,,,,14,"Xander Bogaerts pops out to first baseman Pete Alonso in foul territory.","R","R","R","SD","NYM","B",,,0,0,2023,"-0.18","0.78","1.37","0.52",,,665742,2,5,"Bot",,,,,682626,,,8.452275594545773,-128.28540659380573,-10.633714579350087,-3.6842632710728105,24.784030779962503,-21.5270240426438,"3.63","1.67",,,,"87.8",2657,"5.9",717454,434378,682626,624413,643446,641645,596019,502054,607043,516782,"54.57",,,,,,,,48,1,"Slider",3,3,3,3,3,3,3,3,"Standard","Standard",182,"0","0.024"
"FF","2023-07-07","94.8","-1.76","6.74","Verlander, Justin",592518,434378,"field_out","hit_into_play",,,,,6,"Manny Machado pops out to first baseman Pete Alonso.","R","R","R","SD","NYM","X",3,"popup",3,2,2023,"-0.93","1.87","0.3","2.26",,,665742,1,5,"Bot",155.98,164.7,,,682626,,,7.410422508043617,-137.50415306399992,-10.078270196368923,-13.532950469681923,33.24195546704656,-6.314780873753354,"3.57","1.64",102,"85.3",69,"93.8",2558,"6.1",717454,434378,682626,624413,643446,641645,596019,502054,607043,516782,"54.43",0.009,0.01,"0",1,0,0,3,47,6,"4-Seam Fastball",3,3,3,3,3,3,3,3,"Standard","Standard",208,"-0.038","-0.383"
"FF","2023-07-07","94.3","-1.84","6.74","Verlander, Justin",592518,434378,,"called_strike",,,,,9,"Manny Machado pops out to first baseman Pete Alonso.","R","R","R","SD","NYM","S",,,3,1,2023,"-0.76","1.78","0.4","1.99",,,665742,1,5,"Bot",,,,,682626,,,7.450960556215816,-136.70744010346024,-10.46565499777148,-11.307857128660482,32.714857425818174,-7.629524325957356,"3.63","1.64",,,,"93.4",2583,"6.1",717454,434378,682626,624413,643446,641645,596019,502054,607043,516782,"54.36",,,,,,,,47,5,"4-Seam Fastball",3,3,3,3,3,3,3,3,"Standard","Standard",207,"0","-0.063"
"CU","2023-07-07","77.7","-1.8","6.87","Verlander, Justin",592518,434378,,"ball",,,,,12,"Manny Machado pops out to first baseman Pete Alonso.","R","R","R","SD","NYM","B",,,2,1,2023,"0.47","-0.93","0.19","4.09",,,665742,1,5,"Bot",,,,,682626,,,3.3821761964331065,-113.05827619366464,2.6825777849922714,3.340574519191833,21.850774418040842,-40.8757333955708,"3.63","1.64",,,,"77",2571,"5.9",717454,434378,682626,624413,643446,641645,596019,502054,607043,516782,"54.57",,,,,,,,47,4,"Curveball",3,3,3,3,3,3,3,3,"Standard","Standard",41,"0","0.112"
