Rk,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes
1,Preston Baumgartner?,--,16,27,21,2,5,1,0,1,7,0,0,4,11,0.238,0.37,0.429,0.799,9,,1,0,1,,
2,Ryan Blackwell,21,14,25,20,4,5,2,0,0,2,0,0,3,10,0.25,0.4,0.35,0.75,7,,2,0,0,,
3,Holden Breeze,22,63,287,240,48,76,12,0,6,42,4,2,33,48,0.317,0.404,0.442,0.846,106,,5,5,4,,
4,Blaze Brothers,23,62,256,225,63,68,18,2,11,38,22,1,21,57,0.302,0.377,0.547,0.923,123,,7,1,2,,
5,Garrett Casey?,--,15,44,36,5,8,0,0,2,6,0,0,6,7,0.222,0.349,0.389,0.738,14,,1,1,0,,
6,Jonah Cox,21,63,302,262,69,110,16,8,11,67,28,3,30,49,0.42,0.48,0.668,1.148,175,,3,4,3,,
7,Jacob Godman,23,56,219,186,40,55,12,2,5,29,3,0,27,36,0.296,0.384,0.462,0.847,86,,1,3,2,,
8,Matt Hogan*,23,60,278,208,59,69,12,3,18,70,9,2,51,65,0.332,0.477,0.678,1.154,141,,12,1,6,,
9,Max Lucas?,--,12,24,22,1,8,2,0,0,2,0,0,1,8,0.364,0.391,0.455,0.846,10,,0,1,0,,
10,Mac McCroskey,23,63,305,258,65,80,10,2,13,62,16,5,34,45,0.31,0.393,0.516,0.908,133,,5,2,6,,
11,Jake McMurray?,--,63,318,266,59,87,14,1,6,47,2,1,40,28,0.327,0.415,0.455,0.87,121,,4,2,6,,
12,Dalton Patten?,--,31,10,8,2,2,0,0,1,3,0,0,1,3,0.25,0.4,0.625,1.025,5,,1,0,0,,
13,Justin Quinn?,--,44,215,185,54,65,9,0,7,39,8,0,15,25,0.351,0.425,0.514,0.938,95,,10,3,2,,
14,Drew Stahl,22,60,270,221,42,62,15,0,11,55,5,0,37,54,0.281,0.397,0.498,0.895,110,,7,3,2,,
15,Sam Thompson*,22,28,84,66,18,18,4,1,3,9,0,1,12,21,0.273,0.422,0.5,0.922,33,,5,1,0,,
16,Dawson Walls?,--,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2,1,,0,0,0,,
17,Parker Ward?,--,4,2,1,1,0,0,0,0,0,1,0,1,0,0,0.5,0,0.5,0,,0,0,0,,
18,Dylan Wipperman?,--,9,8,8,1,2,0,0,0,0,0,0,0,3,0.25,0.25,0.25,0.5,2,,0,0,0,,
,18 Players,22.4,63,2675,2234,533,721,127,19,95,478,98,15,316,470,0.323,0.416,0.524,0.94,1171,,64,27,34,,
