Rk,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes
1,David Bishop,20,35,135,117,20,25,5,1,2,17,3,0,16,43,0.214,0.311,0.325,0.636,38,,1,0,1,,
2,Owen Blackledge*,20,5,6,4,0,1,1,0,0,1,0,0,1,3,0.25,0.333,0.5,0.833,2,,0,0,1,,
3,Karson Bowen,18,52,231,200,45,71,14,0,6,46,9,2,22,45,0.355,0.422,0.515,0.937,103,,4,1,4,,
4,Luke Boyers#,22,54,220,169,42,39,6,1,7,27,7,1,38,61,0.231,0.404,0.402,0.806,68,,11,2,0,,
5,Kurtis Byrne,22,46,198,179,33,52,8,0,10,46,0,0,14,34,0.291,0.349,0.503,0.851,90,,3,0,2,,
6,Austin Davis,23,64,287,236,48,66,18,0,9,55,22,4,31,46,0.28,0.369,0.47,0.839,111,,7,5,8,,
7,Jake Duer*,20,7,15,13,2,3,0,0,0,1,0,0,1,6,0.231,0.333,0.231,0.564,3,,1,0,0,,
8,Cole Fontenelle#,21,61,276,222,63,77,21,2,13,52,20,5,39,46,0.347,0.464,0.635,1.099,141,,12,0,3,,
9,Brody Green,20,16,18,16,2,2,1,0,0,2,0,0,1,7,0.125,0.222,0.188,0.41,3,,1,0,0,,
10,Fisher Ingersoll#,19,8,17,12,2,1,0,0,0,2,0,1,4,6,0.083,0.294,0.083,0.377,1,,0,0,1,,
11,Logan Maxwell*,20,35,117,93,20,27,4,2,2,18,4,1,12,21,0.29,0.396,0.441,0.837,41,,5,6,1,,
12,Elijah Nunez*,21,59,269,221,56,64,16,2,3,35,19,2,34,55,0.29,0.404,0.421,0.825,93,,9,4,1,,
13,Tre Richardson,21,64,303,257,56,81,16,2,6,59,24,3,26,46,0.315,0.393,0.463,0.856,119,,10,5,5,,
14,Anthony Silva,19,57,246,209,51,71,10,0,7,47,17,2,23,29,0.34,0.43,0.488,0.918,102,,11,2,1,,
15,Mason Speaker,22,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,
16,Brayden Taylor*,21,63,301,242,75,76,14,0,23,69,14,0,52,56,0.314,0.439,0.657,1.096,159,,4,0,3,,
,16 Players,20.8,64,2640,2191,515,656,134,10,88,477,139,21,314,504,0.299,0.401,0.49,0.891,1074,,79,25,31,,
