Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Drew Beam,20,8,4,0.667,4.09,15,15,,,0,0,72.2,75,47,33,12,20,,72,3,0,3,313,1.307,9.3,1.5,2.5,8.9,3.6,
2,Andrew Behnke*,19,0,0,,0,6,0,,,0,0,5.2,2,0,0,0,4,,10,0,0,0,24,1.059,3.2,0,6.4,15.9,2.5,
3,Jacob Bimbi*,21,2,0,1,5.27,15,0,,,0,0,13.2,14,8,8,1,9,,22,1,0,1,62,1.683,9.2,0.7,5.9,14.5,2.44,
4,Chase Burns,20,4,3,0.571,4.83,16,8,,,0,1,63.1,58,37,34,10,21,,101,4,1,6,267,1.247,8.2,1.4,3,14.4,4.81,
5,Aaron Combs,21,4,0,1,2.66,23,0,,,0,0,20.1,14,6,6,3,7,,37,5,0,2,86,1.033,6.2,1.3,3.1,16.4,5.29,
6,Kirby Connell*,22,1,0,1,3.77,31,0,,,0,0,14.1,10,7,6,2,3,,17,0,0,0,57,0.907,6.3,1.3,1.9,10.7,5.67,
7,Chase Dollander,21,7,6,0.538,4.5,16,16,,,0,0,86,79,45,43,14,28,,118,7,1,2,368,1.244,8.3,1.5,2.9,12.3,4.21,
8,Hollis Fanning,21,0,0,,0.66,14,1,,,0,0,13.2,11,1,1,1,3,,24,1,0,3,53,1.024,7.2,0.7,2,15.8,8,
9,Jake Fitzgibbons*,21,2,0,1,3.75,17,0,,,0,0,12,4,5,5,2,10,,20,0,0,2,49,1.167,3,1.5,7.5,15,2,
10,J.J. Garcia,20,0,0,,5.79,4,0,,,0,0,4.2,8,4,3,1,1,,7,0,0,0,22,1.929,15.4,1.9,1.9,13.5,7,
11,Seth Halvorsen,23,3,3,0.5,3.6,23,1,,,0,2,50,37,28,20,9,15,,50,4,1,1,207,1.04,6.7,1.6,2.7,9,3.33,
12,Bryce Jenkins,22,1,0,1,5.51,18,0,,,0,0,16.1,13,11,10,2,7,,24,0,0,0,68,1.224,7.2,1.1,3.9,13.2,3.43,
13,Zach Joyce,22,1,0,1,4.35,13,0,,,0,0,10.1,9,5,5,2,2,,17,1,0,3,43,1.065,7.8,1.7,1.7,14.8,8.5,
14,Andrew Lindsey,23,3,3,0.5,2.79,20,8,,,0,0,67.2,55,27,21,8,18,,69,6,0,2,280,1.079,7.3,1.1,2.4,9.2,3.83,
15,A.J. Russell,19,2,0,1,0.94,22,1,,,0,0,28.2,9,4,3,1,7,,46,0,0,0,100,0.558,2.8,0.3,2.2,14.4,6.57,
16,Zander Sechrist*,21,0,1,0,2.05,23,12,,,0,0,30.2,27,7,7,3,5,,32,1,0,0,121,1.043,7.9,0.9,1.5,9.4,6.4,
17,Camden Sewell,23,4,0,1,3.91,13,0,,,0,0,23,18,10,10,1,12,,30,8,0,0,103,1.304,7,0.4,4.7,11.7,2.5,
,17 Players,21.2,42,20,0.677,3.63,62,62,,,8,3,533,443,252,215,72,172,,696,41,3,25,2223,1.154,7.5,1.2,2.9,11.8,4.05,
