pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
ST,2023-08-14,79.7,-2.9,5.09,"Ottavino, Adam",663647,493603,field_out,hit_into_play,,,,,3,Ke'Bryan Hayes flies out to center fielder Rafael Ortega.,R,R,R,4,6,X,8,fly_ball,0,2,2023,1.49,0.48,0.79,2.75,,,,2,9,Top,136.24,85.29,,,682626,,,5.363021919310464,-116.01654542448466,0.7373721639492077,12.37220245005285,22.59479247817863,-28.199159875863582,3.17,1.49,284,83.2,39,80.5,2621,6.9,717002,493603,682626,624413,660620,664901,596019,641796,542364,643446,53.6,0.011,0.02,0.0,1,0,0,3,77,3,Sweeper,0.5833333333333333,0.2,2,7,2,7,2,7,Standard,Standard,72,0.0,-0.064
FF,2023-08-14,93.3,-2.7,5.35,"Ottavino, Adam",663647,493603,field_out,swinging_strike,,,,,12,Ke'Bryan Hayes flies out to center fielder Rafael Ortega.,R,R,R,4,6,S,8,fly_ball,0,1,2023,-0.55,1.06,0.1,3.82,,,,2,9,Top,136.24,85.29,,,682626,,,8.48826587775162,-135.5921895174858,-0.4673649528981636,-8.739547598505853,30.5112410253074,-19.224781557788894,3.17,1.49,284,83.2,39,94.0,2247,6.8,717002,493603,682626,624413,660620,664901,596019,641796,542364,643446,53.67,0.011,0.02,0.0,1,0,0,3,77,2,4-Seam Fastball,0.5833333333333333,0.2,2,7,2,7,2,7,Standard,Standard,235,0.0,-0.024
SI,2023-08-14,92.4,-2.75,5.28,"Ottavino, Adam",663647,493603,field_out,called_strike,,,,,3,Ke'Bryan Hayes flies out to center fielder Rafael Ortega.,R,R,R,4,6,S,8,fly_ball,0,0,2023,-1.27,0.44,0.34,2.9,,,,2,9,Top,136.24,85.29,,,682626,,,10.75426875146228,-134.0859840111203,-1.146110915227484,-17.66473211796796,30.561405006275564,-26.86443034053146,3.34,1.6,284,83.2,39,93.3,2124,7.1,717002,493603,682626,624413,660620,664901,596019,641796,542364,643446,53.38,0.011,0.02,0.0,1,0,0,3,77,1,Sinker,0.5833333333333333,0.2,2,7,2,7,2,7,Standard,Standard,232,0.0,-0.018
SI,2023-08-14,92.2,-2.56,5.17,"Ottavino, Adam",668804,493603,strikeout,called_strike,,,,,6,Bryan Reynolds called out on strikes.,R,L,R,4,6,S,2,fly_ball,0,2,2023,-1.48,0.1,0.52,2.35,,,,1,9,Top,136.24,85.29,,,682626,,,11.144284937308894,-133.72036785327572,-1.4585287393486892,-20.273516521117305,31.90393823028619,-30.84241009174972,3.04,1.48,284,83.2,39,92.4,2167,6.8,717002,493603,682626,624413,660620,664901,596019,641796,542364,643446,53.65,0.011,0.02,0.0,1,0,0,3,76,4,Sinker,0.5833333333333333,0.2,2,7,2,7,2,7,Strategic,Standard,233,0.002,-0.107
ST,2023-08-14,77.0,-2.73,5.49,"Ottavino, Adam",668804,493603,strikeout,foul,,,,,13,Bryan Reynolds called out on strikes.,R,L,R,4,6,S,2,fly_ball,0,2,2023,1.58,-0.16,-0.94,1.91,,,,1,9,Top,136.24,85.29,,,682626,,,0.9454953318058218,-112.13407526633976,-0.2498216940819815,12.988277528052755,23.031091960561955,-33.6719981343465,3.04,1.48,2,56.7,-45,77.4,2670,6.8,717002,493603,682626,624413,660620,664901,596019,641796,542364,643446,53.66,0.011,0.02,0.0,1,0,0,3,76,3,Sweeper,0.5833333333333333,0.2,2,7,2,7,2,7,Strategic,Standard,59,0.0,0.0
CH,2023-08-14,87.0,-2.93,5.16,"Ottavino, Adam",668804,493603,strikeout,swinging_strike,,,,,5,Bryan Reynolds called out on strikes.,R,L,R,4,6,S,2,fly_ball,0,1,2023,-1.09,0.01,0.13,2.39,,,,1,9,Top,136.24,85.29,,,682626,,,9.6354547982491,-126.27644452606222,-0.3831867930442189,-13.70758606628338,28.16482265586633,-32.27418063843362,3.04,1.48,2,56.7,-45,87.1,1737,6.7,717002,493603,682626,624413,660620,664901,596019,641796,542364,643446,53.79,0.011,0.02,0.0,1,0,0,3,76,2,Changeup,0.5833333333333333,0.2,2,7,2,7,2,7,Strategic,Standard,253,0.0,-0.036
FF,2023-08-14,92.7,-2.99,5.26,"Ottavino, Adam",668804,493603,strikeout,called_strike,,,,,8,Bryan Reynolds called out on strikes.,R,L,R,4,6,S,2,fly_ball,0,0,2023,-0.65,0.96,-0.23,1.8,,,,1,9,Top,136.24,85.29,,,682626,,,8.534243754917005,-134.6540738955147,-5.161859993018808,-9.697197134124291,28.92001402480484,-19.595246260230645,3.1,1.54,2,56.7,-45,93.4,2135,6.8,717002,493603,682626,624413,660620,664901,596019,641796,542364,643446,53.7,0.011,0.02,0.0,1,0,0,3,76,1,4-Seam Fastball,0.5833333333333333,0.2,2,7,2,7,2,7,Strategic,Standard,232,0.0,-0.027
CH,2023-08-14,87.3,-2.79,5.26,"Ottavino, Adam",656582,493603,strikeout,called_strike,,,,,8,Connor Joe called out on strikes.,R,R,R,4,6,S,2,fly_ball,1,2,2023,-1.12,0.28,0.07,1.63,,,,0,9,Top,136.24,85.29,,,682626,,,9.256767794703023,-126.73590666582272,-3.0827440350348208,-14.07025199947551,27.979501033205093,-28.70588617001488,3.31,1.5,2,56.7,-45,87.6,1777,6.8,717002,493603,682626,624413,660620,664901,596019,641796,542364,643446,53.68,0.011,0.02,0.0,1,0,0,3,75,4,Changeup,0.5833333333333333,0.2,2,7,2,7,2,7,Standard,Standard,249,0.003,-0.173
SI,2023-08-14,93.6,-2.66,5.32,"Ottavino, Adam",656582,493603,strikeout,ball,,,,,14,Connor Joe called out on strikes.,R,R,R,4,6,B,2,fly_ball,0,2,2023,-1.26,0.26,1.47,1.63,,,,0,9,Top,136.24,85.29,,,682626,,,13.547789375829808,-135.59600961784918,-4.334072142494076,-18.481164619463826,29.372550717986726,-28.21036370512654,3.37,1.5,2,56.7,-45,94.4,2266,7.0,717002,493603,682626,624413,660620,664901,596019,641796,542364,643446,53.53,0.011,0.02,0.0,1,0,0,3,75,3,Sinker,0.5833333333333333,0.2,2,7,2,7,2,7,Standard,Standard,232,0.0,0.022
ST,2023-08-14,77.7,-2.95,5.23,"Ottavino, Adam",656582,493603,strikeout,foul,,,,,2,Connor Joe called out on strikes.,R,R,R,4,6,S,2,fly_ball,0,1,2023,1.75,0.3,0.19,2.83,,,,0,9,Top,136.24,85.29,,,682626,,,3.5250451855308382,-113.01969995105554,1.3265548278399373,14.162995385624583,23.189314768347884,-30.16763567124426,3.14,1.44,2,56.7,-45,77.7,2719,6.6,717002,493603,682626,624413,660620,664901,596019,641796,542364,643446,53.92,0.011,0.02,0.0,1,0,0,3,75,2,Sweeper,0.5833333333333333,0.2,2,7,2,7,2,7,Standard,Standard,70,0.0,-0.047
