Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Nate Ackenhausen*,21,2,0,1,3.63,15,0,,,0,2,22.1,16,12,9,4,13,,24,1,0,5,95,1.299,6.4,1.6,5.2,9.7,1.85,
2,Micah Bucknam,19,0,0,,11.57,8,0,,,0,0,7,8,9,9,4,3,,14,5,0,1,35,1.571,10.3,5.1,3.9,18,4.67,
3,Javen Coleman*,21,1,2,0.333,6.39,7,3,,,0,0,12.2,9,10,9,3,12,,19,2,0,0,62,1.658,6.4,2.1,8.5,13.5,1.58,
4,Bryce Collins,23,2,1,0.667,7.47,15,0,,,0,1,15.2,12,14,13,1,16,,18,4,0,4,79,1.787,6.9,0.6,9.2,10.3,1.13,
5,Riley Cooper*,21,4,3,0.571,5.02,27,3,,,0,0,52,58,32,29,6,17,,54,4,1,3,239,1.442,10,1,2.9,9.3,3.18,
6,Samuel Dutton,20,0,0,,6.05,18,0,,,0,0,19.1,31,13,13,4,5,,18,0,0,4,94,1.862,14.4,1.9,2.3,8.4,3.6,
7,Garrett Edwards,21,4,0,1,1.93,10,0,,,0,1,23.1,16,5,5,1,5,,27,0,0,3,93,0.9,6.2,0.4,1.9,10.4,5.4,
8,Ty Floyd,21,7,0,1,4.5,17,15,,,0,1,78,63,45,39,15,32,,93,12,2,5,336,1.218,7.3,1.7,3.7,10.7,2.91,
9,Gavin Guidry,19,3,0,1,3.42,19,1,,,0,3,23.2,16,12,9,1,11,,36,2,0,10,103,1.141,6.1,0.4,4.2,13.7,3.27,
10,Will Hellmers,--,0,0,,9,7,0,,,0,0,11,10,12,11,2,9,,14,4,0,2,57,1.727,8.2,1.6,7.4,11.5,1.56,
11,Griffin Herring*,20,4,2,0.667,4.55,17,0,,,0,2,29.2,29,20,15,0,18,,35,5,1,3,142,1.584,8.8,0,5.5,10.6,1.94,
12,Thatcher Hurd,20,6,2,0.75,6.49,20,10,,,0,3,51.1,53,38,37,8,34,,71,2,0,8,240,1.695,9.3,1.4,6,12.4,2.09,
13,Christian Little,19,2,2,0.5,7.09,18,8,,,0,2,33,28,26,26,3,27,,41,2,0,2,155,1.667,7.6,0.8,7.4,11.2,1.52,
14,Aiden Moffett?,--,0,0,,inf,1,0,,,0,0,0,0,1,1,0,3,,0,1,0,1,4,,,,,,0,
15,Blake Money,21,1,0,1,5.73,18,2,,,0,0,33,31,23,21,6,12,,28,4,0,2,150,1.303,8.5,1.6,3.3,7.6,2.33,
16,Chase Shores?,--,0,1,0,1.96,7,4,,,0,0,18.1,15,4,4,0,9,,15,3,0,0,77,1.309,7.4,0,4.4,7.4,1.67,
17,Paul Skenes,21,12,2,0.857,1.77,17,17,,,0,0,107,65,26,21,7,18,,188,3,0,7,406,0.776,5.5,0.6,1.5,15.8,10.44,
,17 Players,20.5,48,15,0.762,4.54,63,63,,,10,15,537.1,460,302,271,65,244,,695,54,4,60,2367,1.31,7.7,1.1,4.1,11.6,2.85,
