Rk,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes
1,Temo Becerra,20,25,58,47,11,16,3,0,2,7,1,0,5,10,0.34,0.407,0.532,0.939,25,,1,4,1,,
2,Brett Blair,20,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,
3,Drew Bowser,21,58,259,232,39,63,11,3,13,45,1,0,25,74,0.272,0.344,0.513,0.857,119,,1,0,1,,
4,Saborn Campbell,20,31,57,51,12,11,0,1,0,3,4,1,6,15,0.216,0.298,0.255,0.553,13,,0,0,0,,
5,Owen Cobb,22,55,232,206,36,67,7,3,6,32,8,3,13,36,0.325,0.37,0.476,0.846,98,,4,5,4,,
6,Henry Gargus*,23,16,24,22,3,3,0,0,1,3,0,0,1,12,0.136,0.208,0.273,0.481,6,,1,0,0,,
7,Carter Graham,21,61,302,264,60,82,20,0,15,75,7,1,30,52,0.311,0.387,0.557,0.944,147,,5,0,3,,
8,Trevor Haskins,20,12,27,24,2,2,0,0,1,4,0,0,1,6,0.083,0.154,0.208,0.362,5,,1,1,0,,
9,Cole Hinkelman*,22,15,40,32,4,6,0,0,2,10,0,0,7,7,0.188,0.35,0.375,0.725,12,,1,0,0,,
10,Cort MacDonald?,--,10,5,4,1,1,0,0,0,1,0,0,1,2,0.25,0.4,0.25,0.65,1,,0,0,0,,
11,Braden Montgomery#,20,61,297,234,69,78,14,1,17,58,5,3,49,60,0.333,0.458,0.62,1.078,145,,9,0,5,,
12,Malcolm Moore*,19,61,285,247,49,78,20,0,15,62,3,0,19,48,0.316,0.386,0.579,0.965,143,,13,0,6,,
13,Jimmy Nati?,--,23,53,44,9,5,1,0,0,6,0,0,5,11,0.114,0.226,0.136,0.363,6,,2,0,2,,
14,Eddie Park*,21,60,306,263,66,89,19,1,6,47,6,4,37,24,0.338,0.418,0.487,0.905,128,,2,0,4,,
15,Alberto Rios,21,60,280,230,68,89,22,0,18,71,5,1,38,36,0.387,0.493,0.717,1.21,165,,11,0,1,,
16,Jake Sapien,20,33,108,93,16,28,5,1,3,16,0,0,14,27,0.301,0.398,0.473,0.871,44,,1,0,0,,
17,Charlie Saum,19,9,27,21,3,4,1,0,0,2,0,0,4,10,0.191,0.37,0.238,0.609,5,,2,0,0,,
18,Tommy Troy,21,55,279,238,73,95,17,4,17,58,17,3,32,41,0.399,0.48,0.719,1.199,171,,7,0,2,,
,18 Players,20.7,61,2641,2254,522,717,140,14,116,500,57,16,287,471,0.318,0.405,0.547,0.952,1233,,61,10,29,,
