Rk,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes
1,Maui Ahuna*,21,49,230,190,39,57,19,1,7,40,4,2,35,72,0.3,0.417,0.521,0.939,99,,4,0,1,,
2,Kyle Booker*,21,28,63,55,9,13,3,0,1,4,2,0,6,23,0.236,0.323,0.346,0.668,19,,1,1,0,,
3,Blake Burke*,20,61,266,229,47,65,5,3,16,43,4,1,25,44,0.284,0.372,0.542,0.914,124,,9,0,3,,
4,Logan Chambers*,22,19,34,25,9,6,0,1,1,3,0,0,9,5,0.24,0.441,0.44,0.881,11,,0,0,0,,
5,Reese Chapman*,19,15,24,19,7,5,0,0,2,7,1,0,3,3,0.263,0.417,0.579,0.996,11,,2,0,0,,
6,Zane Denton#,22,62,252,198,41,54,9,3,15,55,1,1,44,56,0.273,0.409,0.576,0.985,114,,5,0,5,,
7,Jared Dickey*,21,59,256,227,54,75,6,3,12,51,7,3,20,33,0.33,0.398,0.542,0.94,123,,7,0,2,,
8,Dylan Dreiling*,20,48,118,94,20,28,6,2,7,20,1,0,23,19,0.298,0.432,0.628,1.06,59,,0,0,1,,
9,Hunter Ensley,21,55,215,181,36,50,7,0,6,28,6,1,23,43,0.276,0.388,0.414,0.802,75,,10,1,0,,
10,Austen Jaslove,21,24,42,37,8,7,2,0,0,8,1,0,4,6,0.189,0.268,0.243,0.512,9,,0,1,0,,
11,Jake Kendro,20,24,37,32,6,7,4,0,1,6,0,0,4,14,0.219,0.306,0.438,0.743,14,,0,1,0,,
12,Griffin Merritt,23,57,205,178,41,56,11,0,18,47,2,0,17,46,0.315,0.395,0.68,1.075,121,,8,0,2,,
13,Ryan Miller*,20,11,17,11,8,5,1,0,3,9,0,0,5,2,0.455,0.647,1.364,2.011,15,,1,0,0,,
14,Christian Moore,20,59,258,198,64,62,12,0,17,48,15,2,50,60,0.313,0.457,0.631,1.089,125,,6,0,4,,
15,Ethan Payne*,22,14,17,12,4,4,2,0,0,3,0,0,2,7,0.333,0.467,0.5,0.967,6,,1,2,0,,
16,Christian Scott*,23,59,176,138,36,39,6,1,7,34,12,0,30,43,0.283,0.421,0.493,0.914,68,,3,5,0,,
17,Cal Stark,20,49,139,102,18,19,4,0,5,17,1,0,19,47,0.186,0.372,0.373,0.745,38,,13,2,3,,
18,Charlie Taylor,22,42,83,69,16,16,5,1,3,13,1,1,12,14,0.232,0.346,0.464,0.81,32,,0,2,0,,
19,Kavares Tears*,20,28,65,55,12,17,6,0,2,11,0,1,7,18,0.309,0.385,0.527,0.912,29,,1,0,2,,
,19 Players,21.1,62,2497,2050,475,585,108,15,123,447,58,12,338,555,0.285,0.401,0.533,0.933,1092,,71,15,23,,
