Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Anthony Arguelles,22,3,1,0.75,4.9,14,13,,,0,0,60.2,55,37,33,11,32,,64,5,0,5,270,1.434,8.2,1.6,4.7,9.5,2,
2,Tyler Dean,20,1,1,0.5,6.75,13,0,,,0,0,12,16,9,9,1,14,,15,1,0,1,66,2.5,12,0.8,10.5,11.3,1.07,
3,Jacob Exum,20,0,1,0,5.28,16,0,,,0,1,29,31,21,17,5,12,,28,3,1,4,130,1.483,9.6,1.6,3.7,8.7,2.33,
4,Nick Finarelli,19,0,0,,30.86,3,2,,,0,0,2.1,6,8,8,3,7,,3,0,0,0,20,5.571,23.1,11.6,27,11.6,0.43,
5,Griffin Green,22,2,2,0.5,6.17,9,9,,,0,0,42.1,44,29,29,6,22,,38,5,0,3,192,1.559,9.4,1.3,4.7,8.1,1.73,
6,Drue Hackenberg,21,5,8,0.385,5.8,15,15,,,0,0,85.1,113,67,55,8,26,,99,7,0,5,400,1.629,11.9,0.8,2.7,10.4,3.81,
7,Kiernan Higgins,24,2,2,0.5,5.19,16,4,,,0,0,26,18,16,15,4,18,,24,3,0,3,113,1.385,6.2,1.4,6.2,8.3,1.33,
8,Jonah Hurney*,23,3,2,0.6,7.76,21,6,,,0,2,31.1,39,29,27,3,19,,30,4,0,8,153,1.851,11.2,0.9,5.5,8.6,1.58,
9,Luke Jackman,20,0,0,,4.76,4,0,,,0,0,5.2,4,3,3,0,2,,8,1,0,0,23,1.059,6.4,0,3.2,12.7,4,
10,Brady Kirtner,21,1,1,0.5,4.62,23,0,,,0,0,25.1,21,14,13,0,15,,36,2,0,2,112,1.421,7.5,0,5.3,12.8,2.4,
11,Peter Sakellaris,22,0,0,,4.85,9,0,,,0,0,13,17,8,7,2,6,,9,2,0,0,62,1.769,11.8,1.4,4.2,6.2,1.5,
12,Andrew Sentlinger*,19,3,1,0.75,4.1,22,0,,,0,1,26.1,24,18,12,6,19,,34,3,0,1,125,1.633,8.2,2.1,6.5,11.6,1.79,
13,Matthew Siverling*,22,2,0,1,7.13,17,0,,,0,0,17.2,20,14,14,3,16,,21,2,0,3,90,2.038,10.2,1.5,8.2,10.7,1.31,
14,Griffin Stieg,19,1,0,1,6.75,16,1,,,0,0,18.2,26,15,14,2,15,,24,5,0,3,96,2.196,12.5,1,7.2,11.6,1.6,
15,Tommy Szczepanski,19,0,0,,9,6,1,,,0,0,6,5,6,6,0,8,,10,2,0,2,33,2.167,7.5,0,12,15,1.25,
16,Grant Umberger*,21,2,1,0.667,6.08,17,2,,,0,0,23.2,19,19,16,2,20,,30,3,0,5,110,1.648,7.2,0.8,7.6,11.4,1.5,
17,Henry Weycker*,22,3,3,0.5,5.52,16,0,,,0,2,29.1,26,20,18,2,21,,33,1,0,1,133,1.602,8,0.6,6.4,10.1,1.57,
18,Christian Worley,21,2,0,1,2.7,5,0,,,0,0,10,6,3,3,0,2,,15,2,0,2,39,0.8,5.4,0,1.8,13.5,7.5,
,18 Players,21.2,30,23,0.566,5.71,53,53,,,3,6,464.2,490,336,295,58,274,,521,51,1,48,2167,1.644,9.5,1.1,5.3,10.1,1.9,
