Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Will Andrews,22,0,0,,0,3,0,,,0,0,2.2,0,0,0,0,1,,3,1,0,0,10,0.375,0,0,3.4,10.1,3,
2,Joe Ariola*,19,0,0,,6.75,17,0,,,0,0,13.1,15,14,10,3,8,,17,3,0,2,67,1.725,10.1,2,5.4,11.5,2.13,
3,Derek Crum*,22,1,0,1,3.38,19,0,,,0,0,16,16,7,6,0,4,,14,4,0,1,69,1.25,9,0,2.3,7.9,3.5,
4,Josh Hartle*,20,11,2,0.846,2.8,17,16,,,0,0,96.1,87,36,30,11,20,,131,5,1,7,394,1.111,8.1,1,1.9,12.2,6.55,
5,Zach Johnston*,19,0,0,,6.75,4,0,,,0,0,2.2,3,2,2,0,5,,4,0,0,0,16,3,10.1,0,16.9,13.5,0.8,
6,Seth Keener,21,7,1,0.875,2.23,21,7,,,0,1,64.2,37,19,16,3,16,,86,10,1,4,255,0.82,5.1,0.4,2.2,12,5.38,
7,Rhett Lowder,21,15,0,1,1.92,17,17,,,0,0,108,80,28,23,9,21,,131,9,0,2,420,0.935,6.7,0.8,1.8,10.9,6.24,
8,Reed Mascolo,23,7,1,0.875,3.96,14,11,,,0,0,50,49,29,22,10,12,,44,8,1,4,212,1.22,8.8,1.8,2.2,7.9,3.67,
9,Michael Massey,20,3,0,1,2.58,25,1,,,0,1,38.1,21,11,11,6,15,,71,0,1,1,147,0.939,4.9,1.4,3.5,16.7,4.73,
10,Cam Minacci,21,0,1,0,2.73,27,0,,,0,12,29.2,25,10,9,3,10,,44,2,0,3,126,1.18,7.6,0.9,3,13.3,4.4,
11,Will Ray,21,1,1,0.5,5.4,18,0,,,0,0,11.2,6,9,7,3,9,,9,1,0,0,51,1.286,4.6,2.3,6.9,6.9,1,
12,Cole Roland,24,2,1,0.667,2.12,24,0,,,0,2,29.2,15,7,7,4,12,,52,4,3,3,121,0.91,4.6,1.2,3.6,15.8,4.33,
13,Ben Shenosky,19,0,0,,11.57,6,0,,,0,0,4.2,2,6,6,2,8,,8,0,0,1,24,2.143,3.9,3.9,15.4,15.4,1,
14,Sean Sullivan*,20,5,3,0.625,2.64,15,10,,,0,3,64.2,39,25,19,8,18,,108,11,0,3,260,0.881,5.4,1.1,2.5,15,6,
15,Crawford Wade*,21,0,0,,0,2,0,,,0,0,3.2,1,0,0,0,0,,4,1,0,0,13,0.273,2.5,0,0,9.8,,
16,Chase Walter,23,0,0,,3.72,13,0,,,0,0,9.2,5,4,4,0,7,,12,2,0,2,44,1.241,4.7,0,6.5,11.2,1.71,
,16 Players,21.1,52,10,0.839,2.84,62,62,,,10,19,545.2,401,207,172,62,166,,738,61,7,33,2229,1.039,6.6,1,2.7,12.2,4.45,
