Rank,D_Score,E_Score,Penalty,Score,Apparatus_code,Country_code,Name_code
39.0,4.6,6.7,0.0,11.3,1,56,164
44.0,4.4,7.8,0.0,12.2,3,56,164
54.0,8.566,4.0,0.0,12.566,0,56,165
44.0,8.166,4.6,0.0,12.766,1,56,165
54.0,8.066,4.4,0.0,12.466,2,56,165
58.0,7.266,4.4,0.0,11.666,3,56,165
73.0,8.366,3.5,0.0,11.866,4,56,165
69.0,8.966,4.0,0.0,12.966,5,56,165
86.0,5.4,7.133,0.1,12.433,0,25,367
10.0,5.3,8.5,0.0,13.8,1,25,367
10.0,5.3,8.1,0.0,13.4,1,25,367
9.0,5.8,8.6,0.0,14.4,2,25,367
10.0,5.8,8.266,0.0,14.066,2,25,367
105.0,5.0,5.5,0.0,10.5,3,25,367
23.0,5.3,8.366,0.0,13.666,4,25,367
6.0,5.3,8.333,0.0,13.633,4,25,367
36.0,5.2,9.2,0.3,14.1,5,25,367
24.0,5.4,7.233,0.0,12.633,0,25,367
94.0,4.6,8.0,0.1,12.5,0,25,367
9.0,5.3,8.1,0.0,13.4,1,25,367
4.0,5.3,8.366,0.0,13.666,1,25,367
5.0,5.3,8.433,0.0,13.733,1,25,367
10.0,5.8,8.033,0.0,13.833,2,25,367
23.0,5.8,8.1,0.0,13.9,2,25,367
12.0,4.7,8.3,0.0,13.0,3,25,367
28.0,5.0,8.233,0.0,13.233,3,25,367
17.0,5.3,8.466,0.0,13.766,4,25,367
4.0,5.3,8.366,0.0,13.666,4,25,367
22.0,5.2,7.9,0.1,13.0,5,25,367
69.0,4.8,9.0,0.1,13.7,5,25,367
19.0,5.4,8.433,0.0,13.833,0,41,546
11.0,5.6,8.2,0.0,13.8,1,41,546
6.0,5.6,8.166,0.0,13.766,1,41,546
91.0,4.7,7.333,0.0,12.033,2,41,546
61.0,5.0,7.533,0.0,12.533,3,41,546
5.0,5.5,8.333,0.0,13.833,3,41,546
13.0,5.0,8.366,0.0,13.366,4,41,546
11.0,5.5,8.266,0.0,13.766,0,41,546
11.0,5.5,8.466,0.0,13.966,0,41,546
4.0,5.3,8.166,0.0,13.466,1,41,546
90.0,5.3,6.833,0.0,12.133,1,41,546
8.0,5.3,8.7,0.0,14.0,2,41,546
40.0,5.3,8.2,0.0,13.5,2,41,546
1.0,5.7,8.4,0.0,14.1,3,41,546
6.0,5.7,8.466,0.0,14.166,3,41,546
6.0,5.7,8.566,0.0,14.266,3,41,546
26.0,4.7,8.8,0.0,13.5,4,41,546
10.0,4.7,8.566,0.0,13.266,4,41,546
18.0,4.8,8.866,0.1,13.566,5,41,546
64.0,4.8,8.933,0.0,13.733,5,41,546
46.0,4.8,5.133,0.0,9.933,4,51,30
8.0,8.0,4.3,0.0,12.3,1,78,428
5.0,8.75,4.6,0.0,13.35,1,78,428
1.0,8.733,5.5,0.0,14.23,2,78,428
1.0,9.0,5.5,0.0,14.5,2,78,428
16.0,8.4,4.1,0.0,12.5,4,78,428
104.0,5.3,6.3,0.0,11.6,0,31,454
101.0,3.8,7.266,0.0,11.066,1,31,454
