Country,Competition,Round,Apparatus,Rank,D_Score,E_Score,Penalty,Score,year,name
NOR,2023 Cottbus World Cup,qual,HB,39.0,4.6,6.7,0.0,11.3,2023,fredrik aas
NOR,2023 FISU World University Games,qual,HB,44.0,4.6,8.166,0.0,12.766,2023,fredrik bjornevik aas
ESP,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,HB,10.0,5.3,8.133,0.0,13.433,2022,nestor abad
ESP,2022 51st FIG Artistic Gymnastics World Championships,qual,HB,48.0,5.0,8.166,0.0,13.166,2022,nestor abad
ESP,2022 Senior European Championships,qual,HB,10.0,5.3,8.5,0.0,13.8,2022,nestor abad
ESP,2022 Senior European Championships,TeamFinal,HB,10.0,5.3,8.1,0.0,13.4,2022,nestor abad
ESP,2023 Senior European Championships,AAfinal,HB,9.0,5.3,8.1,0.0,13.4,2023,nestor abad
ESP,2023 Senior European Championships,final,HB,4.0,5.3,8.366,0.0,13.666,2023,nestor abad
ESP,2023 Senior European Championships,qual,HB,5.0,5.3,8.433,0.0,13.733,2023,nestor abad
ITA,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,HB,24.0,5.1,5.1,0.3,9.9,2022,yumin abbadini
ITA,2022 51st FIG Artistic Gymnastics World Championships,qual,HB,27.0,5.6,8.0,0.0,13.6,2022,yumin abbadini
ITA,2022 Senior European Championships,qual,HB,11.0,5.6,8.2,0.0,13.8,2022,yumin abbadini
ITA,2022 Senior European Championships,TeamFinal,HB,6.0,5.6,8.166,0.0,13.766,2022,yumin abbadini
ITA,2023 Baku World Cup,qual,HB,10.0,5.3,8.233,0.0,13.533,2023,yumin abbadini
ITA,2023 Senior European Championships,AAfinal,HB,4.0,5.3,8.166,0.0,13.466,2023,yumin abbadini
ITA,2023 Senior European Championships,qual,HB,90.0,5.3,6.833,0.0,12.133,2023,yumin abbadini
EGY,2022 51st FIG Artistic Gymnastics World Championships,qual,HB,68.0,4.6,8.166,0.0,12.766,2022,abdelrahman abdelhaleem
EGY,2022 51st FIG Artistic Gymnastics World Championships,qual,HB,61.0,4.4,8.566,0.0,12.966,2022,ahmed abdelrahman
UZB,2022 51st FIG Artistic Gymnastics World Championships,qual,HB,39.0,4.6,8.666,0.0,13.266,2022,rasuljon abdurakhimov
UZB,2023 Baku World Cup,qual,HB,27.0,4.5,8.033,0.0,12.533,2023,rasuljon abdurakhimov
UZB,2023 Varna World Challenge Cup,final,HB,8.0,4.3,8.0,0.0,12.3,2023,rasuljon abdurakhimov
UZB,2023 Varna World Challenge Cup,qual,HB,5.0,4.6,8.75,0.0,13.35,2023,rasuljon abdurakhimov
GEO,2022 Senior European Championships,qual,HB,101.0,3.8,7.266,0.0,11.066,2022,saba abesadze
INA,2023 Doha World Cup,qual,HB,26.0,4.9,6.733,0.0,11.633,2023,none abiyurafi
CRC,2023 Central American and Caribbean Games,AAfinal,HB,10.0,4.2,7.95,0.0,12.15,2023,francisco acuna
CRC,2023 Central American and Caribbean Games,final,HB,7.0,4.2,7.65,0.0,11.85,2023,francisco acuna
CRC,2023 Central American and Caribbean Games,qual,HB,8.0,4.2,8.0,0.0,12.2,2023,francisco acuna
CAY,BIRMINGHAM 2022 Commonwealth Games,qual,HB,34.0,2.8,7.35,0.0,10.15,2022,karthik adapa
EGY,2022 51st FIG Artistic Gymnastics World Championships,qual,HB,77.0,4.6,8.033,0.0,12.633,2022,mohamed afify
EGY,2023 Baku World Cup,qual,HB,35.0,4.2,7.266,0.0,11.466,2023,mohamed afify
BAN,BIRMINGHAM 2022 Commonwealth Games,qual,HB,35.0,1.8,5.15,4.0,2.95,2022,shishir ahmed
KAZ,2022 51st FIG Artistic Gymnastics World Championships,qual,HB,119.0,4.8,6.866,0.0,11.666,2022,emil akhmejanov
KAZ,2023 Varna World Challenge Cup,qual,HB,16.0,4.8,7.65,0.0,12.45,2023,emil akhmejanov
BUL,2022 51st FIG Artistic Gymnastics World Championships,qual,HB,63.0,5.2,7.766,0.0,12.966,2022,yordan aleksandrov
BUL,2022 Senior European Championships,qual,HB,17.0,5.2,8.433,0.0,13.633,2022,yordan aleksandrov
BUL,2023 Senior European Championships,qual,HB,46.0,5.1,7.766,0.0,12.866,2023,yordan aleksandrov
BUL,2023 Varna World Challenge Cup,final,HB,2.0,5.3,8.433,0.0,13.733,2023,yordan aleksandrov
BUL,2023 Varna World Challenge Cup,qual,HB,1.0,5.3,8.45,0.0,13.75,2023,yordan aleksandrov
ALG,2023 Cairo World Cup,qual,HB,18.0,4.6,8.233,0.0,12.833,2023,ahmed riadh aliouat
POR,2022 Senior European Championships,qual,HB,57.0,3.9,8.766,0.0,12.666,2022,filipe almeida
CHI,2022 51st FIG Artistic Gymnastics World Championships,qual,HB,90.0,5.0,7.366,0.0,12.366,2022,joel alvarez
CYP,2022 51st FIG Artistic Gymnastics World Championships,qual,HB,55.0,4.9,8.166,0.0,13.066,2022,georgios angonas
CYP,2022 Senior European Championships,qual,HB,39.0,4.8,8.433,0.0,13.233,2022,georgios angonas
CYP,2023 FISU World University Games,qual,HB,35.0,5.1,8.0,0.0,13.1,2023,georgios angonas
CYP,2023 Senior European Championships,qual,HB,70.0,4.8,7.633,0.0,12.433,2023,georgios angonas
CYP,BIRMINGHAM 2022 Commonwealth Games,AAfinal,HB,9.0,4.6,8.35,0.0,12.95,2022,georgios angonas
CYP,BIRMINGHAM 2022 Commonwealth Games,qual,HB,12.0,4.6,8.65,0.0,13.25,2022,georgios angonas
VEN,2023 Central American and Caribbean Games,qual,HB,26.0,4.2,6.6,0.0,10.8,2023,yefferson anton
PUR,2023 Central American and Caribbean Games,qual,HB,14.0,3.9,8.0,0.0,11.9,2023,miguel aquino iii
TUR,2022 51st FIG Artistic Gymnastics World Championships,qual,HB,64.0,4.4,8.533,0.0,12.933,2022,ferhat arican
TUR,2022 Senior European Championships,qual,HB,43.0,4.7,8.433,0.0,13.133,2022,ferhat arican
TUR,2022 Senior European Championships,TeamFinal,HB,19.0,4.7,8.0,0.0,12.7,2022,ferhat arican
TUR,2023 Senior European Championships,qual,HB,47.0,4.4,8.433,0.0,12.833,2023,ferhat arican
TUR,EnBW DTB Pokal Team Challenge 2023,qual,HB,26.0,4.4,8.55,0.0,12.95,2023,ferhat arican
AUT,2022 Senior European Championships,qual,HB,95.0,3.8,7.833,0.0,11.633,2022,manuel helmut arnold
TUR,2022 51st FIG Artistic Gymnastics World Championships,qual,HB,28.0,5.0,8.566,0.0,13.566,2022,adem asil
TUR,2022 Senior European Championships,qual,HB,60.0,4.7,7.933,0.0,12.633,2022,adem asil
TUR,2022 Senior European Championships,TeamFinal,HB,3.0,5.4,8.5,0.0,13.9,2022,adem asil
TUR,2023 Doha World Cup,final,HB,4.0,5.4,8.366,0.0,13.766,2023,adem asil
TUR,2023 Doha World Cup,qual,HB,7.0,5.0,8.633,0.0,13.633,2023,adem asil
TUR,2023 FISU World University Games,qual,HB,12.0,5.4,8.4,0.0,13.8,2023,adem asil
TUR,2023 Senior European Championships,AAfinal,HB,5.0,4.7,8.733,0.0,13.433,2023,adem asil
TUR,2023 Senior European Championships,qual,HB,21.0,4.7,8.5,0.0,13.2,2023,adem asil
TUR,EnBW DTB Pokal Team Challenge 2023,qual,HB,14.0,5.0,8.5,0.0,13.5,2023,adem asil
PAN,2023 Central American and Caribbean Games,qual,HB,27.0,4.3,6.2,0.0,10.5,2023,richard atencio
GBR,2023 British Gymnastics Championships,qual,HB,31.0,3.2,4.25,0.0,7.45,2023,jaydon attygalle
UZB,2023 FISU World University Games,qual,HB,65.0,4.0,7.666,0.0,11.666,2023,asadbek azamov
