Name,Country,Gender,Date,Competition,Round,Apparatus,Rank,D_Score,E_Score,Penalty,Score
Fredrik AAS,NOR,m,2023-02-26,2023 Cottbus World Cup,qual,HB,39.0,4.6,6.7,0.0,11.3
Fredrik AAS,NOR,m,2023-02-26,2023 Cottbus World Cup,qual,PH,44.0,4.4,7.8,0.0,12.2
Fredrik Bjornevik AAS,NOR,m,2023-08-05,2023 FISU World University Games,qual,FX,54.0,4.0,8.566,0.0,12.566
Fredrik Bjornevik AAS,NOR,m,2023-08-05,2023 FISU World University Games,qual,HB,44.0,4.6,8.166,0.0,12.766
Fredrik Bjornevik AAS,NOR,m,2023-08-05,2023 FISU World University Games,qual,PB,54.0,4.4,8.066,0.0,12.466
Fredrik Bjornevik AAS,NOR,m,2023-08-05,2023 FISU World University Games,qual,PH,58.0,4.4,7.266,0.0,11.666
Fredrik Bjornevik AAS,NOR,m,2023-08-05,2023 FISU World University Games,qual,SR,73.0,3.5,8.366,0.0,11.866
Fredrik Bjornevik AAS,NOR,m,2023-08-05,2023 FISU World University Games,qual,VT1,69.0,4.0,8.966,0.0,12.966
Nestor ABAD,ESP,m,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,FX,13.0,5.5,8.3,0.0,13.8
Nestor ABAD,ESP,m,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,FX,48.0,5.5,7.9,0.0,13.4
Nestor ABAD,ESP,m,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,HB,10.0,5.3,8.133,0.0,13.433
Nestor ABAD,ESP,m,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,HB,48.0,5.0,8.166,0.0,13.166
Nestor ABAD,ESP,m,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,PB,12.0,5.8,8.4,0.0,14.2
Nestor ABAD,ESP,m,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,PB,26.0,5.8,8.5,0.0,14.3
Nestor ABAD,ESP,m,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,PH,21.0,5.1,6.166,0.0,11.266
Nestor ABAD,ESP,m,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,PH,55.0,5.2,7.566,0.0,12.766
Nestor ABAD,ESP,m,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,SR,12.0,5.3,7.933,0.0,13.233
Nestor ABAD,ESP,m,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,SR,90.0,4.9,7.666,0.0,12.566
Nestor ABAD,ESP,m,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,VT,20.0,4.8,9.033,0.1,13.733
Nestor ABAD,ESP,m,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,VT1,97.0,4.8,9.0,0.3,13.5
Nestor ABAD,ESP,m,2022-08-21,2022 Senior European Championships,qual,FX,86.0,5.4,7.133,0.1,12.433
Nestor ABAD,ESP,m,2022-08-21,2022 Senior European Championships,qual,HB,10.0,5.3,8.5,0.0,13.8
Nestor ABAD,ESP,m,2022-08-21,2022 Senior European Championships,TeamFinal,HB,10.0,5.3,8.1,0.0,13.4
Nestor ABAD,ESP,m,2022-08-21,2022 Senior European Championships,qual,PB,9.0,5.8,8.6,0.0,14.4
Nestor ABAD,ESP,m,2022-08-21,2022 Senior European Championships,TeamFinal,PB,10.0,5.8,8.266,0.0,14.066
Nestor ABAD,ESP,m,2022-08-21,2022 Senior European Championships,qual,PH,105.0,5.0,5.5,0.0,10.5
Nestor ABAD,ESP,m,2022-08-21,2022 Senior European Championships,qual,SR,23.0,5.3,8.366,0.0,13.666
Nestor ABAD,ESP,m,2022-08-21,2022 Senior European Championships,TeamFinal,SR,6.0,5.3,8.333,0.0,13.633
Nestor ABAD,ESP,m,2022-08-21,2022 Senior European Championships,qual,VT1,36.0,5.2,9.2,0.3,14.1
Nestor ABAD,ESP,m,2023-04-16,2023 Senior European Championships,AAfinal,FX,24.0,5.4,7.233,0.0,12.633
Nestor ABAD,ESP,m,2023-04-16,2023 Senior European Championships,qual,FX,94.0,4.6,8.0,0.1,12.5
