Name,Country,Gender,Date,Competition,Round,Apparatus,Rank,D_Score,E_Score,Penalty,Score
Jana ABDELSALAM,EGY,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,BB,100.0,4.8,6.2,0.0,11.0
Jana ABDELSALAM,EGY,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,FX,109.0,4.4,7.466,0.1,11.766
Jana ABDELSALAM,EGY,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,UB,52.0,4.8,8.0,0.0,12.8
Jana ABDELSALAM,EGY,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,VT1,110.0,4.2,8.433,0.3,12.333
Jana ABDELSALAM,EGY,w,2023-03-12,2023 Baku World Cup,qual,BB,22.0,4.8,6.733,0.0,11.533
Jana ABDELSALAM,EGY,w,2023-03-12,2023 Baku World Cup,qual,FX,22.0,4.5,7.366,0.0,11.866
Jana ABDELSALAM,EGY,w,2023-04-30,2023 Cairo World Cup,final,BB,8.0,4.8,6.566,0.0,11.366
Jana ABDELSALAM,EGY,w,2023-04-30,2023 Cairo World Cup,qual,BB,9.0,4.7,7.466,0.0,12.166
Jana ABDELSALAM,EGY,w,2023-04-30,2023 Cairo World Cup,qual,UB,29.0,4.5,6.266,0.0,10.766
Jana ABDELSALAM,EGY,w,2023-03-04,2023 Doha World Cup,final,BB,4.0,5.0,8.0,0.0,13.0
Jana ABDELSALAM,EGY,w,2023-03-04,2023 Doha World Cup,qual,BB,6.0,5.0,7.933,0.0,12.933
Jana ABDELSALAM,EGY,w,2023-03-04,2023 Doha World Cup,qual,UB,21.0,3.8,5.533,0.0,9.333
Ayesha ABDULLAHI,GBR,w,2022-03-27,2022 British Gymnastics Championships,qual,BB,41.0,3.7,6.5,0.0,10.2
Ayesha ABDULLAHI,GBR,w,2022-03-27,2022 British Gymnastics Championships,qual,UB,45.0,3.5,6.7,0.0,10.2
Kumudi Imanya ABEYRATNE,SRI,w,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,qual,BB,36.0,3.9,5.2,0.0,9.1
Kumudi Imanya ABEYRATNE,SRI,w,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,qual,FX,39.0,2.9,4.45,0.0,7.35
Kumudi Imanya ABEYRATNE,SRI,w,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,qual,UB,39.0,1.2,4.3,0.0,5.5
Jana ABOELHASAN,EGY,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,BB,116.0,4.6,5.9,0.0,10.5
