Name,Country,Gender,Date,Competition,Round,Apparatus,Rank,D_Score,E_Score,Penalty,Score
Jana ABDELSALAM,EGY,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,VT1,110.0,4.2,8.433,0.3,12.333
Jana ABOELHASAN,EGY,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,VT1,138.0,3.2,8.4,0.0,11.6
Ondine ACHAMPONG,GBR,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,VT1,3.0,5.0,9.466,0.0,14.466
Ondine ACHAMPONG,GBR,w,2022-03-27,2022 British Gymnastics Championships,qual,VT1,1.0,5.0,9.25,0.0,14.25
Ondine ACHAMPONG,GBR,w,2022-08-14,2022 Senior European Championships,qual,VT1,4.0,5.0,8.933,0.0,13.933
Ondine ACHAMPONG,GBR,w,2022-08-14,2022 Senior European Championships,TeamFinal,VT1,7.0,5.0,8.9,0.0,13.9
Ondine ACHAMPONG,GBR,w,2023-04-16,2023 Senior European Championships,qual,VT1,6.0,5.0,8.966,0.0,13.966
Ondine ACHAMPONG,ENG,w,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,AAfinal,VT,1.0,5.0,8.9,0.0,13.9
Thelma ADALSTEINSDOTTIR,ISL,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,VT1,126.0,3.8,8.266,0.0,12.066
Thelma ADALSTEINSDOTTIR,ISL,w,2022-08-14,2022 Senior European Championships,qual,VT1,69.0,3.8,8.533,0.0,12.333
Thelma ADALSTEINSDOTTIR,ISL,w,2023-04-16,2023 Senior European Championships,qual,VT1,82.0,3.8,8.5,0.0,12.3
Jess ADAMSON,GBR,w,2022-03-27,2022 British Gymnastics Championships,qual,VT1,44.0,3.6,8.4,0.0,12.0
Ruba ALDAOUD,JOR,w,2023-04-30,2023 Cairo World Cup,qual,VT1,23.0,3.2,8.6,0.0,11.8
Ruba ALDAOUD,JOR,w,2023-04-30,2023 Cairo World Cup,qual,VT2,23.0,1.6,8.566,0.0,10.166
Lobar AMRILLAEVA,UZB,w,2023-05-28,2023 Varna World Challenge Cup,qual,VT1,9.0,3.8,8.566,0.0,12.366
Lobar AMRILLAEVA,UZB,w,2023-05-28,2023 Varna World Challenge Cup,qual,VT2,9.0,3.4,8.733,0.0,12.133
Anastasija ANANJEVA,LAT,w,2022-08-14,2022 Senior European Championships,qual,VT1,87.0,3.8,8.266,0.0,12.066
Anastasija ANANJEVA,LAT,w,2022-08-14,2022 Senior European Championships,qual,VT2,24.0,3.4,8.5,0.0,11.9
Anastasija ANANJEVA,LAT,w,2023-04-16,2023 Senior European Championships,qual,VT1,93.0,3.8,8.633,0.3,12.133
Anastasija ANANJEVA,LAT,w,2023-04-16,2023 Senior European Championships,qual,VT2,15.0,3.4,8.433,0.0,11.833
Rebeca ANDRADE,BRA,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,VT,1.0,5.6,9.566,0.0,15.166
Rebeca ANDRADE,BRA,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,VT1,1.0,5.6,9.466,0.0,15.066
Rebeca ANDRADE,BRA,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,VT2,12.0,3.0,8.466,0.0,11.466
Angela ANDREOLI,ITA,w,2022-08-14,2022 Senior European Championships,qual,VT1,26.0,4.6,8.533,0.0,13.133
Angela ANDREOLI,ITA,w,2022-08-14,2022 Senior European Championships,qual,VT2,13.0,4.0,8.633,0.0,12.633
Angela ANDREOLI,ITA,w,2023-04-16,2023 Senior European Championships,qual,VT1,43.0,4.6,8.733,0.3,13.033
Angela ANDREOLI,ITA,w,2023-04-16,2023 Senior European Championships,qual,VT2,10.0,3.8,8.466,0.0,12.266
Minea Aino Maija ANTILA,FIN,w,2023-08-05,2023 FISU World University Games,qual,VT1,26.0,3.6,8.633,0.0,12.23
Misella Alli Helena ANTILA,FIN,w,2023-08-05,2023 FISU World University Games,qual,VT1,37.0,3.2,8.666,0.0,11.86
Shannon ARCHER,GBR,w,2022-03-27,2022 British Gymnastics Championships,final,VT1,6.0,5.0,7.05,0.3,12.35
Shannon ARCHER,GBR,w,2022-03-27,2022 British Gymnastics Championships,qual,VT1,3.0,5.0,8.85,0.0,13.85
