Rank,Gymnast,D Score1,E Score1,Pen.1,Score 1,D Score2,E Score2,Pen.2,Score 2,Total,year
1.0,McKayla Maroney(USA),6.3,9.766,0.1,15.966,6.0,9.483,0.0,15.483,15.724,2013
2.0,Simone Biles(USA),6.3,9.633,0.0,15.933,5.6,9.658,0.0,15.258,15.595,2013
3.0,Hong Un-Jong(PRK),6.3,9.266,0.0,15.566,6.4,9.0,0.0,15.4,15.483,2013
4.0,Giulia Steingruber(SUI),6.2,9.3,0.0,15.5,5.8,9.166,0.0,14.966,15.233,2013
5.0,Oksana Chusovitina(UZB),6.2,8.533,0.1,14.633,5.5,9.033,0.0,14.533,14.583,2013
6.0,Phan Thị Hà Thanh(VIE),6.2,8.866,0.1,14.966,5.8,7.933,0.1,13.633,14.299,2013
7.0,Yamilet Peña(DOM),7.0,7.766,0.3,14.466,5.8,7.666,0.0,13.466,13.966,2013
8.0,Chantysha Netteb(NED),5.8,8.1,0.0,13.9,0.0,0.0,0.0,0.0,6.95,2013
1.0,Hong Un-jong(PRK),6.3,9.466,0.0,15.766,6.4,9.033,0.0,15.433,15.599,2014
2.0,Simone Biles(USA),6.3,9.6,0.0,15.9,5.6,9.608,0.0,15.208,15.554,2014
3.0,Mykayla Skinner(USA),6.4,9.3,0.0,15.7,5.8,9.233,0.0,15.033,15.366,2014
4.0,Alla Sosnitskaya(RUS),6.4,8.866,0.3,14.966,5.8,9.166,0.0,14.966,14.966,2014
5.0,Giulia Steingruber(SUI),6.2,9.033,0.0,15.233,5.0,9.2,0.0,14.2,14.716,2014
5.0,Claudia Fragapane(GBR),5.8,9.033,0.0,14.833,5.6,9.0,0.0,14.6,14.716,2014
7.0,Alexa Moreno(MEX),6.2,8.833,0.0,15.033,6.0,8.366,0.3,14.066,14.549,2014
8.0,Phan Thị Hà Thanh(VIE),5.8,8.608,0.3,14.108,6.2,8.533,0.1,14.633,14.37,2014
1.0,Maria Paseka(RUS),6.4,9.233,0.0,15.633,6.3,9.4,0.0,15.7,15.666,2015
2.0,Hong Un-jong(PRK),6.3,9.366,0.0,15.666,6.4,9.2,0.0,15.6,15.633,2015
3.0,Simone Biles(USA),6.3,9.6,0.0,15.9,5.6,9.583,0.0,15.183,15.541,2015
4.0,Ellie Downie(GBR),5.8,9.166,0.0,14.966,5.6,9.233,0.0,14.833,14.899,2015
5.0,Dipa Karmakar(IND),7.0,8.3,0.0,15.3,6.0,8.366,-0.3,14.066,14.683,2015
6.0,Wang Yan(CHN),6.0,9.066,0.0,15.066,6.2,7.9,0.0,14.1,14.583,2015
7.0,Giulia Steingruber(SUI),6.2,9.4,-0.1,15.5,5.3,8.333,0.0,13.633,14.566,2015
7.0,Alexa Moreno(MEX),6.2,8.566,-0.1,14.666,6.0,8.566,-0.1,14.466,14.566,2015
1.0,Maria Paseka,6.0,8.7,0.0,14.7,5.8,9.2,0.0,15.0,14.85,2017
2.0,Jade Carey,5.8,9.0,0.0,14.8,5.6,9.133,0.0,14.733,14.766,2017
3.0,Giulia Steingruber,5.8,8.933,-0.1,14.633,5.4,8.9,0.0,14.3,14.466,2017
4.0,Ellie Black,5.4,9.166,0.0,14.566,5.2,9.066,0.0,14.266,14.416,2017
5.0,Oksana Chusovitina,5.4,9.033,0.0,14.433,5.2,9.1,0.0,14.3,14.366,2017
6.0,Wang Yan,5.6,8.9,0.0,14.5,5.8,8.5,-0.1,14.2,14.35,2017
7.0,Shallon Olsen,5.8,7.833,-0.1,13.533,6.0,8.933,0.0,14.933,14.233,2017
8.0,Sae Miyakawa,5.8,8.7,0.0,14.5,5.4,7.7,0.0,13.1,13.8,2017
,Simone Biles,6.0,9.266,0.0,15.266,5.8,9.666,0.0,15.466,15.366,2018
,Shallon Olsen,6.0,8.6,0.0,14.6,5.4,9.033,0.0,14.433,14.516,2018
,Alexa Moreno,5.8,8.8,0.0,14.6,5.6,8.916,0.1,14.416,14.508,2018
4.0,Oksana Chusovitina,5.8,8.6,0.0,14.4,5.2,9.0,0.0,14.2,14.3,2018
5.0,Yeo Seo-jeong,5.8,8.833,0.1,14.533,5.4,8.533,0.0,13.933,14.233,2018
6.0,Liu Jinru,5.6,8.6,0.1,14.1,5.8,8.4,0.0,14.2,14.15,2018
7.0,Ellie Black,5.4,8.6,0.0,14.0,5.2,9.033,0.0,14.233,14.116,2018
8.0,Pyon Rye-yong,5.8,7.566,0.3,13.066,5.8,8.366,0.0,14.166,13.616,2018
1.0,Simone Biles,6.0,9.333,0.0,15.333,5.8,9.666,0.0,15.466,15.399,2019
2.0,Jade Carey,6.0,9.166,0.0,15.166,5.8,9.1,0.3,14.6,14.883,2019
3.0,Ellie Downie,5.4,9.2,0.0,14.6,6.0,9.033,0.0,15.033,14.816,2019
4.0,Shallon Olsen,5.4,9.2,0.0,14.6,6.0,8.866,0.0,14.866,14.733,2019
5.0,Qi Qi,5.4,9.2,0.0,14.6,5.8,8.9,0.0,14.7,14.65,2019
6.0,Alexa Moreno,5.8,8.766,0.1,14.466,5.6,9.2,0.0,14.8,14.633,2019
7.0,Lilia Akhaimova,5.8,8.9,0.0,14.7,5.6,8.733,0.3,14.033,14.366,2019
8.0,Yeo Seo-jeong,6.2,8.033,0.3,13.933,5.4,9.033,0.0,14.433,14.183,2019
