Position,Gymnast,D Score,E Score,Penalty,Total,year
1,Sui Lu,6.6,9.266,0.0,15.866,2011
2,Yao Jinnan,6.3,8.933,0.0,15.233,2011
3,Jordyn Wieber,6.2,8.933,0.0,15.133,2011
4,Aly Raisman,6.4,8.666,0.0,15.066,2011
5,Amelia Racea,5.9,8.633,0.0,14.533,2011
6,Yulia Inshina,5.7,8.825,0.0,14.525,2011
7,Cătălina Ponor,5.7,8.541,0.0,14.241,2011
8,Viktoria Komova,5.9,7.866,0.0,13.766,2011
1,Aliya Mustafina,6.0,8.9,0.0,14.9,2013
2,Kyla Ross,6.0,8.833,0.0,14.833,2013
3,Simone Biles,6.1,8.233,0.0,14.333,2013
4,Vanessa Ferrari,5.7,8.6,0.0,14.3,2013
5,Carlotta Ferlito,5.9,8.383,0.0,14.283,2013
6,Shang Chunsong,6.2,7.933,0.0,14.133,2013
7,Larisa Iordache,6.3,7.633,0.0,13.933,2013
8,Anna Rodionova,5.7,7.4,0.0,13.1,2013
1,Simone Biles,6.4,8.7,0.0,15.1,2014
2,Bai Yawen,6.2,8.833,0.0,15.033,2014
3,Aliya Mustafina,5.5,8.666,0.0,14.166,2014
4,Asuka Teramoto,5.6,8.5,0.0,14.1,2014
5,Larisa Iordache,6.2,7.866,0.0,14.066,2014
6,Kyla Ross,5.6,8.266,0.0,13.866,2014
7,Elsabeth Black,6.3,7.4,0.0,13.7,2014
8,Yao Jinnan,5.7,7.666,0.0,13.366,2014
1,Simone Biles,6.4,8.958,0.0,15.358,2015
2,Sanne Wevers,5.7,8.633,0.0,14.333,2015
3,Pauline Schäfer,5.8,8.333,0.0,14.133,2015
4,Viktoria Komova,5.7,8.233,0.0,13.933,2015
5,Wang Yan,6.4,7.233,0.0,13.633,2015
6,Seda Tutkhalyan,6.0,7.5,0.0,13.5,2015
7,Ellie Black,6.0,7.466,0.0,13.466,2015
8,Eythora Thorsdottir,5.7,7.033,0.0,12.733,2015
1,Pauline Schäfer,5.5,8.033,0.0,13.533,2017
2,Morgan Hurd,5.7,7.8,-0.1,13.4,2017
3,Tabea Alt,5.7,7.6,0.0,13.3,2017
4,Mai Murakami,5.4,7.666,0.0,13.066,2017
5,Elena Eremina,5.4,7.566,0.0,12.966,2017
6,Asuka Teramoto,5.6,7.366,0.0,12.966,2017
7,Liu Tingting,5.5,7.366,-0.1,12.766,2017
8,Ellie Black,5.7,6.7,0.0,12.4,2017
1,Liu Tingting,6.3,8.233,0.0,14.533,2018
2,Ana Padurariu,6.0,8.1,0.0,14.1,2018
3,Simone Biles,6.2,7.4,0.0,13.6,2018
4,Nina Derwael,5.4,8.066,0.0,13.466,2018
5,Ellie Black,4.8,8.233,0.0,13.033,2018
6,Kara Eaker,6.2,6.733,0.1,12.833,2018
7,Sanne Wevers,5.3,7.366,0.0,12.666,2018
8,Zhang Jin,5.3,6.2,0.0,11.5,2018
1,Simone Biles,6.4,8.666,0.0,15.066,2019
2,Liu Tingting,6.2,8.233,0.0,14.433,2019
3,Li Shijia,6.1,8.3,0.1,14.3,2019
4,Kara Eaker,5.9,8.1,0.0,14.0,2019
5,Mélanie de Jesus dos Santos,5.5,8.466,0.0,13.966,2019
6,Flávia Saraiva,5.7,7.7,0.0,13.4,2019
7,Sarah Voss,5.4,7.866,0.0,13.266,2019
8,Ana Padurariu,5.6,6.333,0.0,11.933,2019
