Rank,Gymnast,vt,ub,bb,fx,Total,year
1,Simone Biles(USA),15.85,14.7,14.433,15.233,60.216,2013
2,Kyla Ross(USA),15.366,15.1,14.533,14.333,59.332,2013
3,Aliya Mustafina(RUS),14.891,15.233,14.166,14.566,58.856,2013
4,Larisa Iordache(ROU),15.033,14.2,13.833,14.7,57.766,2013
5,Yao Jinnan(CHN),14.8,15.333,13.633,13.866,57.632,2013
6,Vanessa Ferrari(ITA),14.4,13.7,14.166,14.466,56.732,2013
7,Giulia Steingruber(SUI),15.3,13.2,13.733,14.466,56.699,2013
8,Shang Chunsong(CHN),14.0,14.466,13.7,13.966,56.132,2013
9,Asuka Teramoto(JPN),14.0,14.033,14.033,13.466,55.532,2013
10,Victoria Moors(CAN),14.733,13.8,12.3,14.633,55.466,2013
11,Carlotta Ferlito(ITA),14.333,13.233,14.1,13.733,55.399,2013
12,Roxana Popa(ESP),14.8,13.533,12.933,14.1,55.366,2013
13,Ellie Black(CAN),14.533,12.866,14.133,13.433,54.965,2013
14,Noémi Makra(HUN),13.7,13.633,13.9,13.533,54.766,2013
15,Elisabeth Seitz(GER),14.833,13.733,12.433,12.666,53.665,2013
16,Anna Rodionova(RUS),14.141,13.758,12.066,13.333,53.298,2013
17,Ruby Harrold(GBR),13.9,14.533,11.066,13.7,53.199,2013
18,Gaelle Mys(BEL),13.958,12.366,13.666,12.966,52.956,2013
19,Rebecca Tunney(GBR),14.866,13.033,11.966,13.0,52.865,2013
20,Noël van Klaveren(NED),14.966,10.633,12.733,13.633,51.965,2013
21,Laura Waem(BEL),13.8,13.533,12.233,12.366,51.932,2013
22,Ilaria Kaeslin(SUI),13.8,13.1,12.433,12.233,51.566,2013
23,Natsumi Sasada(JPN),13.966,10.366,13.5,13.233,51.065,2013
24,Vasiliki Millousi(GRE),13.166,10.5,12.8,13.066,49.532,2013
