Name,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score
Fredrik AAS,NOR,2023-02-26 20:23:00,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",HB,39.0,4.6,6.7,0.0,11.3
Fredrik AAS,NOR,2023-02-26 20:23:00,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",PH,44.0,4.4,7.8,0.0,12.2
Fredrik Bjornevik AAS,NOR,2001-08-05 20:23:00,2023 FISU World University Games,qual,"Chengdu, China",FX,54.0,4.0,8.566,0.0,12.566
Fredrik Bjornevik AAS,NOR,2001-08-05 20:23:00,2023 FISU World University Games,qual,"Chengdu, China",HB,44.0,4.6,8.166,0.0,12.766
Fredrik Bjornevik AAS,NOR,2001-08-05 20:23:00,2023 FISU World University Games,qual,"Chengdu, China",PB,54.0,4.4,8.066,0.0,12.466
Fredrik Bjornevik AAS,NOR,2001-08-05 20:23:00,2023 FISU World University Games,qual,"Chengdu, China",PH,58.0,4.4,7.266,0.0,11.666
Fredrik Bjornevik AAS,NOR,2001-08-05 20:23:00,2023 FISU World University Games,qual,"Chengdu, China",SR,73.0,3.5,8.366,0.0,11.866
Fredrik Bjornevik AAS,NOR,2001-08-05 20:23:00,2023 FISU World University Games,qual,"Chengdu, China",VT,69.0,4.0,8.966,0.0,12.966
Nestor ABAD,ESP,2018-08-21 20:22:00,2022 Senior European Championships,qual,"Munich, Germany",FX,86.0,5.4,7.133,0.1,12.433
Nestor ABAD,ESP,2018-08-21 20:22:00,2022 Senior European Championships,qual,"Munich, Germany",HB,10.0,5.3,8.5,0.0,13.8
Nestor ABAD,ESP,2018-08-21 20:22:00,2022 Senior European Championships,TeamFinal,"Munich, Germany",HB,10.0,5.3,8.1,0.0,13.4
Nestor ABAD,ESP,2018-08-21 20:22:00,2022 Senior European Championships,qual,"Munich, Germany",PB,9.0,5.8,8.6,0.0,14.4
Nestor ABAD,ESP,2018-08-21 20:22:00,2022 Senior European Championships,TeamFinal,"Munich, Germany",PB,10.0,5.8,8.266,0.0,14.066
Nestor ABAD,ESP,2018-08-21 20:22:00,2022 Senior European Championships,qual,"Munich, Germany",PH,105.0,5.0,5.5,0.0,10.5
Nestor ABAD,ESP,2018-08-21 20:22:00,2022 Senior European Championships,qual,"Munich, Germany",SR,23.0,5.3,8.366,0.0,13.666
Nestor ABAD,ESP,2018-08-21 20:22:00,2022 Senior European Championships,TeamFinal,"Munich, Germany",SR,6.0,5.3,8.333,0.0,13.633
Nestor ABAD,ESP,2018-08-21 20:22:00,2022 Senior European Championships,qual,"Munich, Germany",VT,36.0,5.2,9.2,0.3,14.1
Nestor ABAD,ESP,2011-04-16 20:23:00,2023 Senior European Championships,AAfinal,"Antalya, Turkey",FX,24.0,5.4,7.233,0.0,12.633
Nestor ABAD,ESP,2011-04-16 20:23:00,2023 Senior European Championships,qual,"Antalya, Turkey",FX,94.0,4.6,8.0,0.1,12.5
Nestor ABAD,ESP,2011-04-16 20:23:00,2023 Senior European Championships,AAfinal,"Antalya, Turkey",HB,9.0,5.3,8.1,0.0,13.4
Nestor ABAD,ESP,2011-04-16 20:23:00,2023 Senior European Championships,final,"Antalya, Turkey",HB,4.0,5.3,8.366,0.0,13.666
Nestor ABAD,ESP,2011-04-16 20:23:00,2023 Senior European Championships,qual,"Antalya, Turkey",HB,5.0,5.3,8.433,0.0,13.733
Nestor ABAD,ESP,2011-04-16 20:23:00,2023 Senior European Championships,AAfinal,"Antalya, Turkey",PB,10.0,5.8,8.033,0.0,13.833
Nestor ABAD,ESP,2011-04-16 20:23:00,2023 Senior European Championships,qual,"Antalya, Turkey",PB,23.0,5.8,8.1,0.0,13.9
Nestor ABAD,ESP,2011-04-16 20:23:00,2023 Senior European Championships,AAfinal,"Antalya, Turkey",PH,12.0,4.7,8.3,0.0,13.0
Nestor ABAD,ESP,2011-04-16 20:23:00,2023 Senior European Championships,qual,"Antalya, Turkey",PH,28.0,5.0,8.233,0.0,13.233
Nestor ABAD,ESP,2011-04-16 20:23:00,2023 Senior European Championships,qual,"Antalya, Turkey",SR,17.0,5.3,8.466,0.0,13.766
Nestor ABAD,ESP,2011-04-16 20:23:00,2023 Senior European Championships,AAfinal,"Antalya, Turkey",SR,4.0,5.3,8.366,0.0,13.666
Nestor ABAD,ESP,2011-04-16 20:23:00,2023 Senior European Championships,AAfinal,"Antalya, Turkey",VT,22.0,5.2,7.9,0.1,13.0
Nestor ABAD,ESP,2011-04-16 20:23:00,2023 Senior European Championships,qual,"Antalya, Turkey",VT,69.0,4.8,9.0,0.1,13.7
Yumin ABBADINI,ITA,2018-08-21 20:22:00,2022 Senior European Championships,qual,"Munich, Germany",FX,19.0,5.4,8.433,0.0,13.833
Yumin ABBADINI,ITA,2018-08-21 20:22:00,2022 Senior European Championships,qual,"Munich, Germany",HB,11.0,5.6,8.2,0.0,13.8
Yumin ABBADINI,ITA,2018-08-21 20:22:00,2022 Senior European Championships,TeamFinal,"Munich, Germany",HB,6.0,5.6,8.166,0.0,13.766
Yumin ABBADINI,ITA,2018-08-21 20:22:00,2022 Senior European Championships,qual,"Munich, Germany",PB,91.0,4.7,7.333,0.0,12.033
Yumin ABBADINI,ITA,2018-08-21 20:22:00,2022 Senior European Championships,qual,"Munich, Germany",PH,61.0,5.0,7.533,0.0,12.533
Yumin ABBADINI,ITA,2018-08-21 20:22:00,2022 Senior European Championships,TeamFinal,"Munich, Germany",PH,5.0,5.5,8.333,0.0,13.833
Yumin ABBADINI,ITA,2018-08-21 20:22:00,2022 Senior European Championships,TeamFinal,"Munich, Germany",SR,13.0,5.0,8.366,0.0,13.366
Yumin ABBADINI,ITA,2011-04-16 20:23:00,2023 Senior European Championships,AAfinal,"Antalya, Turkey",FX,11.0,5.5,8.266,0.0,13.766
Yumin ABBADINI,ITA,2011-04-16 20:23:00,2023 Senior European Championships,qual,"Antalya, Turkey",FX,11.0,5.5,8.466,0.0,13.966
