Rank,Athlete,Nation,D,E,ND,Total,year,round,medal
1,Krisztián Berki ,HUN,7.0,9.033,0.0,16.033,2014,final,0
2,Filip Ude ,CRO,6.7,9.083,0.0,15.783,2014,final,0
3,Cyril Tommasone ,FRA,6.9,8.7,0.0,15.6,2014,final,0
4,Sašo Bertoncelj ,SLO,6.7,8.833,0.0,15.533,2014,final,0
5,Robert Seligman ,CRO,6.4,9.0,0.0,15.4,2014,final,0
6,Alexander Naddour ,USA,6.8,8.5,0.0,15.3,2014,final,1
7,Andrey Likhovitskiy ,BLR,6.5,8.7,0.0,15.2,2014,final,0
8,Daniel Keatings ,GBR,7.1,8.033,0.0,15.133,2014,final,0
1,Max Whitlock ,GBR,7.3,8.866,0.0,16.166,2014,final,1
2,Krisztián Berki ,HUN,6.9,8.733,0.0,15.633,2014,final,0
3,Sašo Bertoncelj ,SLO,6.5,8.966,0.0,15.466,2014,final,0
4,Nikolai Kuksenkov ,RUS,7.1,8.233,0.0,15.333,2014,final,0
5,Oleg Verniaiev ,UKR,6.7,7.433,0.0,14.133,2014,final,0
6,Andrey Likhovitskiy ,BLR,6.4,7.6,0.0,14.0,2014,final,0
7,Filip Ude ,CRO,6.4,7.366,0.0,13.766,2014,final,0
8,Vasili Mikhalitsyn ,BLR,6.1,7.166,0.0,13.266,2014,final,0
1,Max Whitlock ,GBR,7.3,8.833,0.0,16.133,2015,final,1
2,Louis Smith ,GBR,7.2,8.833,0.0,16.033,2015,final,1
3,Harutyun Merdinyan ,ARM,6.7,8.8,0.0,15.5,2015,final,0
4,Kazuma Kaya ,JPN,6.8,8.7,0.0,15.5,2015,final,0
5,Vid Hidvégi ,HUN,6.6,8.766,0.0,15.366,2015,final,0
6,Oleg Verniaiev ,UKR,7.0,8.266,0.0,15.266,2015,final,0
7,Alexander Naddour ,USA,6.7,8.5,0.0,15.2,2015,final,1
8,Robert Seligman ,CRO,6.4,8.033,0.0,14.433,2015,final,0
1,Louis Smith ,GBR,6.9,8.9,0.0,15.8,2015,final,1
2,Harutyun Merdinyan ,ARM,6.7,8.633,0.0,15.333,2015,final,0
3,Alberto Busnari ,ITA,6.8,8.4,0.0,15.2,2015,final,0
4,Robert Seligman ,CRO,6.3,8.7,0.0,15.0,2015,final,0
5,Vid Hidvégi ,HUN,6.6,8.3,0.0,14.9,2015,final,0
6,Oleg Stepko ,AZE,6.5,8.166,0.0,14.666,2015,final,0
7,Dmitrijs Trefilovs ,LAT,6.3,7.808,0.0,14.108,2015,final,0
8,Matvei Petrov ,RUS,6.1,6.933,0.0,13.033,2015,final,0
