Rank,Athlete,Nation,D,E,ND,Total,year,round,medal
1,Liu Yang ,CHN,6.9,9.033,0.0,15.933,2014,final,0
2,Arthur Zanetti ,BRA,6.8,8.933,0.0,15.733,2014,final,1
3,You Hao ,CHN,7.0,8.7,0.0,15.7,2014,final,0
4,Denis Ablyazin ,RUS,6.8,8.9,0.0,15.7,2014,final,1
5,Samir Aït Saïd ,FRA,6.8,8.766,0.0,15.566,2014,final,0
6,Courtney Tulloch ,GBR,6.8,8.6,0.0,15.4,2014,final,0
7,Eleftherios Petrounias ,GRE,6.7,8.7,0.0,15.4,2014,final,1
8,Nikita Ignatyev ,RUS,6.6,8.666,0.0,15.266,2014,final,0
1,Denis Ablyazin ,RUS,6.8,9.0,0.0,15.8,2014,final,1
2,Aleksandr Balandin ,RUS,6.9,8.9,0.0,15.8,2014,final,0
3,Samir Aït Saïd ,FRA,6.8,8.966,0.0,15.766,2014,final,0
4,Artur Tovmasyan ,ARM,6.6,9.1,0.0,15.7,2014,final,0
5,Vahagn Davtyan ,ARM,6.6,9.0,0.0,15.6,2014,final,0
6,Eleftherios Petrounias ,GRE,6.8,8.8,0.0,15.6,2014,final,1
7,Igor Radivilov ,UKR,6.7,8.333,0.0,15.033,2014,final,0
8,Yuri Van Gelder ,NED,6.4,7.808,0.0,14.208,2014,final,0
1,Eleftherios Petrounias ,GRE,6.8,9.0,0.0,15.8,2015,final,1
2,You Hao ,CHN,7.0,8.733,0.0,15.733,2015,final,0
3,Liu Yang ,CHN,6.9,8.8,0.0,15.7,2015,final,0
4,Samir Aït Saïd ,FRA,6.8,8.833,0.0,15.633,2015,final,0
5,Brandon Wynn ,USA,6.8,8.8,0.0,15.6,2015,final,0
6,Yuri van Gelder ,NED,6.8,8.7,0.0,15.5,2015,final,0
7,Davtyan Vahagn ,ARM,6.6,8.733,0.0,15.333,2015,final,0
8,Donnell Whittenburg ,USA,6.7,8.6,0.0,15.3,2015,final,0
1,Eleftherios Petrounias ,GRE,6.8,9.066,0.0,15.866,2015,final,1
2,Samir Aït Saïd ,FRA,6.8,8.766,0.0,15.566,2015,final,0
3,Denis Ablyazin ,RUS,6.8,8.766,0.0,15.566,2015,final,1
4,Yuri van Gelder ,NED,6.8,8.733,0.0,15.533,2015,final,0
5,Vahagn Davtyan ,ARM,6.6,8.733,0.0,15.333,2015,final,0
6,Artur Tovmasyan ,ARM,6.7,8.6,0.0,15.3,2015,final,0
7,Matteo Morandi ,ITA,6.7,8.6,0.0,15.3,2015,final,0
8,Courtney Tulloch ,GBR,6.7,8.533,0.0,15.233,2015,final,0
