Team,country,fx,fx_rank,ph,ph_rank,sr,sr_rank,vt,vt_rank,pb,pb_rank,hb,hb_rank
Kōhei Uchimura,JPN,15.6,2.0,15.1,5.0,14.8,13.0,15.566,3.0,15.366,12.0,15.166,4.0
Ryōhei Katō,JPN,15.466,3.0,14.933,8.0,0.0,0.0,15.0,17.0,15.5,9.0,15.066,8.0
Yūsuke Tanaka,JPN,0.0,0.0,0.0,0.0,14.933,7.0,0.0,0.0,15.9,2.0,15.166,4.0
Kenzō Shirai,JPN,16.133,1.0,0.0,0.0,0.0,0.0,15.633,1.0,0.0,0.0,0.0,0.0
Koji Yamamuro,JPN,0.0,0.0,13.9,21.0,14.866,8.0,0.0,0.0,0.0,0.0,0.0,0.0
David Belyavskiy,RUS,14.666,13.0,15.5,3.0,0.0,0.0,15.033,14.0,15.8,5.0,14.958,11.0
Nikolai Kuksenkov,RUS,0.0,0.0,15.033,6.0,14.866,8.0,0.0,0.0,15.133,13.0,14.166,20.0
Denis Ablyazin,RUS,15.1,8.0,0.0,0.0,15.7,2.0,15.6,2.0,0.0,0.0,0.0,0.0
Nikita Nagornyy,RUS,15.0,10.0,0.0,0.0,14.866,8.0,15.4,5.0,0.0,0.0,0.0,0.0
Ivan Stretovich,RUS,0.0,0.0,14.766,12.0,0.0,0.0,0.0,0.0,15.1,16.0,14.766,14.0
Deng Shudi,CHN,13.833,20.0,14.958,7.0,14.6,16.0,15.2,10.0,15.8,5.0,14.4,17.0
Lin Chaopan,CHN,14.833,12.0,14.9,9.0,0.0,0.0,14.4,23.0,15.9,2.0,15.0,9.0
Zhang Chenglong,CHN,15.133,6.0,0.0,0.0,0.0,0.0,15.4,5.0,0.0,0.0,15.566,3.0
You Hao,CHN,0.0,0.0,14.4,16.0,14.8,13.0,0.0,0.0,16.166,1.0,0.0,0.0
Liu Yang,CHN,0.0,0.0,0.0,0.0,15.833,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Whitlock,GBR,15.4,4.0,15.991,1.0,14.5,17.0,14.966,18.0,14.5,22.0,14.5,16.0
Nile Wilson,GBR,14.666,13.0,0.0,0.0,15.1,5.0,0.0,0.0,15.133,13.0,15.666,1.0
Brinn Bevan,GBR,0.0,0.0,14.866,10.0,14.466,18.0,15.033,14.0,14.933,18.0,0.0,0.0
Kristian Thomas,GBR,15.033,9.0,0.0,0.0,0.0,0.0,15.4,5.0,0.0,0.0,14.833,13.0
Louis Smith,GBR,0.0,0.0,14.766,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Mikulak,USA,14.866,11.0,14.733,13.0,0.0,0.0,15.366,8.0,15.7,7.0,15.0,9.0
Alexander Naddour,USA,13.566,21.0,14.633,14.0,14.966,6.0,15.033,14.0,0.0,0.0,0.0,0.0
Jacob Dalton,USA,15.325,5.0,0.0,0.0,14.833,12.0,15.466,4.0,0.0,0.0,0.0,0.0
Chris Brooks,USA,0.0,0.0,0.0,0.0,14.666,15.0,0.0,0.0,15.1,16.0,15.108,7.0
Danell Leyva,USA,0.0,0.0,14.333,19.0,0.0,0.0,0.0,0.0,15.533,8.0,14.333,19.0
Sérgio Sasaki,BRA,12.1,23.0,14.633,14.0,14.366,20.0,15.133,11.0,15.133,13.0,14.566,15.0
Arthur Mariano,BRA,14.5,18.0,14.4,16.0,0.0,0.0,15.066,12.0,14.7,19.0,14.933,12.0
Francisco Barretto Júnior,BRA,0.0,0.0,14.4,16.0,14.1,21.0,0.0,0.0,14.7,19.0,15.166,4.0
Diego Hypólito,BRA,15.133,6.0,0.0,0.0,0.0,0.0,14.833,19.0,0.0,0.0,0.0,0.0
Arthur Zanetti,BRA,0.0,0.0,0.0,0.0,15.566,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcel Nguyen,GER,14.333,19.0,13.366,23.0,14.866,8.0,14.666,21.0,15.466,11.0,14.4,17.0
Andreas Bretschneider,GER,14.533,17.0,13.516,22.0,14.466,18.0,0.0,0.0,14.425,23.0,13.666,22.0
Lukas Dauser,GER,0.0,0.0,14.066,20.0,13.8,23.0,14.783,20.0,15.5,9.0,0.0,0.0
Fabian Hambüchen,GER,14.666,13.0,0.0,0.0,0.0,0.0,15.091,13.0,0.0,0.0,15.666,1.0
Andreas Toba,GER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vladyslav Hryko,UKR,13.166,22.0,12.666,24.0,13.866,22.0,14.241,24.0,14.666,21.0,13.7,21.0
Igor Radivilov,UKR,14.6,16.0,0.0,0.0,15.433,4.0,15.333,9.0,0.0,0.0,13.3,23.0
Oleg Verniaiev,UKR,0.0,0.0,15.633,2.0,0.0,0.0,0.0,0.0,15.9,2.0,0.0,0.0
Andriy Sienichkin,UKR,0.0,0.0,15.333,4.0,0.0,0.0,14.441,22.0,0.0,0.0,0.0,0.0
