Team,country,fx,ph,sr,vt,pb,hb
Denis Ablyazin,ROC,13.9,0,15.033,14.866,0,0
David Belyavskiy,ROC,0,14.841,0,0,15.333,14.166
Artur Dalaloyan,ROC,14.066,13.833,14.666,14.933,14.6,13.933
Nikita Nagornyy,ROC,14.666,14.466,14.7,14.966,15.166,14.366
Daiki Hashimoto,JPN,14.6,14.8,13.833,14.833,0,15.1
Kazuma Kaya,JPN,0,14.566,14.1,0,15,14.2
Takeru Kitazono,JPN,14.6,14.2,0,14.166,15,14.5
Wataru Tanigawa,JPN,14.5,0,14.5,15.233,14.666,0
Lin Chaopan,CHN,13.166,0,0,14.733,0,14.133
Sun Wei,CHN,14.366,15,14.233,14.866,14.8,14.2
Xiao Ruoteng,CHN,14.6,14.166,14.366,14.733,14.933,14.333
Zou Jingyuan,CHN,0,14.8,15,0,15.466,0
Joe Fraser,GBR,13.866,14.666,14.5,14.133,14.666,14.333
James Hall,GBR,14.033,14,13.6,14.233,13.1,14.2
Giarnni Regini-Moran,GBR,14.533,0,13.733,14.666,15.166,0
Max Whitlock,GBR,0,14.966,0,0,0,13.366
Brody Malone,USA,0,14,14.1,14.233,0,14.633
Sam Mikulak,USA,12.133,13.733,0,14.466,15,14.566
Yul Moldauer,USA,14.366,14.366,13.9,14.2,14.566,0
Shane Wiskus,USA,13.466,0,14.166,0,14.7,14
Christian Baumann,SUI,0,0,13.166,0,14.6,13.966
Pablo Brägger,SUI,14.233,13.4,13.466,13.833,14.833,13.933
Benjamin Gischard,SUI,14,13.866,0,14,0,0
Eddy Yusof,SUI,13.833,13.833,13.666,14.166,14.633,13.5
Illia Kovtun,UKR,13.8,14.2,0,0,13.233,14.433
Petro Pakhniuk,UKR,13.466,12.266,12.533,13.233,15.2,13.466
Igor Radivilov,UKR,0,0,14.633,14.6,0,0
Yevgen Yudenkov,UKR,13.966,13.533,13.7,13.666,13.8,12.666
Lukas Dauser,GER,11.5,12.1,0,13.7,15.466,13.6
Nils Dunkel,GER,0,13.7,13.6,0,12.733,13.033
Philipp Herder,GER,11.866,0,13.2,14.333,14.566,0
Andreas Toba,GER,11.466,13.4,13.533,14.333,0,12.366
