Country,Name,vault_score,vault_rank,uneven_score,uneven_rank,bb_score,bb_rank,floor_score,floor_rank,total_score,total_rank,year
USA,Gabby Douglas,15.9,1.0,15.333,6.0,15.266,3.0,13.766,33.0,60.265,3.0,2012
USA,Jordyn Wieber,15.833,3.0,14.833,12.0,14.7,12.0,14.666,6.0,60.032,4.0,2012
USA,Aly Raisman,15.8,4.0,14.166,23.0,15.1,5.0,15.325,1.0,60.391,2.0,2012
USA,Kyla Ross,0.0,14.866,11.0,15.075,6.0,13.733,34.0,0.0,0.0,0.0,2012
USA,McKayla Maroney,15.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012
RUS,Viktoria Komova,15.633,5.0,15.833,3.0,15.266,2.0,13.9,28.0,60.632,1.0,2012
RUS,Aliya Mustafina,15.133,8.0,15.7,5.0,14.7,12.0,14.433,8.0,59.966,5.0,2012
RUS,Anastasia Grishina,14.333,32.0,14.033,28.0,14.9,9.0,14.066,21.0,57.332,12.0,2012
RUS,Ksenia Afanasyeva,0.0,15.066,7.0,14.833,4.0,0.0,0.0,0.0,0.0,0.0,2012
RUS,Maria Paseka,15.533,6.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,2012
CHN,Huang Qiushuang,15.0,12.0,15.266,7.0,13.866,28.0,13.575,38.0,57.707,10.0,2012
CHN,Deng Linlin,14.833,15.0,14.166,24.0,15.166,4.0,13.833,29.0,57.998,6.0,2012
CHN,He Kexin,13.733,51.0,15.966,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2012
CHN,Sui Lu,0.0,15.4,1.0,14.233,13.0,0.0,0.0,0.0,0.0,0.0,2012
CHN,Yao Jinnan,13.133,70.0,15.766,4.0,12.833,51.0,13.066,54.0,54.798,22.0,2012
ROU,Cătălina Ponor,15.133,8.0,0.0,15.033,8.0,14.6,7.0,0.0,0.0,0.0,2012
ROU,Larisa Iordache,15.1,10.0,14.1,26.0,14.8,11.0,13.8,32.0,57.8,9.0,2012
ROU,Sandra Izbașa,15.5,7.0,12.366,67.0,14.6,14.0,15.066,2.0,57.532,11.0,2012
ROU,Diana Bulimar,0.0,14.0,30.0,14.866,10.0,0.0,0.0,0.0,0.0,0.0,2012
ROU,Diana Chelaru,14.666,21.0,13.733,34.0,0.0,14.333,10.0,0.0,0.0,0.0,2012
GBR,Rebecca Tunney,14.4,29.0,14.825,13.0,13.166,39.0,14.0,23.0,56.391,15.0,2012
GBR,Beth Tweddle,0.0,16.133,1.0,0.0,14.433,9.0,0.0,0.0,0.0,0.0,2012
GBR,Hannah Whelan,14.5,26.0,14.2,22.0,13.066,43.0,13.933,25.0,55.699,17.0,2012
GBR,Imogen Cairns,14.433,28.0,0.0,13.366,37.0,0.0,0.0,0.0,0.0,0.0,2012
GBR,Jennifer Pinches,14.366,30.0,13.7,36.0,13.1,41.0,14.1,19.0,55.266,21.0,2012
JPN,Asuka Teramoto,14.6,23.0,14.566,15.0,14.466,15.0,14.233,12.0,57.865,8.0,2012
JPN,Yuko Shintake,13.633,57.0,0.0,14.166,22.0,13.633,36.0,0.0,0.0,0.0,2012
JPN,Kōko Tsurumi,13.8,45.0,15.033,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2012
JPN,Rie Tanaka,13.0,71.0,14.633,14.0,13.4,36.0,13.3,46.0,54.333,27.0,2012
JPN,Yu Minobe,0.0,13.066,53.0,14.133,24.0,12.966,57.0,0.0,0.0,0.0,2012
ITA,Vanessa Ferrari,14.366,30.0,14.233,21.0,14.433,16.0,14.9,3.0,57.932,7.0,2012
ITA,Carlotta Ferlito,14.1,37.0,13.075,52.0,14.425,17.0,13.9,26.0,55.5,20.0,2012
ITA,Erika Fasana,14.0,41.0,13.666,37.0,12.266,62.0,14.033,22.0,53.965,30.0,2012
ITA,Elisabetta Preziosa,13.733,51.0,0.0,13.266,38.0,13.3,45.0,0.0,0.0,0.0,2012
ITA,Giorgia Campana,0.0,12.766,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012
CAN,Ellie Black,14.8,16.0,0.0,13.966,26.0,14.233,15.0,0.0,0.0,0.0,2012
CAN,Dominique Pegg,14.133,34.0,13.725,35.0,13.566,34.0,14.233,14.0,55.657,18.0,2012
CAN,Brittany Rogers,14.666,21.0,14.5,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2012
CAN,Victoria Moors,0.0,13.833,33.0,11.266,79.0,14.1,20.0,0.0,0.0,0.0,2012
CAN,Kristina Vaculik,14.1,37.0,14.366,18.0,11.3,78.0,13.8,30.0,53.566,32.0,2012
GER,Elisabeth Seitz,14.8,16.0,15.166,8.0,12.7,54.0,13.8,31.0,56.466,14.0,2012
GER,Oksana Chusovitina,15.033,11.0,0.0,13.7,31.0,0.0,0.0,0.0,0.0,0.0,2012
GER,Kim Bui,0.0,14.3,19.0,12.433,56.0,13.6,37.0,0.0,0.0,0.0,2012
GER,Janine Berger,14.133,34.0,12.866,57.0,0.0,13.3,47.0,0.0,0.0,0.0,2012
GER,Nadine Jarosch,12.866,72.0,13.866,32.0,12.933,50.0,13.3,48.0,52.965,35.0,2012
AUS,Lauren Mitchell,13.933,42.0,0.0,14.3,20.0,14.833,5.0,0.0,0.0,0.0,2012
AUS,Emily Little,14.766,20.0,13.433,40.0,13.633,33.0,12.666,65.0,54.498,24.0,2012
AUS,Larrissa Miller,0.0,14.025,29.0,0.0,13.466,42.0,0.0,0.0,0.0,0.0,2012
AUS,Ashleigh Brennan,13.7,53.0,13.266,47.0,13.066,43.0,14.2,16.0,54.232,28.0,2012
AUS,Georgia Bonora,13.8,45.0,13.1,51.0,13.066,43.0,0.0,0.0,0.0,0.0,2012
FRA,Youna Dufournet,14.166,33.0,14.5,17.0,14.2,21.0,0.0,0.0,0.0,0.0,2012
FRA,Anne Kuhm,14.466,27.0,13.533,38.0,12.566,55.0,13.533,39.0,54.098,29.0,2012
FRA,Mira Boumejmajen,0.0,13.3,43.0,12.966,49.0,12.933,60.0,0.0,0.0,0.0,2012
FRA,Aurélie Malaussena,14.033,40.0,13.3,44.0,13.7,32.0,13.366,44.0,54.399,25.0,2012
FRA,Sophia Serseri,14.133,34.0,0.0,12.933,61.0,0.0,0.0,0.0,0.0,0.0,2012
BRA,Daiane dos Santos,13.933,42.0,12.966,54.0,0.0,14.166,17.0,0.0,0.0,0.0,2012
BRA,Daniele Hypólito,13.766,50.0,12.9,56.0,14.166,23.0,11.9,80.0,52.732,37.0,2012
BRA,Bruna Leal,14.066,39.0,12.466,64.0,12.8,52.0,13.433,43.0,52.765,36.0,2012
BRA,Ethiene Franco,13.566,60.0,12.933,55.0,13.0,48.0,13.166,50.0,52.665,38.0,2012
BRA,Harumy de Freitas,0.0,12.033,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012
