Rank,Athlete,Nation,D,E,ND,Total,round,year
1,Daria Spiridonova,RUS,6.7,8.766,0.0,15.466,final,2015
2,Becky Downie,GBR,6.7,8.533,0.0,15.233,final,2015
3,Sanne Wevers,NED,5.6,8.6,0.0,14.2,final,2015
4,Ellie Downie,GBR,5.9,8.2,0.0,14.1,final,2015
5,Martina Rizzelli,ITA,6.0,7.933,0.0,13.933,final,2015
6,Giulia Steingruber,SUI,5.7,8.066,0.0,13.766,final,2015
7,Maria Kharenkova,RUS,6.1,7.333,0.0,13.433,final,2015
8,Loan His,FRA,5.8,5.866,0.0,11.666,final,2015
1,Daria Spiridonova,RUS,6.5,8.741,0.0,15.241,qual,2015
2,Becky Downie,GBR,6.7,8.533,0.0,15.233,qual,2015
3,Maria Kharenkova,RUS,6.2,8.533,0.0,14.733,qual,2015
4,Sanne Wevers,NED,5.6,8.633,0.0,14.233,qual,2015
5,Maria Paseka,RUS,5.9,8.333,0.0,14.233,qual,2015
6,Loan His,FRA,5.9,8.3,0.0,14.2,qual,2015
7,Ellie Downie,GBR,5.9,8.066,0.0,13.966,qual,2015
8,Giulia Steingruber,SUI,6.0,7.966,0.0,13.966,qual,2015
9,Martina Rizzelli,ITA,6.0,7.866,0.0,13.866,qual,2015
10,Filipa Martins,POR,5.4,8.366,0.0,13.766,qual,2015
11,Erika Fasana,ITA,5.7,8.066,0.0,13.766,qual,2015
12,Diana Bulimar,ROU,5.3,8.366,0.0,13.666,qual,2015
13,Marta Pihan-Kulesza,POL,5.6,8.066,0.0,13.666,qual,2015
14,Eythora Thorsdottir,NED,5.4,8.2,0.0,13.6,qual,2015
15,Noemi Makra,HUN,5.9,7.7,0.0,13.6,qual,2015
16,Kim Singmuang,SWE,5.7,7.766,0.0,13.466,qual,2015
17,Louise Vanhille,FRA,5.8,7.533,0.0,13.333,qual,2015
18,Amy Tinkler,GBR,5.6,7.7,0.0,13.3,qual,2015
19,Argyro Afrati,GRE,5.6,7.666,0.0,13.266,qual,2015
20,Vanessa Ferrari,ITA,5.5,7.7,0.0,13.2,qual,2015
21,Ilaria Käslin,SUI,5.2,7.9,0.0,13.1,qual,2015
22,Dyonnailys Supriana,NED,5.0,8.033,0.0,13.033,qual,2015
23,Carlotta Ferlito,ITA,5.4,7.6,0.0,13.0,qual,2015
24,Barbora Mokosova,SVK,5.1,7.866,0.0,12.966,qual,2015
25,Jessica Diacci,SUI,5.2,7.7,0.0,12.9,qual,2015
26,Evangelia Plyta,GRE,6.1,6.766,0.0,12.866,qual,2015
27,Carlotta Barloggio,SUI,5.2,7.633,0.0,12.833,qual,2015
28,Kitti Honti,HUN,5.3,7.5,0.0,12.8,qual,2015
29,Laura Jurca,ROU,5.5,7.3,0.0,12.8,qual,2015
30,Jonna Adlerteg,SWE,5.9,6.9,0.0,12.8,qual,2015
31,Houry Gebeshian,ARM,4.8,7.933,0.0,12.733,qual,2015
32,Teja Belak,SLO,4.9,7.833,0.0,12.733,qual,2015
33,Michelle Timm,GER,5.1,7.5,0.0,12.6,qual,2015
34,Noel van Klaveren,NED,5.8,6.8,0.0,12.6,qual,2015
35,Michelle Lauritsen,DEN,4.6,7.866,0.0,12.466,qual,2015
36,Ainhoa Carmona,ESP,4.7,7.766,0.0,12.466,qual,2015
37,Pauline Tratz,GER,4.9,7.533,0.0,12.433,qual,2015
38,Vasiliki Millousi,GRE,5.1,7.3,0.0,12.4,qual,2015
39,Rosanna Ojala,FIN,5.5,6.9,0.0,12.4,qual,2015
40,Claudia Fragapane,GBR,5.4,6.933,0.0,12.333,qual,2015
41,Claire Martin,FRA,4.1,8.133,0.0,12.233,qual,2015
42,Paula Raya,ESP,5.2,7.033,0.0,12.233,qual,2015
43,Dina Nygaard,NOR,4.5,7.7,0.0,12.2,qual,2015
44,Andreea Iridon,ROU,5.4,6.766,0.0,12.166,qual,2015
45,Dominiqua Belanyi,ISL,4.5,7.5,0.0,12.0,qual,2015
46,Ellis O’Reilly,IRL,4.4,7.566,0.0,11.966,qual,2015
47,Tjasa Kysselef,SLO,3.9,7.966,0.0,11.866,qual,2015
48,Anastasiya Yekimenka,BLR,4.7,7.0,0.0,11.7,qual,2015
49,Anna-Maria Kanyai,CZE,5.0,6.533,0.0,11.533,qual,2015
50,Monica Sileoni,FIN,4.5,7.0,0.0,11.5,qual,2015
