Rank,Athlete,Nation,D,E,ND,Total,round,year
1,Angelina Melnikova,RUS,6.1,8.366,0.0,14.466,final,2019
2,Becky Downie,GBR,6.3,8.1,0.0,14.4,final,2019
3,Anastasiya Alistratava,BLR,5.9,8.333,0.0,14.233,final,2019
4,Nina Derwael,BEL,6.5,7.433,0.0,13.933,final,2019
5,Naomi Visser,NED,5.7,7.766,0.0,13.466,final,2019
6,Lorette Charpy,FRA,5.8,7.066,0.0,12.866,final,2019
1,Becky Downie,GBR,6.3,8.133,0.0,14.433,qual,2019
2,Nina Derwael,BEL,6.6,7.833,0.0,14.433,qual,2019
3,Anastasia Iliankova,RUS,6.2,8.1,0.0,14.3,qual,2019
4,Anastasiya Alistratava,BLR,5.9,8.266,0.0,14.166,qual,2019
5,Naomi Visser,NED,5.7,8.4,0.0,14.1,qual,2019
6,Angelina Melnikova,RUS,5.9,8.2,0.0,14.1,qual,2019
7,Georgia-Mae Fenton,GBR,6.1,8.0,0.0,14.1,qual,2019
8,Lorette Charpy,FRA,5.8,8.2,0.0,14.0,qual,2019
9,Carolann Heduit,FRA,6.2,7.733,0.0,13.933,qual,2019
10,Diana Varinska,UKR,6.0,7.9,0.0,13.9,qual,2019
11,Bianka Schermann,HUN,5.9,7.966,0.0,13.866,qual,2019
12,Filipa Martins,POR,5.5,8.133,0.0,13.633,qual,2019
13,Senna Deriks,BEL,5.7,7.833,0.0,13.533,qual,2019
14,Zoja Szekely,HUN,5.6,7.866,0.0,13.466,qual,2019
15,Aleksandra Shchekoldina,RUS,5.8,7.633,0.0,13.433,qual,2019
16,Anastasiia Bachynska,UKR,5.5,7.766,0.0,13.266,qual,2019
17,Laura de Witt,NED,5.1,7.7,0.0,12.8,qual,2019
17,Denisa Golgota,ROU,5.1,7.7,0.0,12.8,qual,2019
19,Gabriela Janik,POL,5.2,7.533,0.0,12.733,qual,2019
20,Dominika Ponizilova,CZE,4.8,7.9,0.0,12.7,qual,2019
21,Ganna Metelitsa,BLR,5.2,7.366,0.0,12.566,qual,2019
22,Elina Vihrova,LAT,4.4,8.0,0.0,12.4,qual,2019
23,Aneta Holasova,CZE,5.0,7.3,0.0,12.3,qual,2019
24,Emma Slevin,IRE,4.7,7.566,0.0,12.266,qual,2019
25,Aline Friess,FRA,5.1,7.066,0.0,12.166,qual,2019
26,Chiara Bunce,SVK,4.6,6.966,0.0,11.566,qual,2019
27,Agnes Suto-Tuuha,ISL,4.0,7.533,0.0,11.533,qual,2019
28,Nazli Savranbasi,TUR,4.6,6.866,0.0,11.466,qual,2019
29,Angelina Radivilova,UKR,5.5,5.533,0.0,11.033,qual,2019
30,Celeste Mordenti,LUX,3.6,7.0,0.0,10.6,qual,2019
31,Cintia Rodriguez,ESP,5.2,5.2,0.0,10.4,qual,2019
32,Bianca Frysak,AUT,3.9,6.466,0.0,10.366,qual,2019
33,Tjasa Kysselef,SLO,1.3,8.666,0.0,9.966,qual,2019
34,Jessica Castles,SWE,4.5,4.933,0.0,9.433,qual,2019
35,Laney Madsen,BUL,3.7,5.333,0.0,9.033,qual,2019
36,Elvira Katsali,GRE,2.5,4.9,0.0,7.4,qual,2019
