Rank,Athlete,Nation,D,E,ND,Total,round,year
1,Anastasia Grishina,RUS,5.8,8.8,0.0,14.6,final,2013
2,Vasiliki Millousi,GRE,5.7,8.6,0.0,14.3,final,2013
3,Anna Dementyeva,RUS,6.0,8.275,-0.1,14.175,final,2013
4,Noel van Klaveren,NED,5.1,8.425,0.0,13.525,final,2013
5,Maria Paula Vargas,ESP,5.8,7.525,0.0,13.325,final,2013
6,Filipa Martins,POR,4.9,8.175,0.0,13.075,final,2013
7,Oksana Chusovitina,UZB,5.5,7.65,-0.1,13.05,final,2013
8,Dilnoza Abdusalimova,UZB,5.1,7.85,-0.1,12.85,final,2013
1,Anastasia Grishina,RUS,5.6,8.45,0.0,14.05,qual,2013
2,Noel van Klaveren,NED,5.4,8.45,0.0,13.85,qual,2013
3,Vasiliki Millousi,GRE,5.3,8.5,0.0,13.8,qual,2013
4,Oksana Chusovitina,UZB,5.4,8.25,0.0,13.65,qual,2013
5,Anna Dementyeva,RUS,6.1,7.55,0.0,13.65,qual,2013
6,Maria Paula Vargas,ESP,5.8,7.8,0.0,13.6,qual,2013
7,Filipa Martins,POR,5.3,8.5,-0.5,13.3,qual,2013
8,Dilnoza Abdusalimova,UZB,5.1,8.05,-0.1,13.05,qual,2013
9,Kristyna Palesova,CZE,5.3,7.7,0.0,13.0,qual,2013
10,Huang Huidan,CHN,5.7,7.4,-0.1,13.0,qual,2013
11,Maija Leinonen,FIN,4.9,8.0,0.0,12.9,qual,2013
12,Hiu Ying Angel Wong,HKG,4.6,8.2,0.0,12.8,qual,2013
13,Elisa Hämmerle,AUT,5.2,7.7,-0.1,12.8,qual,2013
14,Jessica Lopez,VEN,5.7,6.95,0.0,12.65,qual,2013
15,Silvia Colussi Pelaez,ESP,5.8,6.65,0.0,12.45,qual,2013
16,Chantysha Netteb,NED,5.0,7.35,0.0,12.35,qual,2013
17,Ida Gustafsson,SWE,5.3,6.9,0.0,12.2,qual,2013
18,Cagla Akyol,GER,5.5,6.55,0.0,12.05,qual,2013
19,Pauline Schäfer,GER,4.6,7.35,0.0,11.95,qual,2013
20,Emma Lunn,IRL,5.0,6.85,-0.1,11.75,qual,2013
21,Teja Belak,SLO,5.5,6.15,0.0,11.65,qual,2013
22,Inna Vassilyeva,KAZ,4.7,6.55,0.0,11.25,qual,2013
23,Nim Yan Choi,HKG,4.4,6.7,0.0,11.1,qual,2013
24,Ekaterina Kislinskaya,POR,4.5,6.6,0.0,11.1,qual,2013
25,Miriam Fouad El Hajj,EGY,5.2,5.9,0.0,11.1,qual,2013
26,Maegan Chant,CAN,5.5,5.6,0.0,11.1,qual,2013
27,Lisa Ecker,AUT,5.2,5.85,0.0,11.05,qual,2013
28,Barbora Mokosova,SVK,4.8,6.15,0.0,10.95,qual,2013
29,Ang Tracie,MAS,5.0,5.9,0.0,10.9,qual,2013
30,India McPeak,IRL,4.8,5.75,0.0,10.55,qual,2013
31,Ivet Rojas,VEN,5.3,5.2,-0.1,10.4,qual,2013
32,Jana Sikulova,CZE,5.0,5.0,0.0,10.0,qual,2013
33,Farida Ahmed Shokry,EGY,4.1,5.55,0.0,9.65,qual,2013
34,Paula Tiitta,FIN,4.5,5.15,0.0,9.65,qual,2013
