Rank,Athlete,D,E,ND,Total,round,year,Nation
1,Jonna Adlerteg,6.3,8.375,0.0,14.675,final,2015,SWE
2,Kristina Pravdina,5.5,8.3,0.0,13.8,final,2015,AZE
3,Filipa Martins,5.6,7.875,0.0,13.475,final,2015,POR
4,Dorina Böczögö,5.0,8.45,0.0,13.45,final,2015,HUN
5,Paula Raya,5.3,8.0,0.0,13.3,final,2015,ESP
6,Caterina Barloggio,5.0,8.025,0.0,13.025,final,2015,SUI
7,Evangelia Plyta,5.8,6.8,0.0,12.6,final,2015,GRE
8,Teja Belak,4.2,7.175,0.0,11.375,final,2015,SLO
1,Jonna Adlerteg,6.5,8.533,0.0,15.033,qual,2015,SWE
2,Filipa Martins,5.6,8.233,0.0,13.833,qual,2015,POR
3,Evangelia Plyta,6.0,7.466,0.0,13.466,qual,2015,GRE
4,Paula Raya,5.1,8.166,0.0,13.266,qual,2015,ESP
5,Dorina Böczögö,4.9,8.3,0.0,13.2,qual,2015,HUN
6,Caterina Barloggio,4.9,8.2,0.0,13.1,qual,2015,SUI
7,Teja Belak,4.9,8.133,0.0,13.033,qual,2015,SLO
8,Kristina Pravdina,5.5,7.5,0.0,13.0,qual,2015,AZE
9,Tutya Yilmaz,4.9,7.933,0.0,12.833,qual,2015,TUR
10,Marta Pihan-Kulesza,5.5,7.333,0.0,12.833,qual,2015,POL
11,Andreea Iridon,5.4,7.3,0.0,12.7,qual,2015,ROU
12,Tzuf Feldon,4.8,7.833,0.0,12.633,qual,2015,ISR
13,Pauline Tratz,4.9,7.666,0.0,12.566,qual,2015,GER
14,Boglarka Devai,4.4,8.0,0.0,12.4,qual,2015,HUN
15,Gaia Nesurini,4.1,8.166,0.0,12.266,qual,2015,SUI
16,Ekin Morova,4.7,7.5,0.0,12.2,qual,2015,TUR
17,Kim Janas,5.3,6.666,0.0,11.966,qual,2015,GER
18,Dina Nygaard,4.5,7.266,0.0,11.766,qual,2015,NOR
19,Maria Belen Stoffel,4.7,6.966,0.0,11.666,qual,2015,ARG
20,Petra Fialova,5.2,6.466,0.0,11.666,qual,2015,CZE
21,Lisa Ecker,4.5,7.066,0.0,11.566,qual,2015,AUT
22,Argyro Afrati,5.4,6.066,0.0,11.466,qual,2015,GRE
23,Veronika Cenkova,4.0,7.333,0.0,11.333,qual,2015,CZE
24,Ailen Valente,4.5,6.8,0.0,11.3,qual,2015,ARG
25,Ana Perez,5.6,5.433,0.0,11.033,qual,2015,ESP
26,Jasmin Mader,3.9,7.1,0.0,11.0,qual,2015,AUT
27,Yuliya Inshina,3.5,7.466,0.0,10.966,qual,2015,AZE
28,Diana Jerofejeva,2.5,7.9,0.0,10.4,qual,2015,LAT
29,Nato Dzidziguri,2.6,7.666,0.0,10.266,qual,2015,GEO
30,Anna Salmi,3.8,6.033,0.0,9.833,qual,2015,FIN
31,Mariana Pitrez,2.7,7.0,0.0,9.7,qual,2015,POR
32,Anastasija Dubova,2.4,7.033,0.0,9.433,qual,2015,LAT
33,Ellis O’Reilly,3.8,4.7,0.0,8.5,qual,2015,IRL
