Rank,Athlete,FX,PH,SR,VT,PB,HB,AA,round,Nation,year
1,tanigawa wataru,14.166,13.733,14.0,14.4,14.866,13.566,84.731,qual,Japan,2022
2,hashimoto daiki,14.466,11.666,14.0,14.7,14.733,15.1,84.665,qual,Japan,2022
3,carlos yulo,15.266,11.766,14.066,14.733,15.3,13.533,84.664,qual,Philippines,2022
4,joe fraser great,13.9,12.533,13.933,14.266,15.066,14.266,83.964,qual,Britain,2022
5,zhang boheng,14.5,14.0,12.033,13.6,14.9,14.733,83.766,qual,China,2022
6,asher hong united,13.866,13.3,13.9,14.433,14.6,13.2,83.299,qual,States,2022
7,joel plata,13.5,12.9,13.3,14.6,14.666,13.833,82.799,qual,Spain,2022
8,brody malone united,12.766,13.433,13.7,14.333,13.966,14.433,82.631,qual,States,2022
9,casimir schmidt,13.8,13.5,13.933,14.333,13.966,13.033,82.565,qual,Netherlands,2022
10,caio souza,13.566,13.166,13.8,14.533,13.166,14.333,82.564,qual,Brazil,2022
11,jake jarman great,13.9,13.533,13.066,14.6,14.166,13.1,82.365,qual,Britain,2022
12,diogo soares,13.466,13.566,13.066,14.1,14.1,13.966,82.264,qual,Brazil,2022
13,ryu sunghyun south,14.466,13.033,13.366,13.666,13.766,13.633,81.93,qual,Korea,2022
14,adem asil,14.133,12.933,14.666,13.933,12.533,13.566,81.764,qual,Turkey,2022
15,illia kovtun,12.7,13.733,12.4,14.4,14.966,13.533,81.732,qual,Ukraine,2022
16,yumin abbadini,13.666,13.966,13.0,13.6,13.7,13.6,81.532,qual,Italy,2022
17,tang chia-hung,14.166,13.0,13.366,13.9,13.533,12.733,80.698,qual,Taiwan,2022
18,lukas dauser,13.666,12.233,13.133,13.866,15.4,12.133,80.431,qual,Germany,2022
19,sofus heggemsnes,13.5,12.4,13.233,14.433,13.433,13.1,80.099,qual,Norway,2022
20,krisztian balazs,13.166,12.3,12.8,13.166,14.533,14.1,80.065,qual,Hungary,2022
21,jossimar calvo,12.933,13.3,12.066,13.033,15.166,13.4,79.898,qual,Colombia,2022
22,luka van den keybus,13.7,11.733,12.8,14.5,14.333,12.733,79.799,qual,Belgium,2022
23,gabriel burtanete,13.266,12.466,13.2,14.8,13.5,12.566,79.798,qual,Romania,2022
24,lorenzo casali,13.833,13.166,13.266,14.3,13.2,12.0,79.765,qual,Italy,2022
25,nestor abad,13.4,12.766,12.566,13.5,14.3,13.166,79.698,qual,Spain,2022
26,omar mohamed,13.733,12.866,13.6,13.766,13.866,11.7,79.531,qual,Egypt,2022
27,mohamed afify,13.1,13.3,12.966,13.666,13.866,12.633,79.531,qual,Egypt,2022
28,krisztofer meszaros,14.233,12.466,13.1,12.833,14.5,12.366,79.498,qual,Hungary,2022
29,harald wibye,13.466,12.2,12.6,13.9,14.2,13.0,79.366,qual,Norway,2022
30,abdulla azimov,13.166,14.3,11.966,13.9,13.533,12.433,79.298,qual,Uzbekistan,2022
31,paul degouy,12.533,12.166,13.2,14.1,13.7,13.566,79.265,qual,France,2022
32,leo saladino,13.066,12.933,13.3,13.166,13.966,12.633,79.064,qual,France,2022
33,lee junho south,12.733,12.633,13.433,14.6,13.266,12.233,78.898,qual,Korea,2022
34,kim jaeho south,13.4,11.9,11.766,14.533,13.766,13.266,78.631,qual,Korea,2022
35,felix dolci,12.433,10.366,13.366,14.533,13.866,13.766,78.33,qual,Canada,2022
36,benedek tomcsanyi,13.466,13.033,13.2,12.8,13.266,12.533,78.298,qual,Hungary,2022
37,glenn trebing,12.833,12.166,13.166,13.766,13.2,13.1,78.231,qual,Germany,2022
38,dominick cunningham,13.8,12.033,13.066,13.333,13.133,12.7,78.065,qual,Ireland,2022
39,noe seifert,12.5,13.533,12.833,13.466,12.6,13.033,77.965,qual,Switzerland,2022
40,elias koski,12.8,12.133,12.633,13.8,13.566,13.0,77.932,qual,Finland,2022
41,ilyas azizov,13.366,13.1,12.5,13.766,13.466,11.5,77.698,qual,Kazakhstan,2022
42,david rumbutis,12.066,12.466,12.866,14.0,13.466,12.566,77.43,qual,Sweden,2022
43,noah kuavita,13.1,10.966,11.733,14.3,13.866,13.4,77.365,qual,Belgium,2022
44,takumi onoshima,13.566,11.733,12.566,13.566,13.533,11.966,76.93,qual,Belgium,2022
45,khabibullo ergashev,12.7,13.6,12.6,13.7,12.833,11.466,76.899,qual,Uzbekistan,2022
46,santiago mayol,13.233,12.733,11.1,13.733,13.3,12.5,76.599,qual,Argentina,2022
47,yogeshwar singh,12.233,12.366,12.033,13.666,13.566,12.666,76.53,qual,India,2022
48,razvan-denis marc,13.5,11.133,13.2,12.2,13.5,12.966,76.499,qual,Romania,2022
49,lais najjar,13.266,12.533,12.0,13.5,13.333,11.466,76.098,qual,Syria,2022
50,heath thorpe,12.7,10.3,12.7,14.433,12.6,13.266,75.999,qual,Australia,2022
51,maxime gentges,13.066,12.833,13.0,12.766,13.5,10.766,75.931,qual,Belgium,2022
52,mehmet ayberk kosak,13.6,11.7,13.8,12.966,11.933,11.866,75.865,qual,Turkey,2022
53,alexander benda,13.266,12.3,11.7,13.533,11.966,13.1,75.865,qual,Austria,2022
54,askhab matiev,12.6,12.6,12.166,13.566,12.3,12.566,75.798,qual,Austria,2022
55,georgios angonas,11.666,11.766,12.566,13.866,12.8,13.066,75.73,qual,Cyprus,2022
56,robert kirmes,13.266,11.433,11.233,13.8,12.6,13.366,75.698,qual,Finland,2022
57,clay mason stephens,12.2,11.4,12.3,13.933,13.1,12.733,75.666,qual,Australia,2022
58,ivan tikhonov,11.166,11.5,12.633,14.366,13.866,12.1,75.631,qual,Azerbaijan,2022
59,tomas kuzmickas,12.533,10.9,12.3,13.4,13.533,12.9,75.566,qual,Lithuania,2022
60,jose nogueira,12.8,12.266,11.966,13.533,12.4,12.5,75.465,qual,Portugal,2022
61,david huddleston,11.6,11.8,13.4,14.166,13.966,10.5,75.432,qual,Bulgaria,2022
62,gaurav kumar,12.8,11.7,12.3,12.566,13.5,11.9,74.766,qual,India,2022
63,andres martinez,11.133,11.833,12.0,13.766,12.9,13.033,74.665,qual,Colombia,2022
64,manuel martinez,12.833,12.1,11.566,12.733,12.966,12.433,74.631,qual,Colombia,2022
65,gagik khachikyan,13.0,13.0,11.866,13.3,12.3,10.9,74.366,qual,Armenia,2022
66,joel alvarez,12.566,10.366,12.366,13.7,12.933,12.366,74.297,qual,Chile,2022
67,jermain grünberg,12.9,12.066,12.766,12.633,11.466,12.133,73.964,qual,Netherlands,2022
68,yordan aleksandrov,12.566,9.5,12.866,13.2,12.7,12.966,73.798,qual,Bulgaria,2022
69,edward gonzales,11.6,12.566,11.833,13.7,12.8,11.033,73.532,qual,Peru,2022
70,andrin frey,13.233,11.866,12.566,12.6,12.3,10.866,73.431,qual,Switzerland,2022
71,uri zeidel,11.6,12.3,12.8,13.5,13.033,10.166,73.399,qual,Israel,2022
72,abderrazak nasser,12.466,11.066,12.033,13.7,11.633,12.033,72.931,qual,Morocco,2022
73,jose lopez puerto,10.566,12.166,12.566,12.766,12.733,12.133,72.93,qual,Rico,2022
74,severin kranzlmüller,11.966,9.566,12.566,13.2,12.366,12.733,72.397,qual,Austria,2022
75,jonas thorisson,12.633,10.033,11.9,13.5,12.466,11.766,72.298,qual,Iceland,2022
76,joakim lenberg,12.5,10.966,11.666,12.9,11.8,12.2,72.032,qual,Sweden,2022
77,valgard reinhardsson,11.2,10.866,12.433,13.533,12.1,11.866,71.998,qual,Iceland,2022
78,bohdan suprun,12.9,10.233,12.4,12.9,12.2,10.9,71.533,qual,Ukraine,2022
79,gytis chasazyrovas,11.733,9.033,12.233,13.633,12.433,12.2,71.265,qual,Lithuania,2022
NR,tanigawa kakeru,14.3,14.266,13.233,14.266,14.933,0.0,70.998,qual,Japan,2022
80,apostolos kanellos,12.366,12.4,10.5,12.666,11.7,11.1,70.732,qual,Greece,2022
81,leandro peña dominican,12.266,9.233,11.6,13.533,12.566,11.4,70.598,qual,Republic,2022
82,michalis chari,12.8,9.433,11.8,12.233,12.466,11.766,70.498,qual,Cyprus,2022
83,guilherme campos,13.033,5.4,12.633,14.233,12.6,11.833,69.732,qual,Portugal,2022
84,ricards plate,12.533,8.666,11.266,12.966,11.666,11.3,68.397,qual,Latvia,2022
NR,nicola bartolini,14.433,12.266,12.833,14.6,14.1,0.0,68.232,qual,Italy,2022
NR,matteo levantesi,13.233,0.0,12.866,13.833,14.533,13.5,67.965,qual,Italy,2022
85,donnell whittenburg united,14.133,12.833,14.333,0.0,13.666,11.9,66.865,qual,States,2022
NR,arthur mariano,14.1,12.0,0.0,13.9,12.4,14.366,66.766,qual,Brazil,2022
NR,colt walker united,10.433,0.0,13.566,14.6,14.866,13.2,66.665,qual,States,2022
NR,moreno kratter,13.833,0.0,12.6,14.0,13.833,12.133,66.399,qual,Switzerland,2022
NR,james hall great,14.166,14.033,13.466,0.0,12.766,11.633,66.064,qual,Britain,2022
NR,chris kaji,13.1,0.0,13.433,13.9,12.733,12.833,65.999,qual,Canada,2022
NR,yeh cheng,13.333,12.3,0.0,14.3,12.933,12.3,65.166,qual,Taiwan,2022
NR,ahmed abdelrahman,11.933,13.166,0.0,13.966,13.0,12.966,65.031,qual,Egypt,2022
NR,nicolau mir,12.7,10.2,0.0,14.066,14.766,13.166,64.898,qual,Spain,2022
NR,giarnni regini-moran great,14.533,13.433,0.0,14.633,14.966,7.133,64.698,qual,Britain,2022
86,emil akhmejanov,10.6,4.533,11.766,13.1,13.0,11.666,64.665,qual,Kazakhstan,2022
NR,cameron-lie bernard,0.0,12.766,13.3,13.5,12.966,11.866,64.398,qual,France,2022
NR,jordi hagenaar,13.633,11.033,12.866,13.866,0.0,12.7,64.098,qual,Netherlands,2022
NR,dmitriy patanin,13.266,0.0,12.733,13.733,13.166,10.233,63.131,qual,Kazakhstan,2022
NR,robert burtanete,12.033,11.766,0.0,13.433,13.366,12.166,62.764,qual,Romania,2022
NR,mykyta melnykov,10.666,12.066,0.0,12.633,13.866,10.366,59.597,qual,Ukraine,2022
