Rank,Athlete,Nation,D,E,ND,Total,year,round
1,hidetaka miyachi,JPN,6.2,8.533,0.0,14.733,2019,final
2,epke zonderland,NED,6.5,8.233,0.0,14.733,2019,final
3,zhang chenglong,CHN,6.5,7.833,0.0,14.333,2019,final
4,mitchell morgans,AUS,6.0,8.033,0.0,14.033,2019,final
5,tyson bull,AUS,5.8,8.166,0.0,13.966,2019,final
6,ahmet önder,TUR,5.6,8.3,0.0,13.9,2019,final
7,tin srbic,CRO,6.1,7.466,-0.3,13.266,2019,final
8,milad karimi,KAZ,5.4,6.8,0.0,12.2,2019,final
1,hidetaka miyachi,JPN,5.9,8.733,0.0,14.633,2019,qual
2,tin srbic,CRO,5.9,8.733,0.0,14.633,2019,qual
3,zhang chenglong,CHN,6.5,7.9,0.0,14.4,2019,qual
4,tyson bull,AUS,5.6,8.566,0.0,14.166,2019,qual
5,milad karimi,KAZ,6.0,8.033,0.0,14.033,2019,qual
5,mitchell morgans,AUS,6.0,8.033,0.0,14.033,2019,qual
7,ahmet önder,TUR,5.6,8.366,0.0,13.966,2019,qual
8,epke zonderland,NED,6.3,7.166,0.0,13.466,2019,qual
9,alexander shatilov,ISR,5.2,8.233,0.0,13.433,2019,qual
10,tang chia-hung,none,5.6,7.5,0.0,13.1,2019,qual
11,valgard reinhardsson,ISL,4.8,8.166,0.0,12.966,2019,qual
12,bram verhofstad,NED,5.5,7.2,0.0,12.7,2019,qual
13,hung shih-tung,none,5.0,7.633,0.0,12.633,2019,qual
14,lincoln liqht man,SIN,4.5,7.9,0.0,12.4,2019,qual
15,mikhail koudinov,NZL,5.1,6.8,0.0,11.9,2019,qual
16,lim kae-son,SKR,3.1,8.333,0.0,11.433,2019,qual
17,david vecsernyes,HUN,4.8,6.666,-0.3,11.166,2019,qual
