Rank,Athlete,Nation,D,E,ND,Total,year,round
1,umit samiloglu,TUR,5.7,8.566,0.0,14.266,2020,qual
2,epke zonderland,NED,6.1,8.133,0.0,14.233,2020,qual
2,alexey rostov,RUS,6.1,8.133,0.0,14.233,2020,qual
4,tyson bull,AUS,5.8,8.3,0.0,14.1,2020,qual
5,sergei eltsov,RUS,5.7,8.3,0.0,14.0,2020,qual
6,taha serhani,SUI,5.8,8.2,0.0,14.0,2020,qual
7,francisco barretto,BRA,5.8,7.8,0.0,13.6,2020,qual
8,nikolaos iliopoulos,GRE,5.5,8.0,0.0,13.5,2020,qual
9,milad karimi,KAZ,6.1,7.1,0.0,13.2,2020,qual
10,mikhail koudinov,NZL,4.9,8.266,0.0,13.166,2020,qual
11,aghamurad gahramanov,AZE,5.0,8.133,0.0,13.133,2020,qual
12,takaaki sugino,JPN,5.5,7.5,0.0,13.0,2020,qual
13,ioane jimsheleishvili,GEO,4.5,8.066,0.0,12.566,2020,qual
14,alexander myakinin,ISR,5.9,6.666,0.0,12.566,2020,qual
15,ivan tikhonov,AZE,5.2,7.266,0.0,12.466,2020,qual
16,thierno diallo,ESP,5.0,7.433,0.0,12.433,2020,qual
17,sebastian gawronski,POL,5.0,7.3,0.0,12.3,2020,qual
18,mitchell morgans,AUS,5.4,6.833,0.0,12.233,2020,qual
19,dmitriy patanin,KAZ,4.1,7.9,0.0,12.0,2020,qual
20,yordan aleksandrov,BUL,5.0,6.933,0.0,11.933,2020,qual
21,bidzina sitchinava,GEO,4.3,6.8,0.0,11.1,2020,qual
22,filip sasnal,POL,3.9,7.166,0.0,11.066,2020,qual
23,ahmet önder,TUR,5.5,5.258,0.0,10.758,2020,qual
24,oskar kirmes,FIN,4.0,6.666,0.0,10.666,2020,qual
25,julian jato,ARG,4.3,5.6,0.0,9.9,2020,qual
