Rank,Athlete,FX,PH,SR,VT,PB,HB,AA,round,year,Nation
1,sam mikulak,14.6,14.5,13.85,14.15,15.35,14.35,86.8,final,2020,USA
2,shane wiskus,14.2,13.4,14.35,14.45,14.5,13.65,84.55,final,2020,USA
3,brody malone,13.7,13.95,13.8,14.4,14.6,13.5,83.95,final,2020,USA
4,grant breckenridge,13.85,13.35,13.9,14.1,14.6,14.1,83.9,final,2020,USA
5,yul moldauer,13.85,14.2,13.9,14.3,14.1,12.0,82.35,final,2020,USA
5,allan bower,13.25,14.55,13.8,13.75,13.55,13.45,82.35,final,2020,USA
7,colin van wicklen,13.9,12.3,14.15,13.7,13.7,13.95,81.7,final,2020,USA
8,paul juda,13.85,12.65,13.6,14.3,13.6,13.65,81.65,final,2020,USA
9,isaiah drake,13.65,13.4,13.5,13.95,13.7,13.35,81.55,final,2020,USA
10,robert neff,13.2,14.15,13.15,14.1,13.9,13.0,81.5,final,2020,USA
10,ian gunther,13.3,13.8,14.0,13.55,13.65,13.2,81.5,final,2020,USA
12,gage dyer,14.4,12.75,12.7,14.2,13.85,13.4,81.3,final,2020,USA
13,sean melton,13.25,13.5,14.4,13.85,14.1,12.15,81.25,final,2020,USA
13,cameron bock,14.35,13.05,14.05,13.5,13.85,12.45,81.25,final,2020,USA
15,akash modi,13.9,13.1,12.8,14.15,14.05,13.15,81.15,final,2020,USA
16,brandon briones,13.75,13.3,13.05,14.3,13.55,13.1,81.05,final,2020,USA
17,nicolas kuebler,13.9,13.9,13.1,13.65,12.95,13.5,81.0,final,2020,USA
18,riley loos,13.75,13.3,14.15,14.15,12.45,12.6,80.4,final,2020,USA
19,colt walker,13.1,13.1,13.0,14.25,13.7,12.75,79.9,final,2020,USA
20,matt wenske,13.45,13.05,13.65,14.05,13.2,12.2,79.6,final,2020,USA
21,genki suzuki,13.8,13.85,13.5,13.5,12.5,11.65,78.8,final,2020,USA
21,timothy wang,14.0,12.6,13.1,13.45,13.05,12.6,78.8,final,2020,USA
23,donothan bailey,13.6,13.0,13.35,14.0,12.45,12.3,78.7,final,2020,USA
24,marvin kimble,11.5,14.05,14.2,13.7,11.45,13.55,78.45,final,2020,USA
25,garrett braunton,12.45,12.7,13.15,13.75,12.75,13.3,78.1,final,2020,USA
26,michael moran,13.95,12.75,12.25,14.1,12.45,12.45,77.95,final,2020,USA
27,bennet huang,13.75,12.2,12.2,13.7,13.1,12.95,77.9,final,2020,USA
28,jack freeman,13.35,11.7,13.35,13.4,12.9,12.15,76.85,final,2020,USA
29,taylor burkhart,12.95,13.4,12.45,13.85,13.65,10.1,76.4,final,2020,USA
30,kiwan watts,12.05,11.85,12.75,13.75,13.85,11.4,75.65,final,2020,USA
31,mathew davis,12.65,12.35,12.65,13.3,12.25,12.1,75.3,final,2020,USA
32,anthony mills,12.2,12.15,12.0,13.15,12.85,12.4,74.75,final,2020,USA
33,alexei vernyi,13.15,12.25,11.8,13.35,11.95,12.2,74.7,final,2020,USA
34,brennan pantazis,12.8,11.25,12.05,13.45,12.6,10.9,73.05,final,2020,USA
35,benjamin bloom,12.5,12.5,11.45,13.0,11.9,11.35,72.7,final,2020,USA
36,eddie penev,13.9,12.0,0.0,14.25,12.25,11.9,64.3,final,2020,USA
37,adrian de los angeles,14.05,10.8,0.0,13.6,12.65,12.75,63.85,final,2020,USA
38,jordan kovach,0.0,12.45,12.7,12.1,11.8,12.15,61.2,final,2020,USA
39,alex diab,13.4,0.0,14.6,13.7,0.0,12.5,54.2,final,2020,USA
40,alec yoder,0.0,14.7,0.0,0.0,0.0,0.0,14.7,final,2020,USA
41,frankie valentin,0.0,12.7,0.0,0.0,0.0,0.0,12.7,final,2020,USA
