Rank,Athlete,D,E,ND,Score,Total,round,year,Nation
1,alex diab,5.8,8.8,0.0,14.6,29.45,final,2020,USA
1,alex diab,5.8,9.05,0.0,14.85,29.45,final,2020,USA
2,marvin kimble,5.8,8.4,0.0,14.2,28.8,final,2020,USA
2,marvin kimble,5.8,8.8,0.0,14.6,28.8,final,2020,USA
3,sean melton,5.8,8.6,0.0,14.4,28.35,final,2020,USA
3,sean melton,5.8,8.15,0.0,13.95,28.35,final,2020,USA
4,colin van wicklen,5.7,8.45,0.0,14.15,28.3,final,2020,USA
4,colin van wicklen,5.7,8.45,0.0,14.15,28.3,final,2020,USA
5,yul moldauer,5.7,8.2,0.0,13.9,28.0,final,2020,USA
5,yul moldauer,5.7,8.4,0.0,14.1,28.0,final,2020,USA
6,cameron bock,5.3,8.75,0.0,14.05,27.95,final,2020,USA
6,cameron bock,5.3,8.6,0.0,13.9,27.95,final,2020,USA
7,ian gunther,5.3,8.7,0.0,14.0,27.9,final,2020,USA
7,ian gunther,5.3,8.6,0.0,13.9,27.9,final,2020,USA
8,paul juda,5.1,8.5,0.0,13.6,26.95,final,2020,USA
8,paul juda,5.1,8.25,0.0,13.35,26.95,final,2020,USA
9,akash modi,5.2,7.6,0.0,12.8,26.85,final,2020,USA
9,akash modi,5.6,8.45,0.0,14.05,26.85,final,2020,USA
9,matt wenske,5.4,8.25,0.0,13.65,26.85,final,2020,USA
9,matt wenske,5.4,7.8,0.0,13.2,26.85,final,2020,USA
11,isaiah drake,5.3,8.2,0.0,13.5,26.75,final,2020,USA
11,isaiah drake,5.3,7.95,0.0,13.25,26.75,final,2020,USA
12,timothy wang,5.5,7.6,0.0,13.1,26.45,final,2020,USA
12,timothy wang,5.5,7.85,0.0,13.35,26.45,final,2020,USA
13,colt walker,4.9,8.1,0.0,13.0,26.4,final,2020,USA
13,colt walker,4.9,8.5,0.0,13.4,26.4,final,2020,USA
14,nicolas kuebler,4.5,8.6,0.0,13.1,26.0,final,2020,USA
14,nicolas kuebler,4.5,8.4,0.0,12.9,26.0,final,2020,USA
15,kiwan watts,4.7,8.05,0.0,12.75,25.85,final,2020,USA
15,kiwan watts,4.7,8.4,0.0,13.1,25.85,final,2020,USA
15,robert neff,4.9,8.25,0.0,13.15,25.85,final,2020,USA
15,robert neff,4.8,7.9,0.0,12.7,25.85,final,2020,USA
17,gage dyer,4.0,8.7,0.0,12.7,25.2,final,2020,USA
17,gage dyer,4.0,8.5,0.0,12.5,25.2,final,2020,USA
