Rank,Athlete,Nation,D,E,ND,Total,round,year
1,kirill prokopev,RUS,6.2,8.75,0.0,14.95,final,2019
2,kazuma kaya,JPN,5.8,8.8,0.0,14.6,final,2019
3,kakeru tanigawa,JPN,5.9,8.65,0.0,14.55,final,2019
4,kim han-sol,SKR,6.0,8.55,0.0,14.55,final,2019
5,marco walter,SUI,5.7,8.45,0.0,14.15,final,2019
6,alexander diab,USA,5.6,8.05,0.0,13.65,final,2019
7,milad karimi,KAZ,6.2,7.55,-0.1,13.65,final,2019
8,andrea russo,ITA,5.4,6.25,-0.1,11.55,final,2019
1,kirill prokopev,RUS,6.2,8.9,0.0,15.1,qual,2019
2,kazuma kaya,JPN,5.8,9.0,0.0,14.8,qual,2019
3,kakeru tanigawa,JPN,5.9,8.825,0.0,14.725,qual,2019
4,milad karimi,KAZ,6.2,8.35,0.0,14.55,qual,2019
5,wataru tanigawa,JPN,6.0,8.35,0.0,14.35,qual,2019
6,marco walter,SUI,5.7,8.55,0.0,14.25,qual,2019
7,kim han-sol,SKR,5.9,8.35,0.0,14.25,qual,2019
8,andrea russo,ITA,5.5,8.55,0.0,14.05,qual,2019
9,alexander diab,USA,5.6,8.325,0.0,13.925,qual,2019
10,lee chih-kai,none,5.5,8.65,-0.3,13.85,qual,2019
11,ivan stretovich,RUS,5.4,8.45,0.0,13.85,qual,2019
11,ivan tikhonov,AZE,5.4,8.45,0.0,13.85,qual,2019
13,antoine borello,FRA,5.2,8.6,0.0,13.8,qual,2019
14,lee jung-hyo,SKR,5.5,8.2,0.0,13.7,qual,2019
15,martino morosi,SUI,5.1,8.5,0.0,13.6,qual,2019
16,maxime gentges,BEL,5.0,8.55,0.0,13.55,qual,2019
17,killian mermet,FRA,5.4,8.1,0.0,13.5,qual,2019
17,luis porto,BRA,5.4,8.1,0.0,13.5,qual,2019
19,damien cachia,CAN,5.3,8.15,0.0,13.45,qual,2019
20,jacob bonnay,CAN,5.4,8.05,0.0,13.45,qual,2019
21,abdulla azimov,UZB,4.7,8.7,0.0,13.4,qual,2019
22,tom nicolaou,CYP,5.1,8.3,0.0,13.4,qual,2019
22,stefano patron,ITA,5.1,8.3,0.0,13.4,qual,2019
24,lee seung-min,SKR,5.1,8.25,0.0,13.35,qual,2019
25,marco sarrugerio,ITA,5.0,8.3,-0.1,13.2,qual,2019
26,bernardo almeida,POR,5.2,7.95,0.0,13.15,qual,2019
27,jeremy bartholomeusz,CAN,4.4,8.65,0.0,13.05,qual,2019
28,nikolai rønbeck,NOR,5.0,7.95,0.0,12.95,qual,2019
29,ivo chiapponi,ARG,4.5,8.4,0.0,12.9,qual,2019
30,alexander benda,AUT,5.5,7.4,0.0,12.9,qual,2019
31,michael tone,AUS,4.6,8.25,0.0,12.85,qual,2019
32,justin pesesse,BEL,5.3,7.75,-0.2,12.85,qual,2019
33,heath thorpe,AUS,5.7,7.35,-0.2,12.85,qual,2019
34,julian jato,ARG,4.4,8.4,0.0,12.8,qual,2019
35,hsu ping-chien,none,4.6,8.2,0.0,12.8,qual,2019
36,yahor sharamkou,BLR,5.1,7.7,0.0,12.8,qual,2019
37,ilya kibartas,RUS,5.6,7.15,0.0,12.75,qual,2019
38,vinzenz höck,AUT,4.9,7.6,0.0,12.5,qual,2019
39,roland modoianu,ROU,4.7,7.65,0.0,12.35,qual,2019
40,fabian de luna,MEX,5.1,7.25,0.0,12.35,qual,2019
41,hudson irwin,AUS,4.8,7.5,0.0,12.3,qual,2019
42,vladyslav hryko,UKR,5.4,7.475,-0.6,12.275,qual,2019
43,marko jovicic,CRO,5.0,7.275,0.0,12.275,qual,2019
44,neofytos kyriakou,CYP,4.4,7.45,0.0,11.85,qual,2019
45,luca la pia,DEN,4.2,7.8,-0.3,11.7,qual,2019
46,franz card,FIN,4.2,7.3,0.0,11.5,qual,2019
47,sviataslau dranitski,BLR,4.3,7.15,0.0,11.45,qual,2019
48,eduard yermakov,UKR,4.3,7.0,0.0,11.3,qual,2019
49,robert ghiuzan,ROU,5.1,5.5,0.0,10.6,qual,2019
50,guilherme campos,POR,5.0,5.5,-0.3,10.2,qual,2019
