Rank,Athlete,Nation,D,E,ND,Total,year,round
1,Sanne Wevers,NED,5.6,8.3,0.0,13.9,2021,final
2,Nina Derwael,BEL,5.0,8.6,0.0,13.6,2021,final
3,Marine Boyer,FRA,5.8,7.366,0.0,13.166,2021,final
4,Melanie De Jesus Dos Santos,FRA,5.4,7.666,0.0,13.066,2021,final
5,Ilaria Käslin,SUI,5.1,7.466,-0.1,12.466,2021,final
6,Pauline Schäfer,GER,5.2,7.2,0.0,12.4,2021,final
7,Maellyse Brassart,BEL,5.1,7.266,-0.1,12.266,2021,final
8,Vasiliki Millousi,GRE,5.3,6.833,0.0,12.133,2021,final
1,Nina Derwael,BEL,5.0,8.5,,13.5,2021,qual
2,Pauline Schäfer,GER,5.3,8.2,,13.5,2021,qual
3,Ilaria Käslin,SUI,5.4,8.0,,13.4,2021,qual
4,Sanne Wevers,NED,5.5,7.866,,13.366,2021,qual
5,Marine Boyer,FRA,5.9,7.466,,13.366,2021,qual
6,Melanie De Jesus Dos Santos,FRA,5.4,7.9,,13.3,2021,qual
7,Lorette Charpy,FRA,5.5,7.666,,13.166,2021,qual
8,Maellyse Brassart,BEL,5.2,7.866,,13.066,2021,qual
9,Vasiliki Millousi,GRE,5.4,7.666,,13.066,2021,qual
10,Kelly Simm,GBR,4.9,8.133,,13.033,2021,qual
11,Ana Perez,ESP,5.1,7.933,,13.033,2021,qual
12,Cintia Rodriguez,ESP,4.9,8.1,,13.0,2021,qual
13,Giada Grisetti,ITA,5.1,7.733,,12.833,2021,qual
14,Denisa Golgota,ROU,5.6,7.233,,12.833,2021,qual
15,Francesca Noemi Linari,ITA,4.8,8.0,,12.8,2021,qual
16,Angelina Melnikova,RUS,5.0,7.766,,12.766,2021,qual
17,Nora Feher,HUN,5.2,7.566,,12.766,2021,qual
18,Diana Varinska,UKR,5.2,7.533,,12.733,2021,qual
19,Vera van Pol,NED,4.7,7.966,,12.666,2021,qual
20,Alice Kinsella,GBR,5.2,7.433,,12.633,2021,qual
21,Teja Belak,SLO,4.7,7.9,,12.6,2021,qual
22,Helena Bonilla,ESP,4.9,7.633,,12.533,2021,qual
23,Celine van Gerner,NED,5.0,7.5,,12.5,2021,qual
24,Valeriia Osipova,UKR,5.2,7.3,,12.5,2021,qual
25,Adela Sajn,SLO,5.0,7.433,,12.433,2021,qual
26,Marta Pihan-Kulesza,POL,5.2,7.233,,12.433,2021,qual
27,Dorina Böczögö,HUN,4.9,7.6,-0.1,12.4,2021,qual
28,Filipa Martins,POR,5.1,7.233,,12.333,2021,qual
29,Angelina Simakova,RUS,5.2,7.133,,12.333,2021,qual
29,Irina Alexeeva,RUS,5.2,7.133,,12.333,2021,qual
31,Axelle Klinckaert,BEL,5.4,6.933,,12.333,2021,qual
32,Georgia-Mae Fenton,GBR,5.0,7.266,,12.266,2021,qual
33,Laura Iacob,ROU,4.8,7.433,,12.233,2021,qual
34,Noemi Makra,HUN,5.0,7.2,,12.2,2021,qual
35,Leonie Meier,SUI,4.3,7.8,,12.1,2021,qual
36,Martina Basile,ITA,5.4,6.633,,12.033,2021,qual
37,Elisa Hämmerle,AUT,4.9,7.066,,11.966,2021,qual
38,Stefanie Siegenthaler,SUI,4.6,7.333,-0.1,11.833,2021,qual
39,Anastasija Dubova,LAT,4.5,7.3,,11.8,2021,qual
40,Maija Leinonen,FIN,4.5,7.233,,11.733,2021,qual
41,Katarzyna Jurkowska-Kowalska,POL,4.7,6.966,,11.666,2021,qual
42,Julie Søderstrøm,NOR,4.6,7.033,,11.633,2021,qual
43,Tutya Yilmaz,TUR,5.6,6.033,,11.633,2021,qual
44,Anastasia Theocharous,CYP,3.9,7.633,,11.533,2021,qual
45,Jessica Castles,SWE,4.9,6.6,,11.5,2021,qual
46,Carmen Ghiciuc,ROU,5.1,6.4,,11.5,2021,qual
47,Mariana Pitrez,POR,4.7,6.766,,11.466,2021,qual
48,Ioanna Xoulogi,GRE,5.0,6.466,,11.466,2021,qual
49,Angelina Radivilova,UKR,5.5,5.966,,11.466,2021,qual
50,Radoslava Kalamarova,SVK,4.7,6.7,,11.4,2021,qual
51,Kristyna Brabcova,CZE,4.7,6.766,-0.1,11.366,2021,qual
