Rank,Athlete,Nation,D,E,ND,Total,year,round
1,Melanie De Jesus Dos Santos,FRA,5.5,8.266,0.0,13.766,2021,final
2,Denisa Golgota,ROU,5.5,8.1,0.0,13.6,2021,final
3,Axelle Klinckaert,BEL,5.3,8.1,0.0,13.4,2021,final
4,Celine van Gerner,NED,4.6,8.7,0.0,13.3,2021,final
5,Martina Basile,ITA,5.2,7.966,0.0,13.166,2021,final
6,Angelina Melnikova,RUS,5.4,7.866,-0.1,13.166,2021,final
7,Jessica Castles,SWE,4.7,8.1,0.0,12.8,2021,final
8,Georgia-Mae Fenton,GBR,4.5,8.133,0.0,12.633,2021,final
1,Angelina Melnikova,RUS,5.9,8.033,-0.1,13.833,2021,qual
2,Melanie De Jesus Dos Santos,FRA,5.5,8.233,,13.733,2021,qual
3,Axelle Klinckaert,BEL,5.3,8.1,,13.4,2021,qual
4,Georgia-Mae Fenton,GBR,4.8,8.4,,13.2,2021,qual
5,Denisa Golgota,ROU,5.2,7.966,,13.166,2021,qual
6,Jessica Castles,SWE,4.9,8.2,,13.1,2021,qual
7,Martina Basile,ITA,5.2,7.9,,13.1,2021,qual
8,Celine van Gerner,NED,4.6,8.466,,13.066,2021,qual
9,Angelina Simakova,RUS,4.9,8.166,,13.066,2021,qual
10,Kelly Simm,GBR,5.0,7.933,,12.933,2021,qual
11,Leah Griesser,GER,4.8,8.1,,12.9,2021,qual
12,Alice Kinsella,GBR,5.0,7.9,,12.9,2021,qual
13,Nina Derwael,BEL,5.0,7.966,-0.1,12.866,2021,qual
14,Aneta Holasova,CZE,4.7,8.133,,12.833,2021,qual
15,Marine Boyer,FRA,4.8,8.033,,12.833,2021,qual
16,Pauline Schäfer,GER,4.8,8.066,-0.1,12.766,2021,qual
17,Kim Bui,GER,5.1,7.733,-0.1,12.733,2021,qual
18,Tisha Volleman,NED,4.7,8.0,,12.7,2021,qual
18,Ilaria Käslin,SUI,4.7,8.0,,12.7,2021,qual
20,Lorette Charpy,FRA,4.8,7.9,,12.7,2021,qual
20,Marta Pihan-Kulesza,POL,4.8,7.9,,12.7,2021,qual
22,Diana Varinska,UKR,5.2,7.566,-0.1,12.666,2021,qual
23,Dorina Böczögö,HUN,4.8,8.133,-0.3,12.633,2021,qual
24,Cintia Rodriguez,ESP,4.5,8.133,,12.633,2021,qual
25,Maellyse Brassart,BEL,4.9,7.733,,12.633,2021,qual
26,Francesca Noemi Linari,ITA,4.8,7.8,,12.6,2021,qual
27,Barbora Mokosova,SVK,4.6,7.933,,12.533,2021,qual
28,Sara Peter,HUN,4.6,7.933,,12.5,2021,qual
29,Carmen Ghiciuc,ROU,4.9,7.6,,12.5,2021,qual
30,Nora Feher,HUN,4.6,7.833,,12.433,2021,qual
31,Valeriia Osipova,UKR,4.8,7.6,,12.4,2021,qual
32,Ana Perez,ESP,4.8,7.566,,12.366,2021,qual
33,Sani Mäkelä,FIN,4.5,7.733,,12.233,2021,qual
34,Linnea Wang,DEN,4.4,7.8,,12.2,2021,qual
35,Gabriela Janik,POL,4.5,7.7,,12.2,2021,qual
36,Vera van Pol,NED,4.5,7.766,-0.1,12.166,2021,qual
37,Caterina Cereghetti,ITA,4.6,7.666,-0.1,12.166,2021,qual
38,Jasmin Mader,AUT,4.6,7.533,,12.133,2021,qual
39,Dominika Ponizilova,CZE,4.5,7.6,,12.1,2021,qual
40,Thea Nygaard,NOR,4.6,7.5,,12.1,2021,qual
41,Mariana Marianito,POR,4.2,7.866,,12.066,2021,qual
42,Demet Mutlu,TUR,4.4,7.766,-0.1,12.066,2021,qual
43,Beatriz Dias,POR,4.5,7.566,,12.066,2021,qual
44,Yuliya Inshina,AZE,4.5,7.533,,12.033,2021,qual
45,Leonie Meier,SUI,4.9,7.133,,12.033,2021,qual
46,Angelina Radivilova,UKR,5.1,6.933,,12.033,2021,qual
47,Anastasia Theocharous,CYP,4.3,7.7,,12.0,2021,qual
48,Bianca Frysak,AUT,4.4,7.6,,12.0,2021,qual
49,Pamela Georgieva,BUL,4.4,7.6,,12.0,2021,qual
50,Tutya Yilmaz,TUR,4.7,7.3,,12.0,2021,qual
51,Meaghan Smith,IRL,4.8,7.2,,12.0,2021,qual
52,Lucija Hribar,SLO,4.2,7.766,,11.966,2021,qual
52,Thea Brogli,SUI,4.2,7.766,,11.966,2021,qual
54,Siiri Saukkonen,FIN,4.1,7.8,,11.9,2021,qual
55,Edel Fosse,NOR,4.4,7.5,-0.1,11.8,2021,qual
56,Margret Kristinsdottir,ISL,4.0,7.766,,11.766,2021,qual
57,Gloria Philassides,CYP,4.2,7.566,,11.766,2021,qual
58,Thelma Adalsteinsdottir,ISL,4.3,7.466,,11.766,2021,qual
59,Katarzyna Jurkowska,POL,4.0,7.733,,11.733,2021,qual
60,Lilia Akhaimova,RUS,5.4,6.633,-0.3,11.733,2021,qual
61,Mette Hulgaard,DEN,4.2,7.5,,11.7,2021,qual
62,Enni Kettunen,FIN,4.4,7.233,,11.633,2021,qual
63,Leonor Silva,POR,4.2,7.4,,11.6,2021,qual
64,Anna Subbotina,GEO,4.3,7.233,,11.533,2021,qual
65,Radoslava Kalamarova,SVK,4.1,7.366,,11.466,2021,qual
66,Chiara Bunce,SVK,4.7,7.1,-0.4,11.4,2021,qual
67,Marlies Männersdorfer,AUT,4.3,7.1,,11.4,2021,qual
68,Christina Zwicker,CRO,4.3,7.0,,11.3,2021,qual
68,Kristyna Brabcova,CZE,4.3,7.0,,11.3,2021,qual
70,Julie Søderstrøm,NOR,4.2,7.366,-0.3,11.266,2021,qual
71,Tjasa Kysselef,SLO,4.4,6.866,,11.266,2021,qual
72,Andrea Carmona,ESP,4.6,6.933,-0.3,11.233,2021,qual
73,Sigridur Bergthorsdottir,ISL,4.4,7.2,-0.4,11.2,2021,qual
74,Göksu Üctas Sanli,TUR,4.7,7.033,-0.6,11.133,2021,qual
75,Ofir Netzer,ISR,4.6,6.6,-0.1,11.1,2021,qual
76,Marija Ribalcenko,LAT,4.5,6.6,,11.1,2021,qual
77,Laura Iacob,ROU,5.0,6.633,-0.6,11.033,2021,qual
78,Adela Sajn,SLO,3.8,7.3,-0.1,11.0,2021,qual
79,Argyro Afrati,GRE,4.4,6.6,,11.0,2021,qual
80,Evangelia Monokrousou,GRE,4.1,6.866,,10.966,2021,qual
81,Victoria Kajø,DEN,3.9,7.266,-0.3,10.866,2021,qual
82,Anastasija Dubova,LAT,3.6,7.133,,10.733,2021,qual
83,Linda Tugarinova,LAT,3.9,6.533,,10.433,2021,qual
84,Greta Banishka,BUL,4.2,6.233,,10.433,2021,qual
85,Aurelie Keller,LUX,4.2,6.033,,10.233,2021,qual
86,Ioanna Xoulogi,GRE,3.2,6.366,,9.566,2021,qual
