Gymnast,Date,Competition,Round,VT,UB,BB,FX,AA
Simone Biles,2021-07-23,Olympic Games,EF,0.0,0.0,14.0,0.0,0.0
Simone Biles,2021-07-23,Olympic Games,TF,13.766,0.0,0.0,0.0,0.0
Simone Biles,2021-07-23,Olympic Games,QF,14.966,14.566,14.066,14.133,57.731
Simone Biles,2021-06-24,U.S. Olympic Trials,AA,15.4,13.833,13.7,14.6,57.533
Simone Biles,2021-06-24,U.S. Olympic Trials,QF,15.466,14.6,15.133,15.366,60.565
Simone Biles,2021-06-03,U.S. Championships,AA,15.55,14.7,14.9,14.95,60.1
Simone Biles,2021-06-03,U.S. Championships,QF,15.8,14.75,14.35,14.65,59.55
Simone Biles,2021-05-21,U.S. Classic,AA,16.1,13.2,14.85,14.25,58.4
Simone Biles,2023-08-24,U.S. Championships,AA,14.85,14.05,14.85,15.4,59.15
Simone Biles,2023-08-24,U.S. Championships,QF,15.5,14.35,14.45,14.8,59.1
Simone Biles,2023-08-04,U.S. Classic,AA,15.2,14.0,14.8,14.9,58.9
Simone Biles,2023-07-09,July National Team Camp,AA,14.65,14.2,14.35,14.45,57.65
