Name,Date,Competition,Round,VT,UB,BB,FX,AA
Skye Blakely,2021-06-03,U.S. Championships,AA,14.55,13.6,14.25,13.3,55.7
Skye Blakely,2021-06-03,U.S. Championships,QF,14.7,12.95,12.75,13.45,53.85
Skye Blakely,2021-05-21,U.S. Classic,AA,14.0,14.05,12.65,13.3,54.0
Skye Blakely,2021-04-24,American Classic,AA,13.85,14.1,14.3,13.1,55.35
Skye Blakely,2021-03-13,March National Team Camp,AA,14.35,0.0,14.6,11.95,0.0
Skye Blakely,2021-02-26,Winter Cup,AA,0.0,0.0,14.5,12.65,0.0
Skye Blakely,2022-10-29,World Championships,EF,0.0,0.0,13.3,0.0,0.0
Skye Blakely,2022-10-29,World Championships,TF,0.0,0.0,13.266,0.0,0.0
Skye Blakely,2022-10-29,World Championships,QF,0.0,12.566,13.733,13.6,0.0
Skye Blakely,2022-10-21,U.S. Worlds Trials,EF,0.0,14.2,14.55,0.0,0.0
Skye Blakely,2022-10-21,U.S. Worlds Trials,AA,14.2,13.45,13.55,13.45,54.65
Skye Blakely,2022-08-18,U.S. Championships,AA,14.3,13.9,12.95,13.45,54.6
Skye Blakely,2022-08-18,U.S. Championships,QF,14.1,13.85,13.45,13.3,54.7
Skye Blakely,2022-07-14,Pan American Championships,TF,13.867,13.9,13.067,13.1,53.934
Skye Blakely,2022-07-14,Pan American Championships,AA,13.433,13.933,12.3,13.267,52.933
Skye Blakely,2022-07-04,U.S. Pan Ams Trials,EF,0.0,12.266,0.0,0.0,0.0
Skye Blakely,2022-07-04,U.S. Pan Ams Trials,AA,14.0,13.4,14.3,13.55,55.25
Skye Blakely,2022-03-18,DTB Pokal Team Challenge,AA,14.266,12.0,12.9,13.366,52.532
Skye Blakely,2022-02-24,Winter Cup,AA,13.8,13.15,13.5,13.25,53.7
Skye Blakely,2022-02-12,WOGA Classic,AA,0.0,0.0,14.25,13.25,0.0
Skye Blakely,2023-08-24,U.S. Championships,AA,14.25,14.4,14.2,12.2,55.05
Skye Blakely,2023-08-24,U.S. Championships,QF,14.35,14.4,14.05,12.9,55.7
Skye Blakely,2023-08-04,U.S. Classic,AA,14.1,14.35,14.3,0.0,0.0
Skye Blakely,2023-07-09,July National Team Camp,AA,14.25,14.35,14.05,0.0,0.0
Skye Blakely,2023-02-23,Winter Cup,AA,0.0,13.15,13.4,0.0,0.0
Skye Blakely,2023-02-17,WOGA Classic,AA,0.0,14.7,13.45,0.0,0.0
