Name,Date,Competition,Round,VT,UB,BB,FX,AA
Jade Carey,2021-07-23,Olympic Games,EF,12.416,0.0,0.0,14.366,0.0
Jade Carey,2021-07-23,Olympic Games,AA,15.2,13.5,11.533,13.966,54.199
Jade Carey,2021-07-23,Olympic Games,QF,15.166,14.133,12.866,14.1,56.265
Jade Carey,2021-06-24,U.S. Olympic Trials,AA,0,13.733,13.433,0.0,0.0
Jade Carey,2021-06-24,U.S. Olympic Trials,QF,15.2,11.3,13.266,13.133,52.899
Jade Carey,2021-06-03,U.S. Championships,AA,14.55,13.6,12.75,13.65,54.55
Jade Carey,2021-06-03,U.S. Championships,QF,14.7,13.95,13.55,13.25,55.45
Jade Carey,2021-05-21,U.S. Classic,AA,0,13.8,12.75,0.0,0.0
Jade Carey,2021-02-26,Winter Cup,AA,14.8,13.6,13.55,0.0,0.0
Jade Carey,2022-10-29,World Championships,EF,14.516,0.0,0.0,13.733,0.0
Jade Carey,2022-10-29,World Championships,AA,14.733,13.166,12.633,14.166,54.698
Jade Carey,2022-10-29,World Championships,TF,14.8,0.0,12.8,14.1,0.0
Jade Carey,2022-10-29,World Championships,QF,14.6,13.333,13.133,14.066,55.132
Jade Carey,2022-10-21,U.S. Worlds Trials,EF,0,13.65,12.9,0.0,0.0
Jade Carey,2022-10-21,U.S. Worlds Trials,AA,14.3,13.6,13.75,13.8,55.45
Jade Carey,2022-09-24,Paris Challenge Cup,EF,14.375,0.0,13.75,0.0,0.0
Jade Carey,2022-09-24,Paris Challenge Cup,QF,14.350,0.0,13.4,0.0,0.0
Jade Carey,2022-08-18,U.S. Championships,AA,14.65,13.45,13.3,13.85,55.25
Jade Carey,2022-08-18,U.S. Championships,QF,14.8,13.6,13.2,14.05,55.65
Jade Carey,2023-08-24,U.S. Championships,AA,14.55,13.25,12.05,13.1,52.95
Jade Carey,2023-08-24,U.S. Championships,QF,13.95,12.05,12.15,13.35,51.5
Jade Carey,2023-08-04,U.S. Classic,AA,0.0,0.0,13.0,0.0,0.0
Jade Carey,2023-07-09,July National Team Camp,AA,13.6,13.6,11.75,13.45,52.4
