Name,Date,Competition,Round,VT,UB,BB,FX,AA
Kayla DiCello,2021-10-18,World Championships,EF,0.0,0.0,11.866,13.633,0.0
Kayla DiCello,2021-10-18,World Championships,AA,14.6,12.766,13.4,13.8,54.566
Kayla DiCello,2021-10-18,World Championships,QF,14.5,13.9,13.5,13.8,55.7
Kayla DiCello,2021-10-08,U.S. Worlds Trials,AA,14.55,13.95,13.25,13.6,55.35
Kayla DiCello,2021-06-24,U.S. Olympic Trials,AA,14.833,12.8,13.8,13.5,54.933
Kayla DiCello,2021-06-24,U.S. Olympic Trials,QF,14.6,13.966,13.766,13.966,56.298
Kayla DiCello,2021-06-03,U.S. Championships,AA,14.4,13.55,12.55,14.05,54.55
Kayla DiCello,2021-06-03,U.S. Championships,QF,14.65,12.9,12.65,14.05,54.25
Kayla DiCello,2021-05-21,U.S. Classic,AA,14.35,14.6,13.3,13.85,56.1
Kayla DiCello,2021-04-24,American Classic,AA,0.0,14.6,13.2,0.0,0.0
Kayla DiCello,2021-03-13,March National Team Camp,AA,14.8,13.15,14.05,13.85,55.85
Kayla DiCello,2022-08-18,U.S. Championships,AA,14.3,13.5,13.55,13.65,55.0
Kayla DiCello,2022-08-18,U.S. Championships,QF,14.2,14.1,13.8,13.85,55.95
Kayla DiCello,2022-07-14,Pan American Championships,TF,0.0,13.967,12.3,13.5,0.0
Kayla DiCello,2022-07-14,Pan American Championships,AA,13.167,13.6,11.733,13.467,51.967
Kayla DiCello,2022-07-04,U.S. Pan Ams Trials,EF,0.0,13.766,13.333,0.0,0.0
Kayla DiCello,2022-07-04,U.S. Pan Ams Trials,AA,12.55,13.7,11.3,13.7,51.25
Kayla DiCello,2023-08-24,U.S. Championships,AA,14.1,13.8,12.75,13.75,54.4
Kayla DiCello,2023-08-24,U.S. Championships,QF,14.0,12.3,11.7,13.5,51.5
Kayla DiCello,2023-08-04,U.S. Classic,AA,13.4,12.2,13.2,13.15,51.95
Kayla DiCello,2023-07-09,July National Team Camp,AA,0.0,0.0,12.4,0.0,0.0
Kayla DiCello,2023-07-08,American Classic,AA,13.25,0.0,13.0,0.0,0.0
