Name,Date,Competition,Round,VT,UB,BB,FX,AA
Nola Matthews,2021-11-15,Junior Pan Am Games Trials,EF,0.0,13.1,12.25,0.0,0.0
Nola Matthews,2021-11-15,Junior Pan Am Games Trials,AA,12.95,12.5,12.1,11.95,49.5
Nola Matthews,2021-06-03,U.S. Championships,AA,13.4,11.9,13.2,10.55,49.05
Nola Matthews,2021-06-03,U.S. Championships,QF,13.6,13.05,11.8,11.85,50.3
Nola Matthews,2021-05-21,U.S. Classic,AA,12.95,12.45,12.15,0.0,0.0
Nola Matthews,2021-04-24,American Classic,AA,12.8,11.7,13.1,12.2,49.8
Nola Matthews,2021-03-13,March National Team Camp,AA,13.5,11.5,13.65,12.6,51.25
Nola Matthews,2021-02-26,Winter Cup,AA,12.95,13.15,12.1,12.35,50.55
Nola Matthews,2022-10-21,U.S. Worlds Trials,EF,0.0,12.45,13.35,0.0,0.0
Nola Matthews,2022-10-21,U.S. Worlds Trials,AA,12.9,12.55,12.45,13.05,50.95
Nola Matthews,2022-08-18,U.S. Championships,AA,12.95,14.05,12.5,12.2,51.7
Nola Matthews,2022-08-18,U.S. Championships,QF,13.1,13.75,11.95,12.35,51.15
Nola Matthews,2022-07-29,U.S. Classic,AA,13.0,13.9,12.5,11.7,51.1
Nola Matthews,2022-07-04,U.S. Pan Ams Trials,EF,0.0,12.833,12.966,0.0,0.0
Nola Matthews,2022-07-04,U.S. Pan Ams Trials,AA,13.1,13.85,11.75,12.1,50.8
Nola Matthews,2022-03-31,March National Team Camp,AA,12.65,12.2,12.15,12.5,49.5
Nola Matthews,2022-03-18,DTB Pokal Team Challenge,EF,0.0,13.7,0.0,0.0,0.0
Nola Matthews,2022-03-18,DTB Pokal Team Challenge,AA,0.0,14.033,0.0,0.0,0.0
Nola Matthews,2022-02-24,Winter Cup,AA,12.85,13.95,13.05,12.8,52.65
Nola Matthews,2022-02-12,WOGA Classic,AA,12.4,13.15,12.55,12.65,50.75
Nola Matthews,2022-01-28,All American National Qualifier,AA,12.95,10.9,12.7,0.0,0.0
Nola Matthews,2022-01-21,Vegas Cup National Qualifier,AA,0.0,13.5,12.7,0.0,0.0
Nola Matthews,2023-08-24,U.S. Championships,AA,13.2,14.05,12.45,13.2,52.9
Nola Matthews,2023-08-24,U.S. Championships,QF,13.15,12.4,13.0,13.4,51.95
Nola Matthews,2023-08-04,U.S. Classic,AA,13.05,13.9,13.3,13.3,53.55
Nola Matthews,2023-07-09,July National Team Camp,AA,12.9,13.6,13.15,13.15,52.8
Nola Matthews,2023-05-26,Pan American Championships,TF,0.0,14.067,0.0,13.1,0.0
Nola Matthews,2023-05-26,Pan American Championships,AA,12.9,14.0,12.7,12.667,52.267
Nola Matthews,2023-04-30,Pan American Trials,AA,13.3,14.05,13.5,13.35,54.2
Nola Matthews,2023-03-19,DTB Pokal Mixed Cup,AA,0.0,12.366,13.066,0.0,0.0
Nola Matthews,2023-03-17,DTB Pokal Team Challenge,AA,13.1,13.65,13.2,12.9,52.85
Nola Matthews,2023-02-23,Winter Cup,AA,13.25,13.45,12.7,13.2,52.6
Nola Matthews,2023-02-17,WOGA Classic,AA,13.25,13.35,12.1,13.1,51.8
Nola Matthews,2023-01-27,Vegas Cup National Qualifier,AA,0.0,12.45,12.7,12.8,0.0
