Name,Date,Competition,Round,VT,UB,BB,FX,AA
Zoe Miller,2021-06-24,U.S. Olympic Trials,AA,13.7,13.633,13.133,12.866,53.332
Zoe Miller,2021-06-24,U.S. Olympic Trials,QF,13.933,13.766,12.566,12.2,52.465
Zoe Miller,2021-06-03,U.S. Championships,AA,14.2,13.9,13.05,12.3,53.45
Zoe Miller,2021-06-03,U.S. Championships,QF,14.1,14.3,11.75,12.8,52.95
Zoe Miller,2021-05-21,U.S. Classic,AA,13.5,14.0,11.75,12.0,51.25
Zoe Miller,2021-02-26,Winter Cup,AA,13.6,14.05,12.15,12.7,52.5
Zoe Miller,2021-02-06,WOGA Classic,AA,13.9,12.45,13.7,13.0,53.05
Zoe Miller,2022-07-14,Pan American Championships,TF,0.0,14.467,0.0,0.0,0.0
Zoe Miller,2022-07-14,Pan American Championships,AA,0.0,14.133,0.0,0.0,0.0
Zoe Miller,2022-07-04,U.S. Pan Ams Trials,EF,0.0,14.633,11.833,0.0,0.0
Zoe Miller,2022-07-04,U.S. Pan Ams Trials,AA,13.3,13.9,11.85,12.35,51.4
Zoe Miller,2022-04-09,City of Jesolo Trophy,EF,0.0,14.45,0.0,0.0,0.0
Zoe Miller,2022-04-09,City of Jesolo Trophy,AA,13.067,14.033,12.133,12.3,51.533
Zoe Miller,2022-03-31,March National Team Camp,AA,13.4,14.25,11.95,12.35,51.95
Zoe Miller,2022-02-24,Winter Cup,AA,13.65,13.1,10.95,12.65,50.35
Zoe Miller,2022-02-12,WOGA Classic,AA,13.6,13.7,11.95,12.5,51.75
Zoe Miller,2023-08-24,U.S. Championships,AA,13.4,14.4,12.25,12.4,52.45
Zoe Miller,2023-08-24,U.S. Championships,QF,13.15,11.0,13.05,11.8,49.0
Zoe Miller,2023-08-04,U.S. Classic,AA,13.65,14.75,12.45,12.15,53.0
Zoe Miller,2023-07-09,July National Team Camp,AA,13.9,14.55,11.1,12.05,51.6
Zoe Miller,2023-04-30,Pan American Trials,AA,13.6,14.75,12.9,12.7,53.95
Zoe Miller,2023-03-17,DTB Pokal Team Challenge,EF,0.0,14.633,0.0,0.0,0.0
Zoe Miller,2023-03-17,DTB Pokal Team Challenge,AA,13.9,14.85,12.9,10.85,52.5
Zoe Miller,2023-02-23,Winter Cup,AA,13.65,13.9,12.55,12.4,52.5
