Name,Date,Competition,Round,VT,UB,BB,FX,AA
Ashlee Sullivan,2021-02-26,Winter Cup,AA,14.1,12.35,10.2,12.45,49.1
Ashlee Sullivan,2022-03-18,DTB Pokal Team Challenge,AA,14.033,0.0,13.6,13.533,0.0
Ashlee Sullivan,2022-02-24,Winter Cup,AA,13.9,12.6,13.5,12.85,52.85
Ashlee Sullivan,2022-02-12,WOGA Classic,AA,13.35,13.0,13.6,13.6,53.55
Ashlee Sullivan,2022-01-21,Vegas Cup National Qualifier,AA,13.1,13.3,13.45,12.8,52.65
Ashlee Sullivan,2023-08-24,U.S. Championships,AA,13.4,9.95,12.85,13.35,49.55
Ashlee Sullivan,2023-08-24,U.S. Championships,QF,13.2,12.95,12.2,13.1,51.45
Ashlee Sullivan,2023-04-30,Pan American Trials,AA,13.55,12.55,13.2,13.55,52.85
Ashlee Sullivan,2023-03-17,DTB Pokal Team Challenge,EF,0.0,0.0,12.4,0.0,0.0
Ashlee Sullivan,2023-03-17,DTB Pokal Team Challenge,AA,13.1,12.55,13.8,12.65,52.1
Ashlee Sullivan,2023-02-23,Winter Cup,AA,13.6,12.6,13.2,13.35,52.75
Ashlee Sullivan,2023-02-17,WOGA Classic,AA,0.0,11.3,12.0,0.0,0.0
