Name,Country,Competition,Location,Round,Apparatus,Rank,D_Score,E_Score,Penalty,Score
Fredrik AAS,NOR,2022 Cottbus World Cup,"Cottbus, Germany",qual,HB,18.0,3.9,8.266,0.0,12.166
Fredrik AAS,NOR,2022 Cottbus World Cup,"Cottbus, Germany",qual,HB,18.0,3.9,8.266,0.0,12.166
Fredrik AAS,NOR,2022 Cottbus World Cup,"Cottbus, Germany",qual,PB,23.0,3.9,6.9,0.0,10.8
Fredrik AAS,NOR,2022 Cottbus World Cup,"Cottbus, Germany",qual,PB,23.0,3.9,6.9,0.0,10.8
Fredrik AAS,NOR,2022 Cottbus World Cup,"Cottbus, Germany",qual,PH,33.0,4.2,6.666,0.0,10.866
Fredrik AAS,NOR,2022 Cottbus World Cup,"Cottbus, Germany",qual,PH,33.0,4.2,6.666,0.0,10.866
Fredrik AAS,NOR,2023 Cottbus World Cup,"Cottbus, Germany",qual,HB,39.0,4.6,6.7,0.0,11.3
Fredrik AAS,NOR,2023 Cottbus World Cup,"Cottbus, Germany",qual,PH,44.0,4.4,7.8,0.0,12.2
Fredrik AAS,NOR,2023 FISU World University Games,"Chengdu, China",qual,FX,54.0,4.0,8.566,0.0,12.566
Fredrik AAS,NOR,2023 FISU World University Games,"Chengdu, China",qual,HB,44.0,4.6,8.166,0.0,12.766
Fredrik AAS,NOR,2023 FISU World University Games,"Chengdu, China",qual,PB,54.0,4.4,8.066,0.0,12.466
Fredrik AAS,NOR,2023 FISU World University Games,"Chengdu, China",qual,PH,58.0,4.4,7.266,0.0,11.666
Fredrik AAS,NOR,2023 FISU World University Games,"Chengdu, China",qual,SR,73.0,3.5,8.366,0.0,11.866
Fredrik AAS,NOR,2023 FISU World University Games,"Chengdu, China",qual,VT,69.0,4.0,8.966,0.0,12.966
Nestor ABAD,ESP,2022 Senior European Championships,"Munich, Germany",qual,FX,86.0,5.4,7.133,0.1,12.433
Nestor ABAD,ESP,2022 Senior European Championships,"Munich, Germany",qual,HB,10.0,5.3,8.5,0.0,13.8
Nestor ABAD,ESP,2022 Senior European Championships,"Munich, Germany",TeamFinal,HB,10.0,5.3,8.1,0.0,13.4
Nestor ABAD,ESP,2022 Senior European Championships,"Munich, Germany",qual,PB,9.0,5.8,8.6,0.0,14.4
Nestor ABAD,ESP,2022 Senior European Championships,"Munich, Germany",TeamFinal,PB,10.0,5.8,8.266,0.0,14.066
Nestor ABAD,ESP,2022 Senior European Championships,"Munich, Germany",qual,PH,105.0,5.0,5.5,0.0,10.5
Nestor ABAD,ESP,2022 Senior European Championships,"Munich, Germany",qual,SR,23.0,5.3,8.366,0.0,13.666
Nestor ABAD,ESP,2022 Senior European Championships,"Munich, Germany",TeamFinal,SR,6.0,5.3,8.333,0.0,13.633
Nestor ABAD,ESP,2022 Senior European Championships,"Munich, Germany",qual,VT,36.0,5.2,9.2,0.3,14.1
Nestor ABAD,ESP,2023 Senior European Championships,"Antalya, Turkey",AAfinal,FX,24.0,5.4,7.233,0.0,12.633
Nestor ABAD,ESP,2023 Senior European Championships,"Antalya, Turkey",qual,FX,94.0,4.6,8.0,0.1,12.5
Nestor ABAD,ESP,2023 Senior European Championships,"Antalya, Turkey",AAfinal,HB,9.0,5.3,8.1,0.0,13.4
Nestor ABAD,ESP,2023 Senior European Championships,"Antalya, Turkey",final,HB,4.0,5.3,8.366,0.0,13.666
Nestor ABAD,ESP,2023 Senior European Championships,"Antalya, Turkey",qual,HB,5.0,5.3,8.433,0.0,13.733
Nestor ABAD,ESP,2023 Senior European Championships,"Antalya, Turkey",AAfinal,PB,10.0,5.8,8.033,0.0,13.833
Nestor ABAD,ESP,2023 Senior European Championships,"Antalya, Turkey",qual,PB,23.0,5.8,8.1,0.0,13.9
Nestor ABAD,ESP,2023 Senior European Championships,"Antalya, Turkey",AAfinal,PH,12.0,4.7,8.3,0.0,13.0
Nestor ABAD,ESP,2023 Senior European Championships,"Antalya, Turkey",qual,PH,28.0,5.0,8.233,0.0,13.233
Nestor ABAD,ESP,2023 Senior European Championships,"Antalya, Turkey",qual,SR,17.0,5.3,8.466,0.0,13.766
Nestor ABAD,ESP,2023 Senior European Championships,"Antalya, Turkey",AAfinal,SR,4.0,5.3,8.366,0.0,13.666
Nestor ABAD,ESP,2023 Senior European Championships,"Antalya, Turkey",AAfinal,VT,22.0,5.2,7.9,0.1,13.0
Nestor ABAD,ESP,2023 Senior European Championships,"Antalya, Turkey",qual,VT,69.0,4.8,9.0,0.1,13.7
Nestor ABAD,ESP,2023 Tel Aviv World Challenge Cup,"Tel Aviv, Israel",final,HB,1.0,5.3,8.5,0.0,13.8
