Name,Country,Date,Round,Apparatus,Rank,D_Score,E_Score,Penalty,Score
HADI ABDUL,MAS,2021-07-25,qual,BB,76.0,4.8,6.766,0.0,11.566
HADI ABDUL,MAS,2021-07-25,qual,FX,64.0,4.6,7.633,0.0,12.233
HADI ABDUL,MAS,2021-07-25,qual,UE,74.0,5.1,6.5,0.0,11.6
HADI ABDUL,MAS,2021-07-25,qual,VT,72.0,4.6,8.566,0.0,13.166
Farah Ann ABDUL HADI,MAS,2021-07-25,qual,BB,76.0,4.8,6.766,0.0,11.566
Farah Ann ABDUL HADI,MAS,2021-07-25,qual,FX,64.0,4.6,7.633,0.0,12.233
Farah Ann ABDUL HADI,MAS,2021-07-25,qual,UE,74.0,5.1,6.5,0.0,11.6
Jonna ADLERTEG,SWE,2021-07-25,qual,UE,12.0,6.3,8.233,0.0,14.533
Liliia AKHAIMOVA,ROC,2021-07-25,qual,BB,59.0,5.1,7.166,0.0,12.266
Liliia AKHAIMOVA,ROC,2021-07-25,qual,BB,59.0,5.1,7.166,0.0,12.266
Liliia AKHAIMOVA,ROC,2021-07-25,qual,FX,11.0,5.8,7.833,0.0,13.633
Liliia AKHAIMOVA,ROC,2021-07-25,qual,FX,11.0,5.8,7.833,0.0,13.633
Liliia AKHAIMOVA,ROC,2021-07-25,qual,UE,49.0,5.4,7.5,0.0,12.9
Liliia AKHAIMOVA,ROC,2021-07-25,qual,UE,49.0,5.4,7.5,0.0,12.9
Liliia AKHAIMOVA,ROC,2021-07-25,qual,VT,10.0,5.8,8.966,0.0,14.766
Liliia AKHAIMOVA,ROC,2021-07-25,qual,VT,7.0,5.8,8.966,0.0,14.766
Liliia AKHAIMOVA,ROC,2021-08-01,final,VT,6.0,5.8,8.866,0.1,14.666
Liliia AKHAIMOVA,ROC,2021-07-25,qual,VT,7.0,5.6,9.033,0.0,14.633
Liliia AKHAIMOVA,ROC,2021-08-01,final,VT,6.0,5.6,9.066,0.0,14.666
Luciana ALVARADO,CRC,2021-07-25,qual,BB,37.0,5.3,7.666,0.0,12.966
Luciana ALVARADO,CRC,2021-07-25,qual,BB,37.0,5.3,7.666,0.0,12.966
Luciana ALVARADO,CRC,2021-07-25,qual,FX,66.0,4.7,7.466,0.0,12.166
Luciana ALVARADO,CRC,2021-07-25,qual,FX,66.0,4.7,7.466,0.0,12.166
Luciana ALVARADO,CRC,2021-07-25,qual,UE,55.0,4.9,7.841,0.0,12.741
Luciana ALVARADO,CRC,2021-07-25,qual,UE,55.0,4.9,7.841,0.0,12.741
Luciana ALVARADO,CRC,2021-07-25,qual,VT,59.0,4.6,8.833,0.0,13.433
Rebeca ANDRADE,BRA,2021-07-29,final,BB,5.0,5.7,7.966,0.0,13.666
Rebeca ANDRADE,BRA,2021-07-25,qual,BB,18.0,5.8,7.933,0.0,13.733
Rebeca ANDRADE,BRA,2021-07-25,qual,BB,18.0,5.8,7.933,0.0,13.733
Rebeca ANDRADE,BRA,2021-07-29,final,FX,7.0,5.9,8.166,0.4,13.666
Rebeca ANDRADE,BRA,2021-07-25,qual,FX,4.0,5.7,8.366,0.0,14.066
Rebeca ANDRADE,BRA,2021-07-25,qual,FX,4.0,5.7,8.366,0.0,14.066
Rebeca ANDRADE,BRA,2021-08-01,final,FX,5.0,5.9,8.233,0.1,14.03
Rebeca ANDRADE,BRA,2021-07-29,final,UE,5.0,6.3,8.366,0.0,14.666
Rebeca ANDRADE,BRA,2021-07-25,qual,UE,19.0,6.0,8.2,0.0,14.2
Rebeca ANDRADE,BRA,2021-07-25,qual,UE,19.0,6.0,8.2,0.0,14.2
Rebeca ANDRADE,BRA,2021-07-29,final,VT,1.0,6.0,9.4,0.1,15.3
Rebeca ANDRADE,BRA,2021-07-25,qual,VT,1.0,6.0,9.4,0.0,15.4
Rebeca ANDRADE,BRA,2021-07-25,qual,VT,3.0,6.0,9.4,0.0,15.4
Rebeca ANDRADE,BRA,2021-08-01,final,VT,1.0,6.0,9.266,0.1,15.166
Rebeca ANDRADE,BRA,2021-07-25,qual,VT,3.0,5.4,9.4,0.0,14.8
Rebeca ANDRADE,BRA,2021-08-01,final,VT,1.0,5.8,9.2,0.1,15.0
Urara ASHIKAWA,JPN,2021-07-25,qual,BB,12.0,5.9,8.0,0.0,13.9
Urara ASHIKAWA,JPN,2021-08-01,final,BB,6.0,5.9,7.833,0.0,13.73
Laura BECHDEJU,ESP,2021-07-25,qual,BB,45.0,5.0,7.666,0.0,12.666
Laura BECHDEJU,ESP,2021-07-25,qual,BB,45.0,5.0,7.666,0.0,12.666
Laura BECHDEJU,ESP,2021-07-25,qual,FX,62.0,4.8,7.5,0.0,12.3
Laura BECHDEJU,ESP,2021-07-25,qual,FX,62.0,4.8,7.5,0.0,12.3
Laura BECHDEJU,ESP,2021-07-25,qual,UE,56.0,5.3,7.4,0.0,12.7
