Country,Competition,Round,Apparatus,Rank,D_Score,E_Score,Penalty,Score,year,name
NOR,2022 Cottbus World Cup,qual,HB,18.0,3.9,8.266,0.0,12.166,2022,fredrik aas
NOR,2022 Cottbus World Cup,qual,HB,18.0,3.9,8.266,0.0,12.166,2022,fredrik aas
NOR,2023 Cottbus World Cup,qual,HB,39.0,4.6,6.7,0.0,11.3,2023,fredrik aas
NOR,2023 FISU World University Games,qual,HB,44.0,4.6,8.166,0.0,12.766,2023,fredrik aas
ESP,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,HB,10.0,5.3,8.133,0.0,13.433,2022,nestor abad
ESP,2022 51st FIG Artistic Gymnastics World Championships,qual,HB,48.0,5.0,8.166,0.0,13.166,2022,nestor abad
ESP,2022 Senior European Championships,qual,HB,10.0,5.3,8.5,0.0,13.8,2022,nestor abad
ESP,2022 Senior European Championships,TeamFinal,HB,10.0,5.3,8.1,0.0,13.4,2022,nestor abad
ESP,2023 52nd FIG Artistic Gymnastics World Championships,qual,HB,66.0,4.8,8.233,0.0,13.033,2023,nestor abad
ESP,2023 Senior European Championships,AAfinal,HB,9.0,5.3,8.1,0.0,13.4,2023,nestor abad
ESP,2023 Senior European Championships,final,HB,4.0,5.3,8.366,0.0,13.666,2023,nestor abad
ESP,2023 Senior European Championships,qual,HB,5.0,5.3,8.433,0.0,13.733,2023,nestor abad
ESP,2023 Tel Aviv World Challenge Cup,final,HB,1.0,5.3,8.5,0.0,13.8,2023,nestor abad
ESP,2023 Tel Aviv World Challenge Cup,qual,HB,1.0,5.3,8.35,0.0,13.65,2023,nestor abad
ITA,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,HB,24.0,5.1,5.1,0.3,9.9,2022,yumin abbadini
ITA,2022 51st FIG Artistic Gymnastics World Championships,qual,HB,27.0,5.6,8.0,0.0,13.6,2022,yumin abbadini
ITA,2022 Senior European Championships,qual,HB,11.0,5.6,8.2,0.0,13.8,2022,yumin abbadini
ITA,2022 Senior European Championships,TeamFinal,HB,6.0,5.6,8.166,0.0,13.766,2022,yumin abbadini
ITA,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,HB,6.0,5.9,8.133,0.0,14.033,2023,yumin abbadini
ITA,2023 52nd FIG Artistic Gymnastics World Championships,qual,HB,11.0,5.9,8.133,0.0,14.033,2023,yumin abbadini
ITA,2023 Baku World Cup,qual,HB,10.0,5.3,8.233,0.0,13.533,2023,yumin abbadini
ITA,2023 Senior European Championships,AAfinal,HB,4.0,5.3,8.166,0.0,13.466,2023,yumin abbadini
ITA,2023 Senior European Championships,qual,HB,90.0,5.3,6.833,0.0,12.133,2023,yumin abbadini
EGY,2022 51st FIG Artistic Gymnastics World Championships,qual,HB,68.0,4.6,8.166,0.0,12.766,2022,abdelrahman abdelhaleem
EGY,2022 Cairo World Cup,qual,HB,15.0,4.8,7.2,0.0,12.0,2022,abdelrahman abdelhaleem
EGY,2022 Paris World Challenge Cup,qual,HB,26.0,4.6,8.0,0.0,12.6,2022,abdelrahman abdelhaleem
EGY,2022 51st FIG Artistic Gymnastics World Championships,qual,HB,61.0,4.4,8.566,0.0,12.966,2022,ahmed abdelrahman
EGY,2023 52nd FIG Artistic Gymnastics World Championships,qual,HB,82.0,4.4,8.4,0.0,12.8,2023,ahmed abdelrahman
UZB,2022 51st FIG Artistic Gymnastics World Championships,qual,HB,39.0,4.6,8.666,0.0,13.266,2022,rasuljon abdurakhimov
UZB,2022 9th Senior Artistic Gymnastics Asian Championships,qual,HB,27.0,4.3,8.133,0.0,12.433,2022,rasuljon abdurakhimov
UZB,2022 Baku World Cup,qual,HB,13.0,4.8,8.466,0.0,13.266,2022,rasuljon abdurakhimov
UZB,2022 Cairo World Cup,qual,HB,17.0,4.2,7.633,0.0,11.833,2022,rasuljon abdurakhimov
UZB,2023 10th Senior Artistic Gymnastics Asian Championships,final,HB,5.0,4.9,8.3,0.0,13.2,2023,rasuljon abdurakhimov
UZB,2023 10th Senior Artistic Gymnastics Asian Championships,qual,HB,7.0,4.6,9.066,0.0,13.666,2023,rasuljon abdurakhimov
UZB,2023 52nd FIG Artistic Gymnastics World Championships,qual,HB,44.0,4.6,8.666,0.0,13.266,2023,rasuljon abdurakhimov
UZB,2023 Baku World Cup,qual,HB,27.0,4.5,8.033,0.0,12.533,2023,rasuljon abdurakhimov
UZB,2023 Varna World Challenge Cup,final,HB,8.0,4.3,8.0,0.0,12.3,2023,rasuljon abdurakhimov
UZB,2023 Varna World Challenge Cup,qual,HB,5.0,4.6,8.75,0.0,13.35,2023,rasuljon abdurakhimov
GEO,2022 Senior European Championships,qual,HB,101.0,3.8,7.266,0.0,11.066,2022,saba abesadze
INA,2023 Doha World Cup,qual,HB,26.0,4.9,6.733,0.0,11.633,2023,. abiyurafi
CRC,2023 Central American and Caribbean Games,AAfinal,HB,10.0,4.2,7.95,0.0,12.15,2023,francisco acuna
CRC,2023 Central American and Caribbean Games,final,HB,7.0,4.2,7.65,0.0,11.85,2023,francisco acuna
CRC,2023 Central American and Caribbean Games,qual,HB,8.0,4.2,8.0,0.0,12.2,2023,francisco acuna
CAY,BIRMINGHAM 2022 Commonwealth Games,qual,HB,34.0,2.8,7.35,0.0,10.15,2022,karthik adapa
EGY,2022 51st FIG Artistic Gymnastics World Championships,qual,HB,77.0,4.6,8.033,0.0,12.633,2022,mohamed afify
EGY,2023 52nd FIG Artistic Gymnastics World Championships,qual,HB,96.0,4.8,7.7,0.0,12.5,2023,mohamed afify
EGY,2023 Baku World Cup,qual,HB,35.0,4.2,7.266,0.0,11.466,2023,mohamed afify
ARG,SANTIAGO 2023 XIX Pan American Games,qual,HB,31.0,4.1,8.3,0.0,12.4,2023,santiago agostinelli
USA,2022 U.S. Classic,AAfinal,HB,26.0,4.7,7.4,0.0,12.1,2022,justin ah chow
BAN,BIRMINGHAM 2022 Commonwealth Games,qual,HB,35.0,1.8,5.15,4.0,2.95,2022,shishir ahmed
MAS,2023 10th Senior Artistic Gymnastics Asian Championships,qual,HB,55.0,3.6,6.933,0.0,10.533,2023,muhammad sharul aimy
KAZ,2022 51st FIG Artistic Gymnastics World Championships,qual,HB,119.0,4.8,6.866,0.0,11.666,2022,emil akhmejanov
KAZ,2022 Mersin World Challenge Cup,qual,HB,19.0,4.5,6.8,0.0,11.3,2022,emil akhmejanov
KAZ,2023 Osijek World Challenge Cup,qual,HB,29.0,4.6,4.4,0.0,9.0,2023,emil akhmejanov
KAZ,2023 Varna World Challenge Cup,qual,HB,16.0,4.8,7.65,0.0,12.45,2023,emil akhmejanov
PER,SANTIAGO 2023 XIX Pan American Games,AAfinal,HB,18.0,4.7,7.7,0.0,12.4,2023,daniel alarcon
PER,SANTIAGO 2023 XIX Pan American Games,qual,HB,30.0,4.7,7.733,0.0,12.433,2023,daniel alarcon
BUL,2022 51st FIG Artistic Gymnastics World Championships,qual,HB,63.0,5.2,7.766,0.0,12.966,2022,yordan aleksandrov
BUL,2022 Mersin World Challenge Cup,final,HB,3.0,5.2,8.5,0.0,13.7,2022,yordan aleksandrov
BUL,2022 Mersin World Challenge Cup,qual,HB,3.0,5.0,8.3,0.0,13.3,2022,yordan aleksandrov
BUL,2022 Osijek World Challenge Cup,qual,HB,16.0,5.2,7.55,0.0,12.75,2022,yordan aleksandrov
BUL,2022 Senior European Championships,qual,HB,17.0,5.2,8.433,0.0,13.633,2022,yordan aleksandrov
BUL,2022 Szombathely World Challenge Cup,qual,HB,6.0,5.2,8.15,0.0,13.35,2022,yordan aleksandrov
BUL,2022 Szombathely World Challenge Cup,final,HB,3.0,5.2,8.3,0.0,13.5,2022,yordan aleksandrov
BUL,2022 Varna World Challenge Cup,qual,HB,16.0,5.3,7.7,0.0,13.0,2022,yordan aleksandrov
BUL,2023 52nd FIG Artistic Gymnastics World Championships,qual,HB,100.0,5.1,7.366,0.0,12.466,2023,yordan aleksandrov
BUL,2023 Osijek World Challenge Cup,qual,HB,11.0,5.3,7.45,0.0,12.75,2023,yordan aleksandrov
BUL,2023 Senior European Championships,qual,HB,46.0,5.1,7.766,0.0,12.866,2023,yordan aleksandrov
BUL,2023 Varna World Challenge Cup,final,HB,2.0,5.3,8.433,0.0,13.733,2023,yordan aleksandrov
BUL,2023 Varna World Challenge Cup,qual,HB,1.0,5.3,8.45,0.0,13.75,2023,yordan aleksandrov
