Country,Competition,Round,Apparatus,Rank,D_Score,E_Score,Penalty,Score,year,name
NOR,2022 Cottbus World Cup,qual,PH,33.0,4.2,6.666,0.0,10.866,2022,fredrik aas
NOR,2022 Cottbus World Cup,qual,PH,33.0,4.2,6.666,0.0,10.866,2022,fredrik aas
NOR,2023 Cottbus World Cup,qual,PH,44.0,4.4,7.8,0.0,12.2,2023,fredrik aas
NOR,2023 FISU World University Games,qual,PH,58.0,4.4,7.266,0.0,11.666,2023,fredrik aas
ESP,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,PH,21.0,5.1,6.166,0.0,11.266,2022,nestor abad
ESP,2022 51st FIG Artistic Gymnastics World Championships,qual,PH,55.0,5.2,7.566,0.0,12.766,2022,nestor abad
ESP,2022 Senior European Championships,qual,PH,105.0,5.0,5.5,0.0,10.5,2022,nestor abad
ESP,2023 52nd FIG Artistic Gymnastics World Championships,qual,PH,58.0,5.0,8.1,0.0,13.1,2023,nestor abad
ESP,2023 Senior European Championships,AAfinal,PH,12.0,4.7,8.3,0.0,13.0,2023,nestor abad
ESP,2023 Senior European Championships,qual,PH,28.0,5.0,8.233,0.0,13.233,2023,nestor abad
ESP,2023 Tel Aviv World Challenge Cup,qual,PH,11.0,5.0,7.0,0.0,12.0,2023,nestor abad
ITA,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,PH,7.0,5.5,8.166,0.0,13.666,2022,yumin abbadini
ITA,2022 51st FIG Artistic Gymnastics World Championships,qual,PH,15.0,5.5,8.466,0.0,13.966,2022,yumin abbadini
ITA,2022 Senior European Championships,qual,PH,61.0,5.0,7.533,0.0,12.533,2022,yumin abbadini
ITA,2022 Senior European Championships,TeamFinal,PH,5.0,5.5,8.333,0.0,13.833,2022,yumin abbadini
ITA,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,PH,4.0,5.5,8.3,0.0,13.8,2023,yumin abbadini
ITA,2023 52nd FIG Artistic Gymnastics World Championships,qual,PH,40.0,5.8,7.7,0.0,13.5,2023,yumin abbadini
ITA,2023 Baku World Cup,qual,PH,15.0,6.4,7.033,0.0,13.433,2023,yumin abbadini
ITA,2023 Senior European Championships,AAfinal,PH,1.0,5.7,8.4,0.0,14.1,2023,yumin abbadini
ITA,2023 Senior European Championships,final,PH,6.0,5.7,8.466,0.0,14.166,2023,yumin abbadini
ITA,2023 Senior European Championships,qual,PH,6.0,5.7,8.566,0.0,14.266,2023,yumin abbadini
EGY,2022 51st FIG Artistic Gymnastics World Championships,qual,PH,55.0,5.2,7.566,0.0,12.766,2022,abdelrahman abdelhaleem
EGY,2022 Cairo World Cup,qual,PH,25.0,5.4,6.766,0.0,12.166,2022,abdelrahman abdelhaleem
EGY,2022 Paris World Challenge Cup,qual,PH,27.0,5.7,7.0,0.0,12.7,2022,abdelrahman abdelhaleem
EGY,2023 Baku World Cup,qual,PH,21.0,5.8,7.266,0.0,13.066,2023,abdelrahman abdelhaleem
EGY,2023 Cairo World Cup,qual,PH,9.0,5.6,8.5,0.0,14.1,2023,abdelrahman abdelhaleem
EGY,2022 51st FIG Artistic Gymnastics World Championships,qual,PH,37.0,4.9,8.266,0.0,13.166,2022,ahmed abdelrahman
EGY,2022 Paris World Challenge Cup,qual,PH,21.0,4.9,8.05,0.0,12.95,2022,ahmed abdelrahman
