Country,Competition,Round,Apparatus,Rank,D_Score,E_Score,Penalty,Score,year,name
NOR,2023 FISU World University Games,qual,SR,73.0,3.5,8.366,0.0,11.866,2023,fredrik aas
ESP,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,SR,12.0,5.3,7.933,0.0,13.233,2022,nestor abad
ESP,2022 51st FIG Artistic Gymnastics World Championships,qual,SR,90.0,4.9,7.666,0.0,12.566,2022,nestor abad
ESP,2022 Senior European Championships,qual,SR,23.0,5.3,8.366,0.0,13.666,2022,nestor abad
ESP,2022 Senior European Championships,TeamFinal,SR,6.0,5.3,8.333,0.0,13.633,2022,nestor abad
ESP,2023 52nd FIG Artistic Gymnastics World Championships,qual,SR,33.0,5.3,8.3,0.0,13.6,2023,nestor abad
ESP,2023 Senior European Championships,qual,SR,17.0,5.3,8.466,0.0,13.766,2023,nestor abad
ESP,2023 Senior European Championships,AAfinal,SR,4.0,5.3,8.366,0.0,13.666,2023,nestor abad
ESP,2023 Tel Aviv World Challenge Cup,qual,SR,2.0,5.7,8.35,0.0,14.05,2023,nestor abad
ESP,2023 Tel Aviv World Challenge Cup,final,SR,2.0,5.7,8.3,0.0,14.0,2023,nestor abad
ITA,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,SR,13.0,4.7,8.466,0.0,13.166,2022,yumin abbadini
ITA,2022 51st FIG Artistic Gymnastics World Championships,qual,SR,60.0,4.7,8.3,0.0,13.0,2022,yumin abbadini
ITA,2022 Senior European Championships,TeamFinal,SR,13.0,5.0,8.366,0.0,13.366,2022,yumin abbadini
ITA,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,SR,10.0,4.7,8.6,0.0,13.3,2023,yumin abbadini
ITA,2023 52nd FIG Artistic Gymnastics World Championships,qual,SR,41.0,4.7,8.8,0.0,13.5,2023,yumin abbadini
ITA,2023 Senior European Championships,qual,SR,26.0,4.7,8.8,0.0,13.5,2023,yumin abbadini
ITA,2023 Senior European Championships,AAfinal,SR,10.0,4.7,8.566,0.0,13.266,2023,yumin abbadini
MAS,2023 10th Senior Artistic Gymnastics Asian Championships,qual,SR,14.0,5.2,8.166,0.0,13.366,2023,ally hamuda abdullah
MAS,2023 Cottbus World Cup,qual,SR,46.0,4.8,5.133,0.0,9.933,2023,ally hamuda abdullah
UZB,2022 9th Senior Artistic Gymnastics Asian Championships,qual,SR,26.0,4.1,8.467,0.0,12.567,2022,rasuljon abdurakhimov
UZB,2023 Varna World Challenge Cup,qual,SR,16.0,4.1,8.4,0.0,12.5,2023,rasuljon abdurakhimov
GEO,2022 Baku World Cup,qual,SR,14.0,4.7,8.233,0.0,12.933,2022,saba abesadze
GEO,2022 Doha World Cup,qual,SR,8.0,5.0,8.066,0.0,13.1,2022,saba abesadze
GEO,2022 Doha World Cup,final,SR,8.0,4.7,7.533,0.0,12.233,2022,saba abesadze
GEO,2022 Senior European Championships,qual,SR,55.0,4.7,8.333,0.0,13.033,2022,saba abesadze
CRC,2023 Central American and Caribbean Games,AAfinal,SR,10.0,4.0,7.8,0.0,11.8,2023,francisco acuna
CRC,2023 Central American and Caribbean Games,qual,SR,20.0,4.0,7.7,0.0,11.7,2023,francisco acuna
CAY,BIRMINGHAM 2022 Commonwealth Games,qual,SR,33.0,3.2,7.1,0.3,10.0,2022,karthik adapa
EGY,2022 51st FIG Artistic Gymnastics World Championships,qual,SR,62.0,4.9,8.066,0.0,12.966,2022,mohamed afify
EGY,2023 52nd FIG Artistic Gymnastics World Championships,qual,SR,95.0,5.1,7.6,0.0,12.7,2023,mohamed afify
EGY,2023 Baku World Cup,qual,SR,26.0,4.9,7.9,0.0,12.8,2023,mohamed afify
PAK,BIRMINGHAM 2022 Commonwealth Games,qual,SR,35.0,2.7,5.85,4.3,4.25,2022,muhammad afzal
ARG,SANTIAGO 2023 XIX Pan American Games,qual,SR,15.0,4.7,8.3,0.0,13.0,2023,santiago agostinelli
IRI,2023 Baku World Cup,final,SR,2.0,6.0,8.5,0.0,14.5,2023,mahdi ahmad kohani
IRI,2023 Baku World Cup,qual,SR,2.0,6.0,8.5,0.0,14.5,2023,mahdi ahmad kohani
IRI,2023 Cottbus World Cup,final,SR,2.0,6.0,8.766,0.0,14.766,2023,mahdi ahmad kohani
IRI,2023 Cottbus World Cup,qual,SR,2.0,6.0,8.666,0.0,14.666,2023,mahdi ahmad kohani
IRI,2023 Doha World Cup,final,SR,6.0,6.0,8.6,0.0,14.6,2023,mahdi ahmad kohani
IRI,2023 Doha World Cup,qual,SR,5.0,6.0,8.666,0.0,14.666,2023,mahdi ahmad kohani
IRI,2023 FISU World University Games,final,SR,8.0,6.0,7.766,0.0,13.766,2023,mahdi ahmad kohani
IRI,2023 FISU World University Games,qual,SR,6.0,6.0,8.6,0.0,14.6,2023,mahdi ahmad kohani
IRI,HANGZHOU 2022 19th Asian Games,qual,SR,12.0,6.0,7.4,0.0,13.4,2023,mahdi ahmad kohani
BAN,BIRMINGHAM 2022 Commonwealth Games,qual,SR,34.0,2.3,7.6,5.3,4.6,2022,shishir ahmed
MAS,2023 10th Senior Artistic Gymnastics Asian Championships,qual,SR,48.0,4.3,7.033,0.0,11.333,2023,muhammad sharul aimy
KAZ,2022 51st FIG Artistic Gymnastics World Championships,qual,SR,118.0,3.8,7.966,0.0,11.766,2022,emil akhmejanov
KAZ,HANGZHOU 2022 19th Asian Games,qual,SR,27.0,3.8,8.4,0.0,12.2,2023,emil akhmejanov
PER,SANTIAGO 2023 XIX Pan American Games,AAfinal,SR,6.0,5.2,7.966,0.0,13.166,2023,daniel alarcon
PER,SANTIAGO 2023 XIX Pan American Games,qual,SR,27.0,5.2,7.366,0.0,12.566,2023,daniel alarcon
BUL,2022 51st FIG Artistic Gymnastics World Championships,qual,SR,67.0,4.8,8.066,0.0,12.866,2022,yordan aleksandrov
BUL,2022 Senior European Championships,qual,SR,44.0,4.8,8.366,0.0,13.166,2022,yordan aleksandrov
BUL,2023 52nd FIG Artistic Gymnastics World Championships,qual,SR,90.0,4.5,8.3,0.0,12.8,2023,yordan aleksandrov
BUL,2023 Senior European Championships,qual,SR,91.0,4.6,8.033,0.0,12.633,2023,yordan aleksandrov
USA,2023 Core Hydration Classic,AAfinal,SR,72.0,4.0,6.5,0.0,10.5,2023,saran alexander
USA,2022 U.S. Classic,AAfinal,SR,12.0,5.4,7.9,0.0,13.3,2022,javier alfonso
USA,2023 Core Hydration Classic,AAfinal,SR,3.0,5.6,8.6,0.0,14.2,2023,javier alfonso
USA,2023 Winter Cup,AAfinal,SR,3.0,5.6,8.55,0.0,14.15,2023,javier alfonso
TTO,SANTIAGO 2023 XIX Pan American Games,qual,SR,34.0,4.5,7.8,0.0,12.3,2023,jameel ali
POR,2022 Senior European Championships,qual,SR,109.0,3.2,6.333,0.3,9.233,2022,filipe almeida
MGL,2023 10th Senior Artistic Gymnastics Asian Championships,qual,SR,34.0,3.9,8.433,0.0,12.333,2023,enkhtulga altansukh
CHI,SANTIAGO 2023 XIX Pan American Games,qual,SR,19.0,5.4,7.4,0.0,12.8,2023,joaquin alvarez
CHI,2022 51st FIG Artistic Gymnastics World Championships,qual,SR,97.0,4.5,7.866,0.0,12.366,2022,joel alvarez
CHI,2023 52nd FIG Artistic Gymnastics World Championships,qual,SR,131.0,4.1,7.5,0.0,11.6,2023,joel alvarez
CHI,SANTIAGO 2023 XIX Pan American Games,AAfinal,SR,4.0,4.9,8.366,0.0,13.266,2023,joel alvarez
CHI,SANTIAGO 2023 XIX Pan American Games,qual,SR,11.0,4.9,8.266,0.0,13.166,2023,joel alvarez
NOR,2022 Senior European Championships,qual,SR,66.0,4.3,8.566,0.0,12.866,2022,joar amblie
SRI,HANGZHOU 2022 19th Asian Games,qual,SR,35.0,4.1,7.066,0.3,10.866,2023,nadila nethviru ambul deniyage don
SRI,HANGZHOU 2022 19th Asian Games,AAfinal,SR,18.0,3.9,6.733,0.3,10.333,2023,nadila nethviru ambul deniyage don
