name,Rank,D_Score,E_Score,Penalty,Score,Apparatus
brody malone,2.2,6.05,8.3532,0.0,14.403200000000002,hb
paul juda,3.8,5.36,8.6664,0.0,14.0264,hb
frederick nathaniel richard,24.166666666666668,5.833333333333333,7.760999999999999,0.049999999999999996,13.544333333333334,hb
fred richard,11.333333333333334,5.733333333333333,7.783333333333332,0.0,13.516666666666666,hb
michael jaroh,6.0,5.1499999999999995,8.35,0.0,13.5,hb
joshua andrew karnes,11.5,5.4,8.082999999999998,0.0,13.483,hb
curran phillips,6.333333333333333,5.6000000000000005,7.866499999999999,0.0,13.466499999999998,hb
ian gunther,9.666666666666666,4.8999999999999995,8.450000000000001,0.0,13.35,hb
shane wiskus,8.25,5.725,7.5625,0.0,13.2875,hb
cameron bock,8.666666666666666,5.116666666666666,8.163666666666666,0.0,13.280333333333333,hb
vahe petrosyan,12.5,4.7,8.508,0.0,13.208,hb
fuzzy benas,13.0,5.2,7.975,0.0,13.175,hb
colt walker,21.0,5.3500000000000005,7.755333333333333,0.0,13.105333333333334,hb
taylor troy christopulos,9.0,5.2,7.8995,0.0,13.099499999999999,hb
toby liang,16.0,4.65,8.425,0.0,13.075,hb
ian lasic-ellis,9.5,5.166666666666667,7.902666666666666,0.0,13.069333333333333,hb
drake andrews,16.0,4.2,8.8,0.0,13.0,hb
evan hymanson,14.25,4.975,8.0,0.0,12.975,hb
taylor burkhart,12.833333333333334,5.466666666666666,7.483333333333333,0.0,12.950000000000001,hb
donnell whittenburg,27.142857142857142,5.242857142857143,7.661714285714287,0.0,12.904571428571428,hb
joshua karnes,8.5,5.35,7.525,0.0,12.875,hb
khoi young,42.0,4.675,8.13325,0.0,12.808250000000001,hb
landen blixt,21.0,4.449999999999999,8.35,0.0,12.8,hb
riley loos,18.4,5.26,7.4932,0.0,12.7532,hb
isaiah drake,14.5,4.75,7.9625,0.0,12.7125,hb
matt cormier,20.25,5.225,7.4625,0.0,12.6875,hb
jeremy bischoff,19.75,5.3,7.2625,0.0,12.5625,hb
noah newfeld,18.0,4.25,8.275,0.0,12.525,hb
jack freeman,20.0,5.333333333333333,7.05,0.0,12.383333333333333,hb
caleb melton,20.5,4.3,8.05,0.0,12.35,hb
taylor christopulos,17.5,4.75,7.55,0.0,12.3,hb
yul moldauer,28.25,5.3,6.8999999999999995,0.0,12.2,hb
asher hong,37.25,5.175,6.897875,0.0,12.072875,hb
kameron nelson,28.0,4.633333333333333,7.416666666666667,0.0,12.049999999999999,hb
michael artlip,27.0,4.875,6.949999999999999,0.0,11.825,hb
