Name,BB,FX,UB,VT
addison fatta,11.929,0.0,0.0,0.0
alicia zhou,12.475,0.0,0.0,0.0
amari drayton,9.65,0.0,0.0,0.0
amelia disidore,11.9,0.0,0.0,0.0
annalisa milton,11.6,0.0,0.0,0.0
ashlee sullivan,13.225,0.0,0.0,0.0
avery king,11.55,0.0,0.0,0.0
avery moll,11.6,0.0,0.0,0.0
brooke pierson,10.883333333333333,0.0,0.0,0.0
brynn torry,9.2,0.0,0.0,0.0
charlotte booth,11.483333333333334,0.0,0.0,0.0
chloe cho,9.95,0.0,0.0,0.0
christiane popovich,10.6,0.0,0.0,0.0
ciena alipio,12.25,0.0,0.0,0.0
dulcy caylor,12.325,0.0,0.0,0.0
ella murphy,10.8,0.0,0.0,0.0
elle mueller,11.700000000000001,0.0,0.0,0.0
emjae frazier,13.7,0.0,0.0,0.0
eveylynn lowe,12.2,0.0,0.0,0.0
gabriella van frayen,11.3,0.0,0.0,0.0
jade carey,12.921999999999999,0.0,0.0,0.0
jordan chiles,12.658,0.0,0.0,0.0
jordis eichman,12.95,0.0,0.0,0.0
joscelyn roberson,13.261000000000001,0.0,0.0,0.0
kaliya lincoln,12.587250000000001,0.0,0.0,0.0
karis german,12.65,0.0,0.0,0.0
katelyn jong,12.166666666666666,0.0,0.0,0.0
katelyn rosen,12.100000000000001,0.0,0.0,0.0
kayla dicello,13.3165,0.0,0.0,0.0
kaylen morgan,12.7,0.0,0.0,0.0
kelise woolford,12.15,0.0,0.0,0.0
konnor mcclain,14.6,0.0,0.0,0.0
lauren little,12.4,0.0,0.0,0.0
leanne wong,13.033,0.0,0.0,0.0
leigh anne elliott,9.7,0.0,0.0,0.0
levi jung-ruivivar,11.4415,0.0,0.0,0.0
lexi zeiss,12.225,0.0,0.0,0.0
madray johnson,11.0,0.0,0.0,0.0
malea milton,10.2,0.0,0.0,0.0
marissa neal,12.35,0.0,0.0,0.0
michelle pineda,12.375,0.0,0.0,0.0
nola matthews,13.0625,0.0,0.0,0.0
norah christian,10.45,0.0,0.0,0.0
paityn walker,11.7,0.0,0.0,0.0
shilese jones,13.466399999999998,0.0,0.0,0.0
simone biles,14.649750000000001,0.0,0.0,0.0
skye blakely,13.349833333333335,0.0,0.0,0.0
skylar draser,12.15,0.0,0.0,0.0
sunisa lee,14.5,0.0,0.0,0.0
sydney barros,13.1,0.0,0.0,0.0
tiana sumanasekera,13.055333333333332,0.0,0.0,0.0
zoe miller,12.2125,0.0,0.0,0.0
addison fatta,0.0,0.0,13.3125,0.0
adriana consoli,0.0,0.0,10.75,0.0
alicia zhou,0.0,0.0,13.3,0.0
amari drayton,0.0,0.0,11.85,0.0
amelia disidore,0.0,0.0,11.433333333333332,0.0
annalisa milton,0.0,0.0,10.675,0.0
ashlee sullivan,0.0,0.0,12.583333333333334,0.0
avery king,0.0,0.0,11.45,0.0
avery moll,0.0,0.0,12.25,0.0
brooke pierson,0.0,0.0,12.616666666666667,0.0
brynn torry,0.0,0.0,13.1,0.0
charlotte booth,0.0,0.0,13.35,0.0
chloe cho,0.0,0.0,11.475,0.0
christiane popovich,0.0,0.0,12.05,0.0
ciena alipio,0.0,0.0,12.9,0.0
dulcy caylor,0.0,0.0,13.125,0.0
