Name,Country,Gender,Date,Competition,Round,Apparatus,Rank,D_Score,E_Score,Penalty,Score
Jana ABDELSALAM,EGY,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,BB,100.0,4.8,6.2,0.0,11.0
Jana ABDELSALAM,EGY,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,FX,109.0,4.4,7.466,0.1,11.766
Jana ABDELSALAM,EGY,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,UB,52.0,4.8,8.0,0.0,12.8
Jana ABDELSALAM,EGY,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,VT1,110.0,4.2,8.433,0.3,12.333
Jana ABDELSALAM,EGY,w,2022-03-20,2022 Cairo World Cup,qual,BB,14.0,4.8,5.966,0.0,10.766
Jana ABDELSALAM,EGY,w,2022-03-20,2022 Cairo World Cup,final,UB,6.0,4.6,6.266,0.0,10.866
Jana ABDELSALAM,EGY,w,2022-03-20,2022 Cairo World Cup,qual,UB,7.0,4.6,6.633,0.0,11.233
Jana ABDELSALAM,EGY,w,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,BB,144.0,4.8,5.866,0.0,10.666
Jana ABDELSALAM,EGY,w,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,FX,131.0,4.5,7.2,0.3,11.4
Jana ABDELSALAM,EGY,w,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,UB,152.0,3.8,4.433,0.0,8.233
Jana ABDELSALAM,EGY,w,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,VT1,131.0,4.2,8.5,0.3,12.4
Jana ABDELSALAM,EGY,w,2023-03-12,2023 Baku World Cup,qual,BB,22.0,4.8,6.733,0.0,11.533
Jana ABDELSALAM,EGY,w,2023-03-12,2023 Baku World Cup,qual,FX,22.0,4.5,7.366,0.0,11.866
Jana ABDELSALAM,EGY,w,2023-04-30,2023 Cairo World Cup,final,BB,8.0,4.8,6.566,0.0,11.366
Jana ABDELSALAM,EGY,w,2023-04-30,2023 Cairo World Cup,qual,BB,9.0,4.7,7.466,0.0,12.166
Jana ABDELSALAM,EGY,w,2023-04-30,2023 Cairo World Cup,qual,UB,29.0,4.5,6.266,0.0,10.766
Jana ABDELSALAM,EGY,w,2023-03-04,2023 Doha World Cup,final,BB,4.0,5.0,8.0,0.0,13.0
Jana ABDELSALAM,EGY,w,2023-03-04,2023 Doha World Cup,qual,BB,6.0,5.0,7.933,0.0,12.933
