Name,Country,Gender,Date,Competition,Round,Apparatus,Rank,D_Score,E_Score,Penalty,Score
Jana ABDELSALAM,EGY,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,UB,52.0,4.8,8.0,0.0,12.8
Jana ABDELSALAM,EGY,w,2022-03-20,2022 Cairo World Cup,final,UB,6.0,4.6,6.266,0.0,10.866
Jana ABDELSALAM,EGY,w,2022-03-20,2022 Cairo World Cup,qual,UB,7.0,4.6,6.633,0.0,11.233
Jana ABDELSALAM,EGY,w,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,UB,152.0,3.8,4.433,0.0,8.233
Jana ABDELSALAM,EGY,w,2023-04-30,2023 Cairo World Cup,qual,UB,29.0,4.5,6.266,0.0,10.766
Jana ABDELSALAM,EGY,w,2023-03-04,2023 Doha World Cup,qual,UB,21.0,3.8,5.533,0.0,9.333
Ayesha ABDULLAHI,GBR,w,2022-03-27,2022 British Gymnastics Championships,qual,UB,45.0,3.5,6.7,0.0,10.2
Kumudi Imanya ABEYRATNE,SRI,w,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,qual,UB,39.0,1.2,4.3,0.0,5.5
Jana ABOELHASAN,EGY,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,UB,113.0,4.4,6.5,0.0,10.9
Ondine ACHAMPONG,GBR,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,UB,51.0,5.8,7.033,0.0,12.833
Ondine ACHAMPONG,GBR,w,2022-03-27,2022 British Gymnastics Championships,final,UB,5.0,5.6,7.3,0.0,12.9
Ondine ACHAMPONG,GBR,w,2022-03-27,2022 British Gymnastics Championships,qual,UB,7.0,5.6,7.5,0.0,13.1
Ondine ACHAMPONG,GBR,w,2022-08-14,2022 Senior European Championships,qual,UB,43.0,5.8,6.433,0.0,12.233
Ondine ACHAMPONG,GBR,w,2022-08-14,2022 Senior European Championships,TeamFinal,UB,24.0,5.6,6.833,0.0,12.433
