Country,Competition,Round,Apparatus,Rank,D_Score,E_Score,Penalty,Score,year,name
NOR,2023 FISU World University Games,qual,VT1,69.0,4.0,8.966,0.0,12.966,2023,fredrik aas
ESP,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,VT,20.0,4.8,9.033,0.1,13.733,2022,nestor abad
ESP,2022 51st FIG Artistic Gymnastics World Championships,qual,VT1,97.0,4.8,9.0,0.3,13.5,2022,nestor abad
ESP,2022 Senior European Championships,qual,VT1,36.0,5.2,9.2,0.3,14.1,2022,nestor abad
ESP,2023 52nd FIG Artistic Gymnastics World Championships,qual,VT1,126.0,5.2,8.0,0.0,13.2,2023,nestor abad
ESP,2023 Senior European Championships,AAfinal,VT1,22.0,5.2,7.9,0.1,13.0,2023,nestor abad
ESP,2023 Senior European Championships,qual,VT1,69.0,4.8,9.0,0.1,13.7,2023,nestor abad
ITA,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,VT,18.0,4.8,9.066,0.0,13.866,2022,yumin abbadini
ITA,2022 51st FIG Artistic Gymnastics World Championships,qual,VT1,84.0,4.8,8.9,0.1,13.6,2022,yumin abbadini
ITA,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,VT,18.0,4.8,9.1,0.0,13.9,2023,yumin abbadini
ITA,2023 52nd FIG Artistic Gymnastics World Championships,qual,VT1,80.0,4.8,9.166,0.0,13.966,2023,yumin abbadini
ITA,2023 Senior European Championships,AAfinal,VT1,18.0,4.8,8.866,0.1,13.566,2023,yumin abbadini
ITA,2023 Senior European Championships,qual,VT1,64.0,4.8,8.933,0.0,13.733,2023,yumin abbadini
EGY,2022 51st FIG Artistic Gymnastics World Championships,qual,VT1,50.0,5.2,8.766,0.0,13.966,2022,ahmed abdelrahman
EGY,2023 52nd FIG Artistic Gymnastics World Championships,qual,VT1,59.0,5.2,8.933,0.0,14.133,2023,ahmed abdelrahman
EGY,2023 Cairo World Cup,qual,VT1,17.0,5.6,7.833,0.0,13.433,2023,ahmed abdelrahman
EGY,2023 Cairo World Cup,qual,VT2,17.0,5.2,7.9,0.0,13.1,2023,ahmed abdelrahman
GEO,2022 Senior European Championships,qual,VT1,96.0,5.2,7.966,0.3,12.866,2022,saba abesadze
CRC,2023 Central American and Caribbean Games,AAfinal,VT1,14.0,4.0,9.0,0.0,13.0,2023,francisco acuna
CRC,2023 Central American and Caribbean Games,qual,VT1,22.0,4.0,8.9,0.0,12.9,2023,francisco acuna
EGY,2022 51st FIG Artistic Gymnastics World Championships,qual,VT1,79.0,4.8,8.966,0.1,13.666,2022,mohamed afify
EGY,2023 52nd FIG Artistic Gymnastics World Championships,qual,VT1,99.0,4.8,9.066,0.1,13.766,2023,mohamed afify
PAK,BIRMINGHAM 2022 Commonwealth Games,qual,VT2,18.0,2.4,7.8,0.0,10.2,2022,muhammad afzal
BAN,BIRMINGHAM 2022 Commonwealth Games,qual,VT2,17.0,2.4,8.95,0.0,11.35,2022,shishir ahmed
MAS,2022 Baku World Cup,qual,VT1,10.0,5.2,8.866,0.0,14.066,2022,muhammad sharul aimy
MAS,2022 Baku World Cup,qual,VT2,10.0,5.2,8.8,0.1,13.9,2022,muhammad sharul aimy
MAS,2022 Cairo World Cup,final,VT1,7.0,5.2,9.266,0.0,14.466,2022,muhammad sharul aimy
MAS,2022 Cairo World Cup,qual,VT1,8.0,5.2,8.966,0.0,14.166,2022,muhammad sharul aimy
MAS,2022 Cairo World Cup,final,VT2,7.0,5.2,7.833,0.3,12.733,2022,muhammad sharul aimy
MAS,2022 Cairo World Cup,qual,VT2,8.0,5.2,7.633,0.1,12.733,2022,muhammad sharul aimy
MAS,2023 10th Senior Artistic Gymnastics Asian Championships,qual,VT1,4.0,5.2,9.0,0.0,14.2,2023,muhammad sharul aimy
MAS,2023 10th Senior Artistic Gymnastics Asian Championships,final,VT1,6.0,5.2,7.833,0.1,12.933,2023,muhammad sharul aimy
MAS,2023 10th Senior Artistic Gymnastics Asian Championships,qual,VT2,4.0,5.2,9.366,0.0,14.566,2023,muhammad sharul aimy
MAS,2023 10th Senior Artistic Gymnastics Asian Championships,final,VT2,6.0,5.2,9.1,0.0,14.3,2023,muhammad sharul aimy
MAS,2023 Cottbus World Cup,qual,VT1,18.0,5.2,8.9,0.0,14.1,2023,muhammad sharul aimy
MAS,2023 Cottbus World Cup,qual,VT2,18.0,5.2,8.2,0.0,13.4,2023,muhammad sharul aimy
MAS,BIRMINGHAM 2022 Commonwealth Games,final,VT2,7.0,5.2,8.433,0.1,13.533,2022,muhammad sharul aimy
MAS,BIRMINGHAM 2022 Commonwealth Games,qual,VT2,7.0,5.2,8.7,0.0,13.9,2022,muhammad sharul aimy
KAZ,2022 51st FIG Artistic Gymnastics World Championships,qual,VT1,112.0,5.2,8.0,0.1,13.1,2022,emil akhmejanov
KAZ,2022 Mersin World Challenge Cup,final,VT1,5.0,5.2,9.15,0.0,14.35,2022,emil akhmejanov
KAZ,2022 Mersin World Challenge Cup,qual,VT1,8.0,5.2,9.25,0.0,14.45,2022,emil akhmejanov
KAZ,2022 Mersin World Challenge Cup,final,VT2,5.0,5.2,7.85,0.0,13.05,2022,emil akhmejanov
KAZ,2022 Mersin World Challenge Cup,qual,VT2,8.0,5.2,8.0,0.1,13.1,2022,emil akhmejanov
KAZ,2023 Osijek World Challenge Cup,final,VT1,3.0,5.2,8.966,0.0,14.166,2023,emil akhmejanov
KAZ,2023 Osijek World Challenge Cup,qual,VT1,5.0,5.2,8.75,0.0,13.95,2023,emil akhmejanov
KAZ,2023 Osijek World Challenge Cup,qual,VT2,5.0,5.2,9.0,0.0,14.2,2023,emil akhmejanov
KAZ,2023 Osijek World Challenge Cup,final,VT2,3.0,5.2,9.2,0.0,14.4,2023,emil akhmejanov
KAZ,2023 Varna World Challenge Cup,final,VT1,5.0,5.2,7.933,0.1,13.033,2023,emil akhmejanov
KAZ,2023 Varna World Challenge Cup,qual,VT1,4.0,5.2,9.1,0.1,14.2,2023,emil akhmejanov
KAZ,2023 Varna World Challenge Cup,final,VT2,5.0,5.2,8.966,0.0,14.166,2023,emil akhmejanov
KAZ,2023 Varna World Challenge Cup,qual,VT2,4.0,5.2,8.95,0.0,14.15,2023,emil akhmejanov
PER,SANTIAGO 2023 XIX Pan American Games,AAfinal,VT,20.0,5.2,7.866,0.3,12.766,2023,daniel alarcon
BUL,2022 51st FIG Artistic Gymnastics World Championships,qual,VT1,109.0,4.8,8.5,0.1,13.2,2022,yordan aleksandrov
BUL,2022 Senior European Championships,qual,VT1,59.0,4.8,9.033,0.0,13.833,2022,yordan aleksandrov
BUL,2023 52nd FIG Artistic Gymnastics World Championships,qual,VT1,139.0,4.4,7.633,0.3,11.733,2023,yordan aleksandrov
BUL,2023 Senior European Championships,qual,VT1,71.0,4.8,8.9,0.0,13.7,2023,yordan aleksandrov
USA,2023 Core Hydration Classic,AAfinal,VT,67.0,3.2,9.25,0.0,12.45,2023,saran alexander
USA,2022 U.S. Classic,AAfinal,VT,25.0,4.4,9.05,0.0,13.45,2022,javier alfonso
POR,2022 Senior European Championships,qual,VT1,87.0,5.2,7.966,0.1,13.066,2022,filipe almeida
MGL,2023 10th Senior Artistic Gymnastics Asian Championships,qual,VT1,12.0,4.8,8.7,0.3,13.2,2023,enkhtulga altansukh
MGL,2023 10th Senior Artistic Gymnastics Asian Championships,qual,VT2,12.0,5.2,7.866,0.1,12.966,2023,enkhtulga altansukh
CHI,2022 51st FIG Artistic Gymnastics World Championships,qual,VT1,73.0,4.8,8.9,0.0,13.7,2022,joel alvarez
CHI,2023 52nd FIG Artistic Gymnastics World Championships,qual,VT1,105.0,4.8,8.833,0.0,13.633,2023,joel alvarez
