Position,Gymnast,D Score,E Score,Penalty,Total,year
1,Viktoria Komova,6.7,8.8,0.0,15.5,2011
2,Tatiana Nabieva,6.6,8.4,0.0,15.0,2011
3,Huang Qiushuang,6.7,8.133,0.0,14.833,2011
4,Jordyn Wieber,6.3,8.2,0.0,14.5,2011
5,Gabby Douglas,6.3,7.9,0.0,14.2,2011
5,Asuka Teramoto,6.3,7.9,0.0,14.2,2011
7,Koko Tsurumi,6.4,7.666,0.0,14.066,2011
8,Youna Dufournet,6.3,6.341,0.0,12.641,2011
1,Huang Huidan,6.6,8.8,0.0,15.4,2013
2,Kyla Ross,6.4,8.866,0.0,15.266,2013
3,Aliya Mustafina,6.5,8.533,0.0,15.033,2013
4,Simone Biles,6.1,8.616,0.0,14.716,2013
5,Sophie Scheder,6.4,8.283,0.0,14.683,2013
6,Yao Jinnan,6.9,7.733,0.0,14.633,2013
7,Ruby Harrold,6.3,8.033,0.0,14.333,2013
8,Becky Downie,6.4,7.4,0.0,13.8,2013
1,Yao Jinnan,6.9,8.733,0.0,15.633,2014
2,Huang Huidan,6.8,8.766,0.0,15.566,2014
3,Daria Spiridonova,6.4,8.883,0.0,15.283,2014
4,Ashton Locklear,6.5,8.766,0.0,15.266,2014
5,Becky Downie,6.6,8.566,0.0,15.166,2014
6,Aliya Mustafina,6.3,8.8,0.0,15.1,2014
7,Lisa Katharina Hill,6.3,8.033,0.0,14.333,2014
8,Ruby Harrold,6.1,7.566,0.0,13.666,2014
1,Fan Yilin,6.9,8.466,0.0,15.366,2015
1,Viktoria Komova,6.6,8.766,0.0,15.366,2015
1,Daria Spiridonova,6.7,8.666,0.0,15.366,2015
1,Madison Kocian,6.6,8.766,0.0,15.366,2015
5,Gabby Douglas,6.4,8.733,0.0,15.133,2015
6,Shang Chunsong,6.7,8.2,0.0,14.9,2015
7,Ruby Harrold,6.3,8.466,0.0,14.766,2015
8,Sophie Scheder,6.6,8.0,0.0,14.6,2015
1,Fan Yilin,6.5,8.666,0.0,15.166,2017
2,Elena Eremina,6.3,8.8,0.0,15.1,2017
3,Nina Derwael,6.3,8.733,0.0,15.033,2017
4,Anastasia Ilyankova,6.2,8.7,0.0,14.9,2017
5,Elisabeth Seitz,6.1,8.666,0.0,14.766,2017
6,Diana Varinska,6.0,8.583,0.0,14.583,2017
7,Luo Huan,6.2,8.366,0.0,14.566,2017
8,Ashton Locklear,5.4,7.366,0.0,12.766,2017
1,Nina Derwael,6.5,8.7,0.0,15.2,2018
2,Simone Biles,6.2,8.5,0.0,14.7,2018
3,Elisabeth Seitz,6.2,8.4,0.0,14.6,2018
4,Luo Huan,6.0,8.5,0.0,14.5,2018
5,Aliya Mustafina,5.8,8.633,0.0,14.433,2018
6,Morgan Hurd,6.1,8.333,0.0,14.433,2018
7,Becky Downie,6.1,7.233,0.0,13.333,2018
8,Jonna Adlerteg,6.2,6.966,0.0,13.166,2018
1,Nina Derwael,6.5,8.733,0.0,15.233,2019
2,Becky Downie,6.5,8.5,0.0,15.0,2019
3,Sunisa Lee,6.4,8.4,0.0,14.8,2019
4,Angelina Melnikova,6.3,8.433,0.0,14.733,2019
5,Simone Biles,6.2,8.5,0.0,14.7,2019
6,Daria Spiridonova,6.3,8.333,0.0,14.633,2019
7,Liu Tingting,5.9,8.5,0.0,14.4,2019
8,Elisabeth Seitz,6.0,7.566,0.0,13.566,2019
