Rank,Gymnast,vt,ub,bb,fx,Total,year
1,Simone Biles(USA),15.866,14.533,14.766,15.066,60.231,2014
2,Larisa Iordache(ROU),15.066,14.866,15.1,14.733,59.765,2014
3,Kyla Ross(USA),15.166,14.7,14.433,13.933,58.232,2014
4,Aliya Mustafina(RUS),15.1,15.041,14.341,13.433,57.915,2014
5,Yao Jinnan(CHN),14.533,15.533,14.566,12.833,57.465,2014
6,Vanessa Ferrari(ITA),14.866,13.7,13.9,14.7,57.166,2014
7,Alla Sosnitskaya(RUS),14.833,13.933,13.5,13.9,56.166,2014
8,Jessica López(VEN),14.4,14.5,14.133,13.1,56.133,2014
9,Elsabeth Black(CAN),13.9,13.833,14.533,13.866,56.132,2014
10,Claudia Fragapane(GBR),14.6,13.066,14.166,14.266,56.098,2014
11,Ruby Harrold(GBR),14.683,14.4,13.066,13.466,55.615,2014
12,Shang Chunsong(CHN),14.0,12.3,15.033,14.166,55.499,2014
13,Roxana Popa(ESP),14.9,14.3,13.066,13.033,55.299,2014
14,Marta Pihan-Kulesza(POL),13.966,13.691,14.133,13.366,55.156,2014
15,Giulia Steingruber(SUI),15.033,12.633,13.833,13.633,55.132,2014
16,Ana Filipa Martins(POR),13.8,13.966,13.533,13.433,54.732,2014
17,Erika Fasana(ITA),14.5,13.3,13.466,12.733,53.999,2014
18,Asuka Teramoto(JPN),13.766,13.766,12.866,13.466,53.864,2014
19,Ștefania Stănilă(ROU),14.5,12.733,12.7,13.6,53.533,2014
20,Natsumi Sasada(JPN),14.0,13.233,12.7,13.233,53.166,2014
21,Georgia Rose Brown(AUS),14.066,12.3,13.5,12.966,52.832,2014
22,Lisa Katharina Hill(GER),14.033,13.633,11.366,13.166,52.198,2014
23,Elsa García(MEX),13.933,11.266,13.766,13.066,52.031,2014
24,Laura Waem(BEL),13.9,13.8,13.633,10.633,51.966,2014
