Team,country,fx,fx_Rank,ph,ph_Rank,sr,sr_Rank,vt,vt_Rank,pb,pb_Rank,hb,hb_Rank
Chen Yibing,CHN,0.0,0.0,14.733,11.0,15.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Feng Zhe,CHN,14.4,21.0,0.0,0.0,14.533,20.0,16.216,4.0,15.95,1.0,15.0,14.0
Guo Weiyang,CHN,0.0,0.0,14.6,14.0,14.566,19.0,0.0,0.0,15.2,13.0,0.0,0.0
Zhang Chenglong,CHN,14.9,14.0,14.5,16.0,0.0,0.0,16.2,5.0,15.6,2.0,15.666,6.0
Zou Kai,CHN,15.833,1.0,0.0,0.0,0.0,0.0,15.9,12.0,0.0,0.0,16.4,1.0
Ryōhei Katō,JPN,15.3,8.0,14.766,9.0,0.0,0.0,16.041,9.0,0.0,0.0,0.0,0.0
Kazuhito Tanaka,JPN,13.733,24.0,13.433,19.0,0.0,0.0,0.0,0.0,15.366,10.0,15.166,12.0
Yusuke Tanaka,JPN,0.0,0.0,0.0,0.0,15.2,8.0,0.0,0.0,15.5,5.0,16.0,3.0
Kōhei Uchimura,JPN,15.7,2.0,14.1661,18.0,15.133,9.0,15.9,12.0,15.416,8.0,15.733,5.0
Koji Yamamuro,JPN,0.0,0.0,0.0,0.0,15.366,5.0,14.033,24.0,0.0,0.0,0.0,0.0
Sam Oldham,GBR,0.0,0.0,0.0,0.0,14.033,24.0,0.0,0.0,14.966,18.0,14.0,22.0
Daniel Purvis,GBR,15.533,3.0,14.733,11.0,14.6,18.0,15.966,10.0,14.8,19.0,14.633,18.0
Louis Smith,GBR,0.0,0.0,15.966,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kristian Thomas,GBR,15.433,6.0,0.0,0.0,14.433,22.0,16.55,1.0,0.0,0.0,15.2,10.0
Max Whitlock,GBR,15.166,11.0,15.233,3.0,0.0,0.0,15.666,16.0,14.8,19.0,0.0,0.0
Nikolai Kuksenkov,UKR,0.0,0.0,15.1,4.0,15.233,7.0,0.0,0.0,15.2,13.0,15.266,9.0
Vitaliy Nakonechnyi,UKR,14.333,22.0,14.866,7.0,0.0,0.0,0.0,0.0,0.0,0.0,14.266,21.0
Igor Radivilov,UKR,0.0,0.0,0.0,0.0,15.433,4.0,16.066,7.0,0.0,0.0,0.0,0.0
Oleg Stepko,UKR,14.866,16.0,15.0,6.0,15.033,11.0,15.733,15.0,13.933,23.0,0.0,0.0
Oleg Verniaiev,UKR,14.866,16.0,0.0,0.0,0.0,0.0,16.266,3.0,15.6,2.0,14.466,20.0
Jake Dalton,USA,15.466,5.0,0.0,0.0,15.033,11.0,16.066,7.0,0.0,0.0,0.0,0.0
Jonathan Horton,USA,0.0,0.0,0.0,0.0,15.266,7.0,0.0,0.0,0.0,0.0,15.2,10.0
Danell Leyva,USA,15.2,9.0,13.4,20.0,0.0,0.0,0.0,0.0,15.366,10.0,15.866,4.0
Sam Mikulak,USA,14.6,19.0,14.5,16.0,0.0,0.0,15.966,10.0,15.266,12.0,0.0,0.0
John Orozco,USA,0.0,0.0,12.733,23.0,14.958,13.0,14.6,20.0,15.133,15.0,15.333,8.0
Denis Ablyazin,RUS,15.475,4.0,0.0,0.0,15.616,3.0,16.4,2.0,0.0,0.0,0.0,0.0
Aleksandr Balandin,RUS,0.0,0.0,0.0,0.0,15.816,1.0,0.0,0.0,13.466,24.0,0.0,0.0
David Belyavskiy,RUS,14.933,13.0,12.933,22.0,0.0,0.0,16.133,6.0,15.433,7.0,14.833,16.0
Emin Garibov,RUS,0.0,0.0,14.833,8.0,14.7,16.0,0.0,0.0,15.066,17.0,15.6,7.0
Igor Pakhomenko,RUS,14.9,14.0,14.533,15.0,0.0,0.0,14.333,23.0,0.0,0.0,14.6,19.0
Philipp Boy,GER,14.8,18.0,13.2,21.0,0.0,0.0,15.566,18.0,0.0,0.0,13.766,23.0
Fabian Hambüchen,GER,15.066,12.0,0.0,0.0,14.858,14.0,15.633,17.0,15.4,9.0,16.166,2.0
Sebastian Krimmer,GER,0.0,0.0,14.733,11.0,0.0,0.0,0.0,0.0,14.533,22.0,0.0,0.0
Marcel Nguyen,GER,15.333,7.0,0.0,0.0,15.133,9.0,15.833,14.0,15.5,5.0,15.133,13.0
Andreas Toba,GER,0.0,0.0,12.533,24.0,14.833,15.0,0.0,0.0,0.0,0.0,0.0,0.0
Pierre-Yves Bény,FRA,14.333,22.0,15.033,5.0,14.466,21.0,14.566,21.0,14.591,21.0,13.266,24.0
Yann Cucherat,FRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gaël da Silva,FRA,15.2,9.0,0.0,0.0,14.633,17.0,15.466,19.0,0.0,0.0,14.766,17.0
Hamilton Sabot,FRA,0.0,0.0,14.766,9.0,14.333,23.0,0.0,0.0,15.566,4.0,14.833,15.0
Cyril Tommasone,FRA,14.533,20.0,15.466,2.0,0.0,0.0,14.441,22.0,15.133,15.0,0.0,0.0
