Country,Name,vault_score,vault_rank,uneven_score,uneven_rank,bb_score,bb_rank,floor_score,floor_rank,total_score,total_rank,year
CHN,Yang Yilin,15.2,12.0,16.65,1.0,15.5,11.0,15.0,10.0,62.35,3.0,2008
CHN,Jiang Yuyuan,14.775,38.0,15.55,9.0,15.25,15.0,15.05,8.0,60.625,7.0,2008
CHN,Deng Linlin,15.225,10.0,14.725,29.0,15.55,9.0,14.95,12.0,60.45,9.0,2008
CHN,Cheng Fei,16.15,1.0,0.0,15.875,5.0,15.75,1.0,47.775,62.0,0.0,2008
CHN,He Kexin,15.25,9.0,15.725,6.0,0.0,0.0,30.975,79.0,0.0,0.0,2008
CHN,Li Shanshan,0.0,0.0,16.125,1.0,14.2,40.0,30.325,82.0,0.0,0.0,2008
USA,Shawn Johnson,16.0,2.0,15.325,11.0,15.975,3.0,15.425,3.0,62.725,1.0,2008
USA,Nastia Liukin,15.1,16.0,15.95,5.0,15.975,2.0,15.35,4.0,62.375,2.0,2008
USA,Bridget Sloan,15.275,7.0,14.8,25.0,15.5,10.0,14.85,14.0,60.425,11.0,2008
USA,Alicia Sacramone,15.85,3.0,0.0,15.95,4.0,14.425,31.0,46.225,63.0,0.0,2008
USA,Chellsie Memmel,0.0,15.05,16.0,0.0,0.0,15.05,94.0,0.0,0.0,0.0,2008
USA,Samantha Peszek,0.0,14.8,23.0,0.0,0.0,14.8,96.0,0.0,0.0,0.0,2008
RUS,Ksenia Semenova,14.75,40.0,16.475,2.0,15.775,8.0,14.475,29.0,61.475,4.0,2008
RUS,Anna Pavlova,15.35,6.0,14.6,35.0,15.825,6.0,15.125,7.0,60.9,5.0,2008
RUS,Ksenia Afanasyeva,15.175,13.0,14.825,21.0,15.775,7.0,15.025,9.0,60.8,6.0,2008
RUS,Ekaterina Kramarenko,15.15,15.0,15.5,10.0,14.625,36.0,15.15,6.0,60.425,10.0,2008
RUS,Svetlana Klyukina,15.175,14.0,14.975,18.0,0.0,13.95,53.0,44.15,65.0,0.0,2008
RUS,Ludmila Grebenkova,0.0,0.0,14.6,37.0,0.0,14.6,97.0,0.0,0.0,0.0,2008
0,Romania,59.725,4.0,58.45,9.0,60.95,4.0,59.3,4.0,238.425,4.0,2008
ROU,Steliana Nistor,14.9,27.0,15.975,4.0,15.075,22.0,14.55,24.0,60.5,8.0,2008
ROU,Sandra Izbaşa,15.1,20.0,13.575,65.0,15.225,16.0,15.475,2.0,59.375,13.0,2008
ROU,Anamaria Tămârjan,15.025,23.0,14.275,51.0,15.2,17.0,14.5,27.0,59.0,16.0,2008
ROU,Gabriela Drăgoi,0.0,14.225,53.0,15.45,12.0,14.25,38.0,43.925,66.0,0.0,2008
ROU,Andreea Acatrinei,14.35,53.0,0.0,14.175,52.0,14.775,16.0,43.3,71.0,0.0,2008
ROU,Andreea Grigore,14.7,43.0,13.975,59.0,0.0,0.0,28.675,88.0,0.0,0.0,2008
AUS,Shona Morgan,14.7,45.0,14.5,39.0,15.35,14.0,14.525,25.0,59.075,15.0,2008
AUS,Georgia Bonora,14.85,29.0,14.5,38.0,15.025,24.0,14.525,26.0,58.9,18.0,2008
AUS,Ashleigh Brennan,14.775,37.0,13.7,62.0,14.15,54.0,14.625,19.0,57.25,30.0,2008
AUS,Daria Joura,15.1,18.0,15.125,13.0,12.475,80.0,13.45,70.0,56.15,44.0,2008
AUS,Lauren Mitchell,14.725,42.0,0.0,14.1,57.0,14.65,17.0,43.475,68.0,0.0,2008
AUS,Olivia Vivian,0.0,14.925,20.0,0.0,0.0,14.925,95.0,0.0,0.0,0.0,2008
FRA,Marine Petit,14.85,31.0,14.325,48.0,14.8,29.0,14.375,32.0,58.35,20.0,2008
FRA,Laetitia Dugain,14.35,52.0,14.625,34.0,14.975,26.0,14.325,33.0,58.275,22.0,2008
FRA,Pauline Morel,14.275,55.0,14.8,24.0,13.75,69.0,14.625,20.0,57.45,29.0,2008
FRA,Katheleen Lindor,14.9,26.0,14.7,30.0,14.575,40.0,0.0,44.175,64.0,0.0,2008
FRA,Rose-Eliandre Bellemare,14.725,41.0,14.4,43.0,0.0,14.225,39.0,43.35,70.0,0.0,2008
FRA,Marine Debauve,0.0,0.0,14.625,35.0,14.1,49.0,28.725,87.0,0.0,0.0,2008
BRA,Jade Barbosa,15.1,17.0,14.8,22.0,14.7,32.0,14.9,13.0,59.5,12.0,2008
BRA,Ana Cláudia Silva,14.75,39.0,14.55,36.0,13.475,73.0,14.8,15.0,57.575,28.0,2008
BRA,Ethiene Franco,14.175,61.0,14.1,55.0,14.4,42.0,14.275,35.0,56.95,36.0,2008
BRA,Laís Souza,14.8,36.0,14.775,26.0,13.575,71.0,0.0,43.15,73.0,0.0,2008
BRA,Daniele Hypólito,0.0,14.3,50.0,14.0,61.0,14.25,37.0,42.55,75.0,0.0,2008
BRA,Daiane dos Santos,14.8,35.0,0.0,0.0,15.275,5.0,30.075,83.0,0.0,0.0,2008
JPN,Koko Tsurumi,14.2,58.0,15.025,17.0,15.425,13.0,14.325,34.0,58.975,17.0,2008
JPN,Kyoko Oshima,14.7,43.0,14.45,42.0,14.3,47.0,14.175,42.0,57.625,27.0,2008
JPN,Miki Uemura,14.475,50.0,12.775,76.0,14.575,38.0,12.875,76.0,54.7,50.0,2008
JPN,Yuko Shintake,14.675,48.0,0.0,15.05,23.0,14.175,41.0,43.9,67.0,0.0,2008
JPN,Yu Minobe,14.05,68.0,14.525,37.0,0.0,13.825,59.0,42.4,76.0,0.0,2008
JPN,Mayu Kuroda,0.0,14.725,28.0,14.85,28.0,0.0,29.575,84.0,0.0,0.0,2008
GBR,Becky Downie,15.05,22.0,14.65,33.0,14.225,50.0,14.15,43.0,58.075,24.0,2008
GBR,Imogen Cairns,14.85,30.0,13.475,68.0,14.175,51.0,14.55,23.0,57.05,33.0,2008
GBR,Marissa King,14.875,28.0,13.475,69.0,14.325,46.0,13.75,62.0,56.425,42.0,2008
GBR,Rebecca Wing,14.55,49.0,14.1,56.0,14.575,39.0,0.0,43.225,72.0,0.0,2008
GBR,Hannah Whelan,13.5,79.0,0.0,14.325,45.0,14.125,46.0,41.95,77.0,0.0,2008
