Rank,Athlete,Nation,FX,PH,SR,VT,PB,HB,AA,round,year
1,kazuma kaya,JPN,14.45,14.6,14.6,14.3,15.05,14.0,87.0,final,2019
2,ivan stretovich,RUS,14.0,14.075,13.6,14.4,14.25,14.05,84.375,final,2019
3,lee chih-kai,none,14.25,15.225,13.15,14.225,13.85,13.25,83.95,final,2019
4,kakeru tanigawa,JPN,14.2,13.425,14.05,14.35,14.85,12.85,83.725,final,2019
5,milad karimi,KAZ,14.25,12.9,13.15,14.5,14.35,14.0,83.15,final,2019
6,lee jung-hyo,SKR,12.4,14.35,14.05,14.2,14.15,13.3,82.45,final,2019
7,andrea russo,ITA,14.05,12.75,14.0,13.75,13.6,13.65,81.8,final,2019
8,vladyslav hryko,UKR,12.6,13.75,13.6,13.8,14.2,13.3,81.25,final,2019
9,stefano patron,ITA,13.05,13.1,13.2,13.85,14.0,13.25,80.45,final,2019
10,kirill prokopev,RUS,14.8,12.55,13.4,14.1,13.475,11.8,80.125,final,2019
11,ivan tikhonov,AZE,14.2,13.4,12.7,13.75,12.3,13.25,79.6,final,2019
12,killian mermet,FRA,13.55,12.6,12.25,14.05,13.85,12.8,79.1,final,2019
13,michael tone,AUS,13.1,12.8,13.525,13.6,12.9,12.875,78.8,final,2019
14,hsu ping-chien,none,12.95,13.575,11.8,14.25,12.75,13.1,78.425,final,2019
15,lee seung-min,SKR,12.25,13.2,12.0,13.85,13.5,13.2,78.0,final,2019
16,martino morosi,SUI,12.65,11.1,12.9,13.85,12.0,13.4,75.9,final,2019
17,antoine borello,FRA,12.75,11.0,12.8,13.75,13.75,11.75,75.8,final,2019
18,luis porto,BRA,12.65,11.45,12.85,14.25,12.05,12.2,75.45,final,2019
1,kazuma kaya,JPN,14.8,14.8,14.3,14.0,14.45,14.25,86.6,qual,2019
2,kakeru tanigawa,JPN,14.725,13.05,13.95,13.6,14.95,14.625,84.9,qual,2019
3,wataru tanigawa,JPN,14.35,12.45,14.45,14.4,14.45,14.3,84.4,qual,2019
4,lee chih-kai,none,13.85,15.15,13.3,14.7,14.4,12.4,83.8,qual,2019
5,kirill prokopev,RUS,15.1,13.0,13.6,14.5,13.0,13.65,82.85,qual,2019
6,ivan stretovich,RUS,13.85,12.35,13.45,14.4,14.4,14.25,82.7,qual,2019
7,andrea russo,ITA,14.05,13.05,13.975,13.65,14.0,13.7,82.425,qual,2019
8,milad karimi,KAZ,14.55,13.1,13.05,13.1,14.15,14.25,82.2,qual,2019
9,lee jung-hyo,SKR,13.7,13.65,13.85,14.2,13.9,12.35,81.65,qual,2019
10,stefano patron,ITA,13.4,13.65,13.2,13.95,14.05,13.3,81.55,qual,2019
11,kim han-sol,SKR,14.25,12.45,13.6,14.75,13.25,12.85,81.15,qual,2019
12,marco walter,SUI,14.25,12.75,13.25,14.5,13.5,12.875,81.125,qual,2019
13,luis porto,BRA,13.5,13.0,13.5,14.35,13.4,12.6,80.35,qual,2019
14,ivan tikhonov,AZE,13.85,13.15,13.4,13.75,13.9,12.05,80.1,qual,2019
15,vladyslav hryko,UKR,12.275,13.25,13.8,13.7,13.25,13.45,79.725,qual,2019
16,antoine borello,FRA,13.8,12.25,12.95,12.5,14.0,13.85,79.35,qual,2019
17,killian mermet,FRA,13.5,12.8,12.45,13.9,13.7,13.0,79.35,qual,2019
18,martino morosi,SUI,13.6,11.975,13.1,13.9,12.75,13.55,78.875,qual,2019
19,lee seung-min,SKR,13.35,13.2,12.8,12.8,13.6,13.05,78.8,qual,2019
20,michael tone,AUS,12.85,13.95,13.45,13.1,13.0,12.35,78.7,qual,2019
21,marco sarrugerio,ITA,13.2,11.7,14.05,12.45,14.1,13.15,78.65,qual,2019
22,vinzenz höck,AUT,12.5,11.7,14.45,13.9,13.0,13.1,78.65,qual,2019
23,hsu ping-chien,none,12.8,12.3,13.05,14.1,12.85,13.35,78.45,qual,2019
24,bernardo almeida,POR,13.15,12.5,12.6,13.3,13.15,13.2,77.9,qual,2019
25,maxime gentges,BEL,13.55,10.425,13.4,13.2,13.55,13.35,77.475,qual,2019
26,fabian de luna,MEX,12.35,11.35,13.9,14.2,13.3,12.25,77.35,qual,2019
27,alexander benda,AUT,12.9,12.0,12.2,13.65,13.25,13.3,77.3,qual,2019
28,justin pesesse,BEL,12.85,11.0,13.15,14.25,12.85,13.15,77.25,qual,2019
29,jeremy bartholomeusz,CAN,13.05,13.35,12.8,13.9,10.9,13.125,77.125,qual,2019
30,tom nicolaou,CYP,13.4,12.2,13.1,14.1,11.9,11.9,76.6,qual,2019
31,julian jato,ARG,12.8,11.6,12.8,12.9,13.5,12.65,76.25,qual,2019
32,roland modoianu,ROU,12.35,12.2,12.3,13.3,12.65,12.25,75.05,qual,2019
33,heath thorpe,AUS,12.85,11.4,11.5,14.1,12.1,12.85,74.8,qual,2019
34,eduard yermakov,UKR,11.3,10.95,13.875,12.7,13.35,12.0,74.175,qual,2019
35,franz card,FIN,11.5,11.05,12.55,12.8,12.9,13.2,74.0,qual,2019
36,hudson irwin,AUS,12.3,11.45,12.2,12.15,12.4,12.5,73.0,qual,2019
37,ivo chiapponi,ARG,12.9,10.55,12.2,12.45,11.85,12.3,72.25,qual,2019
38,sviataslau dranitski,BLR,11.45,11.3,12.7,13.55,10.4,11.95,71.35,qual,2019
39,guilherme campos,POR,10.2,10.5,12.65,13.7,11.55,12.15,70.75,qual,2019
40,antoine pochon,FRA,0.0,12.7,13.15,13.2,12.8,13.075,0.0,qual,2019
40,abdulla azimov,UZB,13.4,14.15,12.9,0.0,11.55,0.0,0.0,qual,2019
