Rank,Athlete,Nation,D,E,ND,Total,round,year
1,lee chih-kai,none,6.2,9.2,0.0,15.4,final,2019
2,nariman kurbanov,KAZ,5.9,8.8,0.0,14.7,final,2019
3,kazuma kaya,JPN,6.6,7.9,0.0,14.5,final,2019
4,abdulla azimov,UZB,5.9,8.45,0.0,14.35,final,2019
5,lee jung-hyo,SKR,5.8,8.375,0.0,14.175,final,2019
6,michael tone,AUS,5.8,8.05,0.0,13.85,final,2019
7,stefano patron,ITA,5.2,8.35,0.0,13.55,final,2019
8,jacob bonnay,CAN,4.4,8.5,0.0,12.9,final,2019
1,lee chih-kai,none,6.2,8.95,0.0,15.15,qual,2019
2,kazuma kaya,JPN,6.1,8.7,0.0,14.8,qual,2019
3,nariman kurbanov,KAZ,5.5,8.9,0.0,14.4,qual,2019
4,abdulla azimov,UZB,5.7,8.45,0.0,14.15,qual,2019
5,michael tone,AUS,5.8,8.15,0.0,13.95,qual,2019
6,stefano patron,ITA,5.2,8.45,0.0,13.65,qual,2019
7,lee jung-hyo,SKR,5.8,7.85,0.0,13.65,qual,2019
8,jacob bonnay,CAN,4.7,8.7,0.0,13.4,qual,2019
9,jeremy bartholomeusz,CAN,4.8,8.55,0.0,13.35,qual,2019
10,ahmet önder,TUR,5.3,8.05,0.0,13.35,qual,2019
11,vladyslav hryko,UKR,5.6,7.65,0.0,13.25,qual,2019
12,lee seung-min,SKR,4.7,8.5,0.0,13.2,qual,2019
13,stephen nedoroscik,USA,6.1,7.1,0.0,13.2,qual,2019
14,tang chia-hung,none,4.6,8.55,0.0,13.15,qual,2019
15,ivan tikhonov,AZE,5.5,7.65,0.0,13.15,qual,2019
16,ilya kibartas,RUS,6.0,7.15,0.0,13.15,qual,2019
17,milad karimi,KAZ,4.6,8.5,0.0,13.1,qual,2019
18,andrea russo,ITA,5.0,8.05,0.0,13.05,qual,2019
19,kakeru tanigawa,JPN,6.0,7.05,0.0,13.05,qual,2019
20,luis porto,BRA,5.1,7.9,0.0,13.0,qual,2019
21,kirill prokopev,RUS,5.5,7.5,0.0,13.0,qual,2019
22,leonardo kusan,CRO,5.6,7.25,0.0,12.85,qual,2019
23,killian mermet,FRA,4.6,8.2,0.0,12.8,qual,2019
24,marco walter,SUI,4.3,8.45,0.0,12.75,qual,2019
25,antoine pochon,FRA,4.8,7.9,0.0,12.7,qual,2019
26,rasuljon abdurakhimov,UZB,4.9,7.7,0.0,12.6,qual,2019
27,bernardo almeida,POR,4.6,7.9,0.0,12.5,qual,2019
28,kim han-sol,SKR,5.1,7.35,0.0,12.45,qual,2019
29,wataru tanigawa,JPN,5.4,7.05,0.0,12.45,qual,2019
30,ivan stretovich,RUS,5.5,6.85,0.0,12.35,qual,2019
31,hsu ping-chien,none,5.0,7.3,0.0,12.3,qual,2019
32,antoine borello,FRA,4.5,7.75,0.0,12.25,qual,2019
33,roland modoianu,ROU,5.0,7.2,0.0,12.2,qual,2019
34,tom nicolaou,CYP,5.2,7.0,0.0,12.2,qual,2019
35,alexander benda,AUT,4.5,7.5,0.0,12.0,qual,2019
36,damien cachia,CAN,4.8,7.2,0.0,12.0,qual,2019
37,martino morosi,SUI,4.1,7.875,0.0,11.975,qual,2019
38,fellipe ferreira,BRA,6.0,5.85,0.0,11.85,qual,2019
39,nikolai rønbeck,NOR,4.6,7.175,0.0,11.775,qual,2019
40,vinzenz höck,AUT,3.9,7.8,0.0,11.7,qual,2019
40,marco sarrugerio,ITA,3.9,7.8,0.0,11.7,qual,2019
42,julian jato,ARG,4.3,7.3,0.0,11.6,qual,2019
43,hudson irwin,AUS,4.2,7.25,0.0,11.45,qual,2019
44,heath thorpe,AUS,3.3,8.1,0.0,11.4,qual,2019
45,fabian de luna,MEX,4.2,7.15,0.0,11.35,qual,2019
46,yahor sharamkou,BLR,4.4,6.95,0.0,11.35,qual,2019
47,sviataslau dranitski,BLR,4.3,7.0,0.0,11.3,qual,2019
48,franz card,FIN,3.2,7.85,0.0,11.05,qual,2019
49,justin pesesse,BEL,4.4,6.6,0.0,11.0,qual,2019
50,eduard yermakov,UKR,4.7,6.25,0.0,10.95,qual,2019
51,ivo chiapponi,ARG,3.6,6.95,0.0,10.55,qual,2019
52,guilherme campos,POR,3.2,7.3,0.0,10.5,qual,2019
53,maxime gentges,BEL,4.4,6.025,0.0,10.425,qual,2019
54,harvey humber,NZL,3.5,4.9,0.0,8.4,qual,2019
55,batuhan yazici,NZL,4.3,3.95,0.0,8.25,qual,2019
