Rank,Athlete,Nation,D,E,ND,Total,year,round
1,liu yang,CHN,6.4,8.766,0.0,15.166,2019,final
2,you hao,CHN,6.4,8.733,0.0,15.133,2019,final
3,arthur zanetti,BRA,6.2,8.766,0.0,14.966,2019,final
4,kazuya takahashi,JPN,6.2,8.4,0.0,14.6,2019,final
5,courtney tulloch,none,6.4,8.2,0.0,14.6,2019,final
6,igor radivilov,UKR,6.3,8.266,0.0,14.566,2019,final
7,ali zahran,EGY,6.2,8.2,0.0,14.4,2019,final
8,ryan oehrlein,CAN,6.1,7.9,0.0,14.0,2019,final
1,liu yang,CHN,6.4,8.6,0.0,15.0,2019,qual
2,you hao,CHN,6.4,8.333,0.0,14.733,2019,qual
3,arthur zanetti,BRA,6.1,8.6,0.0,14.7,2019,qual
4,courtney tulloch,none,6.4,8.3,0.0,14.7,2019,qual
5,igor radivilov,UKR,6.3,8.333,0.0,14.633,2019,qual
6,ali zahran,EGY,6.2,7.966,0.0,14.166,2019,qual
7,ryan oehrlein,CAN,6.1,8.0,0.0,14.1,2019,qual
8,kazuya takahashi,JPN,6.2,7.833,0.0,14.033,2019,qual
9,ahmet önder,TUR,5.8,8.0,0.0,13.8,2019,qual
10,federico molinari,ARG,5.9,7.666,0.0,13.566,2019,qual
11,casimir schmidt,NED,5.7,7.666,0.0,13.366,2019,qual
12,daniel villafane,ARG,5.9,7.466,0.0,13.366,2019,qual
13,samir aït saïd,FRA,5.8,7.2,0.0,13.0,2019,qual
14,hung shih-tung,none,4.9,7.6,0.0,12.5,2019,qual
15,michael tone,AUS,5.0,7.1,0.0,12.1,2019,qual
16,wei an terry tay,SIN,4.3,4.466,0.0,8.766,2019,qual
