Rank,Athlete,D,E,ND,Score,Total,round,year,Nation
1,sam mikulak,6.4,8.59,0.0,15.35,29.4,final,2020,USA
1,sam mikulak,6.5,7.55,0.0,14.05,29.4,final,2020,USA
2,grant breckenridge,5.4,9.2,0.0,14.6,29.05,final,2020,USA
2,grant breckenridge,5.7,8.75,0.0,14.45,29.05,final,2020,USA
3,yul moldauer,6.1,8.0,0.0,14.1,28.2,final,2020,USA
3,yul moldauer,5.9,8.2,0.0,14.1,28.2,final,2020,USA
4,akash modi,6.1,7.95,0.0,14.05,27.95,final,2020,USA
4,akash modi,6.1,7.8,0.0,13.9,27.95,final,2020,USA
5,robert neff,5.8,8.1,0.0,13.9,27.5,final,2020,USA
5,robert neff,5.8,7.8,0.0,13.6,27.5,final,2020,USA
6,colin van wicklen,5.7,8.0,0.0,13.7,27.1,final,2020,USA
6,colin van wicklen,5.7,7.7,0.0,13.4,27.1,final,2020,USA
7,colt walker,5.6,8.1,0.0,13.7,27.05,final,2020,USA
7,colt walker,5.5,7.85,0.0,13.35,27.05,final,2020,USA
7,gage dyer,5.3,8.55,0.0,13.85,27.05,final,2020,USA
7,gage dyer,5.3,7.9,0.0,13.2,27.05,final,2020,USA
9,ian gunther,5.5,8.15,0.0,13.65,27.0,final,2020,USA
9,ian gunther,5.5,7.85,0.0,13.35,27.0,final,2020,USA
10,kiwan watts,5.6,8.25,0.0,13.85,26.9,final,2020,USA
10,kiwan watts,5.2,7.85,0.0,13.05,26.9,final,2020,USA
10,isaiah drake,5.3,8.4,0.0,13.7,26.9,final,2020,USA
10,isaiah drake,5.2,8.0,0.0,13.2,26.9,final,2020,USA
12,paul juda,5.4,8.2,0.0,13.6,26.8,final,2020,USA
12,paul juda,5.4,7.8,0.0,26.8,26.8,final,2020,USA
13,cameron bock,5.7,8.15,0.0,13.85,26.75,final,2020,USA
13,cameron bock,5.7,7.2,0.0,12.9,26.75,final,2020,USA
14,sean melton,6.0,8.1,0.0,14.1,26.55,final,2020,USA
14,sean melton,6.0,6.45,0.0,12.45,26.55,final,2020,USA
15,timothy wang,5.9,7.15,0.0,13.05,26.2,final,2020,USA
15,timothy wang,5.9,7.25,0.0,13.15,26.2,final,2020,USA
16,adrian de los angeles,5.6,7.05,0.0,12.65,25.5,final,2020,USA
16,adrian de los angeles,5.7,7.15,0.0,12.85,25.5,final,2020,USA
17,nicolas kuebler,5.0,7.95,0.0,12.95,24.5,final,2020,USA
17,nicolas kuebler,4.5,7.05,0.0,11.55,24.5,final,2020,USA
18,michael moran,4.7,7.75,0.0,12.45,24.4,final,2020,USA
18,michael moran,4.7,7.25,0.0,11.95,24.4,final,2020,USA
