Rank,Athlete,D,E,ND,Score,D.1,E.1,ND.1,Score.1,Total,round,year,Nation
1,yul moldauer,5.2,9.1,0.0,14.3,5.2,9.3,0.0,14.5,28.8,final,2020,USA
2,eddie penev,5.4,8.85,0.0,14.25,5.2,9.3,0.0,14.5,28.75,final,2020,USA
2,shane wiskus,5.2,9.25,0.0,14.45,5.2,9.1,0.0,14.3,28.75,final,2020,USA
4,colt walker,5.2,9.05,0.0,14.25,5.2,9.2,0.0,14.4,28.65,final,2020,USA
4,gage dyer,5.6,8.6,0.0,14.2,5.6,8.95,-0.1,14.45,28.65,final,2020,USA
6,robert neff,5.2,9.0,-0.1,14.1,5.2,9.2,0.0,14.4,28.5,final,2020,USA
7,colin van wicklen,5.6,8.1,0.0,13.7,5.6,9.15,0.0,14.75,28.45,final,2020,USA
8,akash modi,5.2,8.95,0.0,14.15,5.2,9.05,0.0,14.25,28.4,final,2020,USA
8,marvin kimble,5.6,8.1,0.0,13.7,5.6,9.1,0.0,14.7,28.4,final,2020,USA
10,isaiah drake,5.2,8.75,0.0,13.95,5.2,9.05,0.0,14.25,28.2,final,2020,USA
11,timothy wang,5.2,8.25,0.0,13.45,5.2,9.25,0.0,14.45,27.9,final,2020,USA
12,donothan bailey,5.2,8.8,0.0,14.0,5.2,8.75,-0.1,13.85,27.85,final,2020,USA
13,paul juda,5.2,9.1,0.0,14.3,5.2,8.3,0.0,13.5,27.8,final,2020,USA
14,alex diab,5.2,8.5,0.0,13.7,5.2,8.8,0.0,14.0,27.7,final,2020,USA
15,cameron bock,5.2,8.3,0.0,13.5,5.2,8.5,-0.1,13.6,27.1,final,2020,USA
16,kiwan watts,4.8,8.95,0.0,13.75,5.2,8.1,0.0,13.3,27.05,final,2020,USA
16,sean melton,5.2,8.75,-0.1,13.85,5.2,8.0,0.0,13.2,27.05,final,2020,USA
18,michael moran,5.2,8.9,0.0,14.1,5.2,7.65,-0.1,12.75,26.85,final,2020,USA
19,nicolas kuebler,4.8,8.85,0.0,13.65,4.0,9.15,0.0,13.15,26.8,final,2020,USA
20,ian gunther,5.2,8.35,0.0,13.55,4.8,7.25,-0.3,11.75,25.3,final,2020,USA
