Rank,Athlete,Nation,D,E,ND,Total,round,year
1,epke zonderland,NED,6.8,8.3,0.0,15.1,final,2018
2,kohei uchimura,JPN,6.4,8.4,0.0,14.8,final,2018
3,samuel mikulak,USA,6.1,8.433,0.0,14.533,final,2018
4,tin srbic,CRO,6.4,8.1,0.0,14.5,final,2018
5,tang chia-hung,none,6.1,8.166,0.0,14.266,final,2018
6,deng shudi,CHN,6.4,7.666,0.0,14.066,final,2018
7,xiao ruoteng,CHN,6.1,7.8,0.0,13.9,final,2018
8,artur dalaloyan,RUS,5.2,7.466,0.0,12.666,final,2018
1,kohei uchimura,JPN,6.4,8.2,0.0,14.6,qual,2018
2,samuel mikulak,USA,6.1,8.466,0.0,14.566,qual,2018
3,xiao ruoteng,CHN,6.1,8.333,0.0,14.433,qual,2018
4,epke zonderland,NED,6.2,8.2,0.0,14.4,qual,2018
5,tin srbic,CRO,6.0,8.3,0.0,14.3,qual,2018
6,deng shudi,CHN,6.1,8.2,0.0,14.3,qual,2018
7,tang chia-hung,none,6.0,8.2,0.0,14.2,qual,2018
8,artur dalaloyan,RUS,5.7,8.466,0.0,14.166,qual,2018
9,manrique larduet,CUB,6.3,7.866,0.0,14.166,qual,2018
10,yusuke tanaka,JPN,6.0,8.133,0.0,14.133,qual,2018
11,tyson bull,AUS,5.9,8.166,0.0,14.066,qual,2018
12,bart deurloo,NED,6.1,7.933,0.0,14.033,qual,2018
13,umit samiloglu,TUR,5.9,8.1,0.0,14.0,qual,2018
14,sun wei,CHN,6.0,8.0,0.0,14.0,qual,2018
15,francisco barretto,BRA,6.1,7.9,0.0,14.0,qual,2018
16,nikita nagornyy,RUS,5.8,8.166,0.0,13.966,qual,2018
17,lin chaopan,CHN,6.2,7.766,0.0,13.966,qual,2018
18,david belyavskiy,RUS,5.6,8.333,0.0,13.933,qual,2018
19,randy leru,CUB,6.1,7.833,0.0,13.933,qual,2018
20,nestor abad,ESP,5.7,8.166,0.0,13.866,qual,2018
21,jossimar calvo,COL,6.3,7.566,0.0,13.866,qual,2018
22,marios georgiou,CYP,5.8,8.0,0.0,13.8,qual,2018
23,caio souza,BRA,5.9,7.9,0.0,13.8,qual,2018
24,david vecsernyes,HUN,5.7,8.066,0.0,13.766,qual,2018
25,eddy yusof,SUI,5.5,8.233,0.0,13.733,qual,2018
