Rank,Athlete,Nation,D,E,ND,Total,round,year
1,carlos edriel yulo,PHI,6.5,8.8,0.0,15.3,final,2019
2,artem dolgopyat,ISR,6.4,8.8,0.0,15.2,final,2019
3,xiao ruoteng,CHN,6.2,8.733,0.0,14.933,final,2019
4,artur dalaloyan,RUS,6.2,8.6,0.0,14.8,final,2019
5,lin chaopan,CHN,6.2,8.5,0.0,14.7,final,2019
6,nikita nagornyy,RUS,6.2,8.266,-0.3,14.166,final,2019
7,kim han-sol,SKR,6.3,7.533,0.0,13.833,final,2019
8,dominick cunningham,none,6.1,7.566,-0.1,13.566,final,2019
1,artem dolgopyat,ISR,6.4,8.633,0.0,15.033,qual,2019
2,lin chaopan,CHN,6.2,8.733,0.0,14.933,qual,2019
3,nikita nagornyy,RUS,6.4,8.5,0.0,14.9,qual,2019
4,xiao ruoteng,CHN,6.2,8.633,0.0,14.833,qual,2019
5,artur dalaloyan,RUS,6.5,8.233,0.0,14.733,qual,2019
6,kim han-sol,SKR,6.1,8.566,0.0,14.666,qual,2019
7,carlos edriel yulo,PHI,6.5,8.133,0.0,14.633,qual,2019
8,dominick cunningham,none,6.1,8.5,0.0,14.6,qual,2019
9,nicolau mir,ESP,6.0,8.533,0.0,14.533,qual,2019
10,yul moldauer,USA,5.8,8.666,0.0,14.466,qual,2019
11,daiki hashimoto,JPN,5.8,8.633,0.0,14.433,qual,2019
12,milad karimi,KAZ,6.2,8.333,-0.1,14.433,qual,2019
13,lee jun-ho,SKR,6.0,8.366,0.0,14.366,qual,2019
14,lee chih kai,none,5.8,8.533,0.0,14.333,qual,2019
15,giarnni regini-moran,none,5.9,8.416,0.0,14.316,qual,2019
16,alexander shatilov,ISR,5.9,8.4,0.0,14.3,qual,2019
17,william emard,CAN,5.9,8.333,0.0,14.233,qual,2019
18,tang chia-hung,none,5.4,8.766,0.0,14.166,qual,2019
19,sun wei,CHN,5.5,8.666,0.0,14.166,qual,2019
20,james hall,none,5.7,8.566,-0.1,14.166,qual,2019
21,arthur mariano,BRA,5.6,8.566,0.0,14.166,qual,2019
21,emil soravuo,FIN,5.6,8.566,0.0,14.166,qual,2019
23,loris frasca,FRA,5.7,8.466,0.0,14.166,qual,2019
24,deng shudi,CHN,6.3,8.166,-0.3,14.166,qual,2019
25,pablo brägger,SUI,6.0,8.441,-0.3,14.141,qual,2019
26,luka van den keybus,BEL,5.6,8.533,0.0,14.133,qual,2019
27,petro pakhniuk,UKR,5.7,8.433,0.0,14.133,qual,2019
27,yevgen yudenkov,UKR,5.7,8.433,0.0,14.133,qual,2019
29,stian skjerahaug,NOR,5.6,8.6,-0.1,14.1,qual,2019
30,nicola bartolini,ITA,5.8,8.3,0.0,14.1,qual,2019
31,nestor abad,ESP,5.9,8.2,0.0,14.1,qual,2019
32,nick klessing,none,5.7,8.366,0.0,14.066,qual,2019
33,marian dragulescu,ROU,5.9,8.166,0.0,14.066,qual,2019
34,caio souza,BRA,5.5,8.533,0.0,14.033,qual,2019
35,benjamin gischard,SUI,5.7,8.333,0.0,14.033,qual,2019
36,casimir schmidt,NED,5.9,8.133,0.0,14.033,qual,2019
37,niccolo mozzato,ITA,5.5,8.5,0.0,14.0,qual,2019
37,bart deurloo,NED,5.5,8.5,0.0,14.0,qual,2019
39,tomas gonzalez,CHI,5.9,8.1,0.0,14.0,qual,2019
40,david rumbutis,SWE,5.5,8.466,0.0,13.966,qual,2019
41,dzianis sanuvonh,BLR,5.4,8.533,0.0,13.933,qual,2019
41,konstantin kuzovkov,GEO,5.4,8.533,0.0,13.933,qual,2019
43,kazuma kaya,JPN,5.8,8.433,-0.3,13.933,qual,2019
44,ahmet önder,TUR,5.6,8.333,0.0,13.933,qual,2019
45,philipp herder,none,5.7,8.233,0.0,13.933,qual,2019
46,eddy yusof,SUI,5.6,8.3,0.0,13.9,qual,2019
47,yuya kamoto,JPN,5.6,8.366,-0.1,13.866,qual,2019
48,ludovico edalli,ITA,5.3,8.533,0.0,13.833,qual,2019
49,randy leru,CUB,5.4,8.433,0.0,13.833,qual,2019
50,manrique larduet,CUB,5.5,8.333,0.0,13.833,qual,2019
51,joel plata,ESP,5.9,7.933,0.0,13.833,qual,2019
52,daniel corral,MEX,5.6,8.2,0.0,13.8,qual,2019
53,akim mussayev,KAZ,5.7,8.1,0.0,13.8,qual,2019
54,joe fraser,none,5.8,8.0,0.0,13.8,qual,2019
55,rok klavora,SLO,5.9,7.9,0.0,13.8,qual,2019
56,ivan stretovich,RUS,5.8,8.066,-0.1,13.766,qual,2019
57,oliver hegi,SUI,5.3,8.433,0.0,13.733,qual,2019
58,yang hak-seon,SKR,5.7,8.033,0.0,13.733,qual,2019
59,adam steele,IRL,5.2,8.5,0.0,13.7,qual,2019
60,david huddleston,BUL,5.3,8.4,0.0,13.7,qual,2019
61,arthur zanetti,BRA,5.9,7.8,0.0,13.7,qual,2019
62,artur davtyan,ARM,4.9,8.766,0.0,13.666,qual,2019
63,karim rida,none,5.7,8.266,-0.3,13.666,qual,2019
64,andreas toba,none,5.2,8.433,0.0,13.633,qual,2019
65,robert kirmes,FIN,5.4,8.233,0.0,13.633,qual,2019
66,vladyslav hryko,UKR,5.8,7.833,0.0,13.633,qual,2019
67,theodor gadderud,NOR,5.3,8.4,-0.1,13.6,qual,2019
68,karl idesjö,SWE,5.2,8.4,0.0,13.6,qual,2019
69,majdi al hmood,JOR,5.4,8.2,0.0,13.6,qual,2019
70,julien saleur,FRA,5.2,8.366,0.0,13.566,qual,2019
71,jimmy verbaeys,BEL,5.3,8.266,0.0,13.566,qual,2019
72,robert tvorogal,LTU,5.4,8.166,0.0,13.566,qual,2019
73,andres martinez,COL,5.4,8.133,0.0,13.533,qual,2019
74,marco lodadio,ITA,5.8,7.733,0.0,13.533,qual,2019
75,yerbol jantykov,KAZ,5.1,8.4,0.0,13.5,qual,2019
75,rasuljon abdurakhimov,UZB,5.1,8.4,0.0,13.5,qual,2019
77,rene cournoyer,CAN,5.5,8.0,0.0,13.5,qual,2019
77,ashish kumar,IND,5.5,8.0,0.0,13.5,qual,2019
79,ivan tikhonov,AZE,5.3,8.266,-0.1,13.466,qual,2019
80,tikumporn surintornta,THA,5.8,7.766,-0.1,13.466,qual,2019
81,shane wiskus,USA,5.7,7.766,0.0,13.466,qual,2019
82,yordan aleksandrov,BUL,5.2,8.233,0.0,13.433,qual,2019
83,antoine borello,FRA,5.4,8.133,-0.1,13.433,qual,2019
84,daan kenis,BEL,5.4,8.033,0.0,13.433,qual,2019
84,sofus heggemsnes,NOR,5.4,8.033,0.0,13.433,qual,2019
86,samuel zakutney,CAN,5.5,7.933,0.0,13.433,qual,2019
86,lee jung-hyo,SKR,5.5,7.933,0.0,13.433,qual,2019
88,abdulla azimov,UZB,5.0,8.4,0.0,13.4,qual,2019
89,isaac nunez,MEX,5.2,8.2,0.0,13.4,qual,2019
